,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
181,150,Los Angeles Lakers,LeBron James,Portland Trail Blazers,L,10/18/2018,37:20,9,16,0.563,0,4,0.0,8,9,0.889,2,10,12,6,1,0,6,3,26,-4,2019,272,SF,https://www.basketball-reference.com/players/j/jamesle01.html,23,6-9,250,Los Angeles Lakers,regular season
182,151,Los Angeles Lakers,Rajon Rondo,Portland Trail Blazers,L,10/18/2018,31:45,6,13,0.462,1,2,0.5,0,0,,0,4,4,11,1,0,3,6,13,7,2019,279,PG,https://www.basketball-reference.com/players/r/rondora01.html,9,6-1,180,Los Angeles Lakers,regular season
183,152,Los Angeles Lakers,Brandon Ingram,Portland Trail Blazers,L,10/18/2018,27:35,7,15,0.467,0,4,0.0,2,4,0.5,1,3,4,1,2,1,1,0,16,4,2019,271,SF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190,Los Angeles Lakers,regular season
184,153,Los Angeles Lakers,Kentavious Caldwell-Pope,Portland Trail Blazers,L,10/18/2018,27:18,1,3,0.33299999999999996,1,1,1.0,2,2,1.0,0,2,2,0,0,0,0,1,5,8,2019,266,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204,Los Angeles Lakers,regular season
185,154,Los Angeles Lakers,JaVale McGee,Portland Trail Blazers,L,10/18/2018,21:35,5,6,0.833,0,0,,3,4,0.75,3,5,8,1,1,3,0,3,13,-1,2019,276,C,https://www.basketball-reference.com/players/m/mcgeeja01.html,7,7-0,270,Los Angeles Lakers,regular season
410,345,Los Angeles Lakers,LeBron James,Houston Rockets,L,10/20/2018,38:52,9,22,0.409,1,7,0.14300000000000002,5,7,0.7140000000000001,0,5,5,5,2,1,1,0,24,-13,2019,272,SF,https://www.basketball-reference.com/players/j/jamesle01.html,23,6-9,250,Los Angeles Lakers,regular season
411,346,Los Angeles Lakers,Rajon Rondo,Houston Rockets,L,10/20/2018,29:42,6,8,0.75,1,2,0.5,0,0,,1,6,7,10,2,0,2,3,13,8,2019,279,PG,https://www.basketball-reference.com/players/r/rondora01.html,9,6-1,180,Los Angeles Lakers,regular season
412,347,Los Angeles Lakers,Brandon Ingram,Houston Rockets,L,10/20/2018,28:51,5,8,0.625,0,1,0.0,2,2,1.0,2,2,4,0,1,1,3,4,12,-1,2019,271,SF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190,Los Angeles Lakers,regular season
413,348,Los Angeles Lakers,JaVale McGee,Houston Rockets,L,10/20/2018,19:51,7,11,0.636,0,0,,2,3,0.667,2,4,6,2,0,5,2,4,16,7,2019,276,C,https://www.basketball-reference.com/players/m/mcgeeja01.html,7,7-0,270,Los Angeles Lakers,regular season
414,349,Los Angeles Lakers,Kentavious Caldwell-Pope,Houston Rockets,L,10/20/2018,18:08,2,8,0.25,0,3,0.0,1,2,0.5,0,3,3,1,0,0,0,0,5,3,2019,266,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204,Los Angeles Lakers,regular season
