,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
48,46,Memphis Grizzlies,Shelvin Mack,Indiana Pacers,L,10/17/2018,29:55,1,8,0.125,0,1,0.0,1,2,0.5,1,2,3,3,1,0,1,3,3,-20.0,2019,68,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Charlotte Hornets,regular season
49,46,Memphis Grizzlies,Shelvin Mack,Indiana Pacers,L,10/17/2018,29:55,1,8,0.125,0,1,0.0,1,2,0.5,1,2,3,3,1,0,1,3,3,-20.0,2019,299,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Memphis Grizzlies,regular season
50,47,Memphis Grizzlies,Jaren Jackson,Indiana Pacers,L,10/17/2018,25:18,2,6,0.33299999999999996,0,1,0.0,6,6,1.0,2,3,5,1,3,1,0,2,10,-21.0,2019,298,PF,https://www.basketball-reference.com/players/j/jacksja02.html,13,6-11,242,Memphis Grizzlies,regular season
51,48,Memphis Grizzlies,MarShon Brooks,Indiana Pacers,L,10/17/2018,22:04,2,9,0.222,0,3,0.0,5,7,0.7140000000000001,0,2,2,1,0,0,0,0,9,-7.0,2019,287,SG,https://www.basketball-reference.com/players/b/brookma01.html,8,6-5,200,Memphis Grizzlies,regular season
52,49,Memphis Grizzlies,Kyle Anderson,Indiana Pacers,L,10/17/2018,19:15,2,6,0.33299999999999996,0,0,,1,2,0.5,0,2,2,1,0,0,2,2,5,-11.0,2019,284,SF,https://www.basketball-reference.com/players/a/anderky01.html,1,6-9,230,Memphis Grizzlies,regular season
53,50,Memphis Grizzlies,Dillon Brooks,Indiana Pacers,L,10/17/2018,6:17,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-9.0,2019,286,SF,https://www.basketball-reference.com/players/b/brookdi01.html,24,6-7,225,Memphis Grizzlies,regular season
54,51,Memphis Grizzlies,Wayne Selden,Indiana Pacers,L,10/17/2018,6:00,2,3,0.667,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,5,1.0,2019,95,SG,https://www.basketball-reference.com/players/s/seldewa01.html,14,6-5,230,Chicago Bulls,regular season
55,51,Memphis Grizzlies,Wayne Selden,Indiana Pacers,L,10/17/2018,6:00,2,3,0.667,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,5,1.0,2019,304,SG,https://www.basketball-reference.com/players/s/seldewa01.html,7,6-5,230,Memphis Grizzlies,regular season
252,218,Memphis Grizzlies,Jaren Jackson,Atlanta Hawks,W,10/19/2018,27:36,8,12,0.667,2,4,0.5,6,9,0.667,1,6,7,2,1,2,2,5,24,-8.0,2019,298,PF,https://www.basketball-reference.com/players/j/jacksja02.html,13,6-11,242,Memphis Grizzlies,regular season
253,219,Memphis Grizzlies,Shelvin Mack,Atlanta Hawks,W,10/19/2018,25:00,3,5,0.6,0,0,,3,4,0.75,0,2,2,1,1,0,1,5,9,-16.0,2019,68,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Charlotte Hornets,regular season
254,219,Memphis Grizzlies,Shelvin Mack,Atlanta Hawks,W,10/19/2018,25:00,3,5,0.6,0,0,,3,4,0.75,0,2,2,1,1,0,1,5,9,-16.0,2019,299,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Memphis Grizzlies,regular season
255,220,Memphis Grizzlies,Omri Casspi,Atlanta Hawks,W,10/19/2018,24:03,4,8,0.5,0,2,0.0,3,6,0.5,1,3,4,2,0,0,0,2,11,1.0,2019,290,SF,https://www.basketball-reference.com/players/c/casspom01.html,18,6-9,225,Memphis Grizzlies,regular season
256,221,Memphis Grizzlies,Kyle Anderson,Atlanta Hawks,W,10/19/2018,19:53,1,3,0.33299999999999996,0,1,0.0,1,2,0.5,0,4,4,4,4,1,3,2,3,10.0,2019,284,SF,https://www.basketball-reference.com/players/a/anderky01.html,1,6-9,230,Memphis Grizzlies,regular season
257,222,Memphis Grizzlies,Dillon Brooks,Atlanta Hawks,W,10/19/2018,17:05,1,7,0.14300000000000002,0,1,0.0,2,4,0.5,1,0,1,1,0,0,1,3,4,-16.0,2019,286,SF,https://www.basketball-reference.com/players/b/brookdi01.html,24,6-7,225,Memphis Grizzlies,regular season
258,223,Memphis Grizzlies,Wayne Selden,Atlanta Hawks,W,10/19/2018,7:32,1,1,1.0,0,0,,2,2,1.0,1,0,1,0,0,0,2,1,4,-20.0,2019,95,SG,https://www.basketball-reference.com/players/s/seldewa01.html,14,6-5,230,Chicago Bulls,regular season
259,223,Memphis Grizzlies,Wayne Selden,Atlanta Hawks,W,10/19/2018,7:32,1,1,1.0,0,0,,2,2,1.0,1,0,1,0,0,0,2,1,4,-20.0,2019,304,SG,https://www.basketball-reference.com/players/s/seldewa01.html,7,6-5,230,Memphis Grizzlies,regular season
593,513,Memphis Grizzlies,Shelvin Mack,Utah Jazz,W,10/22/2018,24:24,4,7,0.5710000000000001,2,2,1.0,2,3,0.667,0,2,2,3,1,0,2,1,12,-1.0,2019,68,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Charlotte Hornets,regular season
594,513,Memphis Grizzlies,Shelvin Mack,Utah Jazz,W,10/22/2018,24:24,4,7,0.5710000000000001,2,2,1.0,2,3,0.667,0,2,2,3,1,0,2,1,12,-1.0,2019,299,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Memphis Grizzlies,regular season
595,514,Memphis Grizzlies,Wayne Selden,Utah Jazz,W,10/22/2018,21:51,2,7,0.28600000000000003,1,3,0.33299999999999996,2,2,1.0,1,2,3,2,1,0,1,3,7,8.0,2019,95,SG,https://www.basketball-reference.com/players/s/seldewa01.html,14,6-5,230,Chicago Bulls,regular season
596,514,Memphis Grizzlies,Wayne Selden,Utah Jazz,W,10/22/2018,21:51,2,7,0.28600000000000003,1,3,0.33299999999999996,2,2,1.0,1,2,3,2,1,0,1,3,7,8.0,2019,304,SG,https://www.basketball-reference.com/players/s/seldewa01.html,7,6-5,230,Memphis Grizzlies,regular season
597,515,Memphis Grizzlies,Dillon Brooks,Utah Jazz,W,10/22/2018,21:09,3,6,0.5,1,1,1.0,0,0,,0,1,1,1,0,1,1,1,7,18.0,2019,286,SF,https://www.basketball-reference.com/players/b/brookdi01.html,24,6-7,225,Memphis Grizzlies,regular season
598,516,Memphis Grizzlies,Kyle Anderson,Utah Jazz,W,10/22/2018,20:48,2,5,0.4,0,1,0.0,0,0,,1,3,4,2,0,1,1,2,4,-3.0,2019,284,SF,https://www.basketball-reference.com/players/a/anderky01.html,1,6-9,230,Memphis Grizzlies,regular season
599,517,Memphis Grizzlies,Omri Casspi,Utah Jazz,W,10/22/2018,10:15,1,2,0.5,0,1,0.0,2,2,1.0,0,1,1,1,1,0,0,0,4,7.0,2019,290,SF,https://www.basketball-reference.com/players/c/casspom01.html,18,6-9,225,Memphis Grizzlies,regular season
600,518,Memphis Grizzlies,MarShon Brooks,Utah Jazz,W,10/22/2018,3:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-6.0,2019,287,SG,https://www.basketball-reference.com/players/b/brookma01.html,8,6-5,200,Memphis Grizzlies,regular season
818,702,Memphis Grizzlies,Wayne Selden,Sacramento Kings,L,10/24/2018,24:59,5,10,0.5,3,6,0.5,0,0,,0,1,1,2,1,0,2,3,13,12.0,2019,95,SG,https://www.basketball-reference.com/players/s/seldewa01.html,14,6-5,230,Chicago Bulls,regular season
819,702,Memphis Grizzlies,Wayne Selden,Sacramento Kings,L,10/24/2018,24:59,5,10,0.5,3,6,0.5,0,0,,0,1,1,2,1,0,2,3,13,12.0,2019,304,SG,https://www.basketball-reference.com/players/s/seldewa01.html,7,6-5,230,Memphis Grizzlies,regular season
820,703,Memphis Grizzlies,Shelvin Mack,Sacramento Kings,L,10/24/2018,23:04,3,9,0.33299999999999996,0,3,0.0,1,2,0.5,0,3,3,3,0,0,2,0,7,-1.0,2019,68,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Charlotte Hornets,regular season
