,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
64,60,Miami Heat,Dwyane Wade,Orlando Magic,L,10/17/2018,26:02,3,13,0.231,0,1,0.0,3,4,0.75,5,6,11,2,0,0,4,2,9,-7.0,2019,326,SG,https://www.basketball-reference.com/players/w/wadedw01.html,3,6-4,220,Miami Heat,regular season
65,61,Miami Heat,Tyler Johnson,Orlando Magic,L,10/17/2018,23:45,3,7,0.429,1,3,0.33299999999999996,0,0,,0,0,0,0,1,0,0,1,7,-13.0,2019,318,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
66,61,Miami Heat,Tyler Johnson,Orlando Magic,L,10/17/2018,23:45,3,7,0.429,1,3,0.33299999999999996,0,0,,0,0,0,0,1,0,0,1,7,-13.0,2019,494,PG,https://www.basketball-reference.com/players/j/johnsty01.html,16,6-3,186,Phoenix Suns,regular season
67,62,Miami Heat,Bam Adebayo,Orlando Magic,L,10/17/2018,21:59,4,9,0.444,0,1,0.0,1,2,0.5,2,6,8,2,1,0,1,3,9,-6.0,2019,312,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
68,63,Miami Heat,Kelly Olynyk,Orlando Magic,L,10/17/2018,15:25,1,4,0.25,0,3,0.0,2,2,1.0,1,0,1,0,0,0,1,3,4,-16.0,2019,322,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
189,165,Miami Heat,Dwyane Wade,Washington Wizards,W,10/18/2018,26:25,4,11,0.364,0,2,0.0,1,2,0.5,2,6,8,4,2,0,3,1,9,0.0,2019,326,SG,https://www.basketball-reference.com/players/w/wadedw01.html,3,6-4,220,Miami Heat,regular season
190,166,Miami Heat,Tyler Johnson,Washington Wizards,W,10/18/2018,24:28,3,9,0.33299999999999996,1,5,0.2,2,2,1.0,1,0,1,1,1,0,1,2,9,9.0,2019,318,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
191,166,Miami Heat,Tyler Johnson,Washington Wizards,W,10/18/2018,24:28,3,9,0.33299999999999996,1,5,0.2,2,2,1.0,1,0,1,1,1,0,1,2,9,9.0,2019,494,PG,https://www.basketball-reference.com/players/j/johnsty01.html,16,6-3,186,Phoenix Suns,regular season
192,167,Miami Heat,Bam Adebayo,Washington Wizards,W,10/18/2018,17:07,1,4,0.25,0,0,,2,4,0.5,3,6,9,0,0,0,3,2,4,4.0,2019,312,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
193,168,Miami Heat,Kelly Olynyk,Washington Wizards,W,10/18/2018,15:22,4,6,0.667,1,2,0.5,0,0,,2,2,4,1,0,1,0,2,9,0.0,2019,322,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
417,358,Miami Heat,Dwyane Wade,Charlotte Hornets,L,10/20/2018,24:41,9,15,0.6,2,6,0.33299999999999996,1,2,0.5,1,2,3,3,0,2,3,5,21,4.0,2019,326,SG,https://www.basketball-reference.com/players/w/wadedw01.html,3,6-4,220,Miami Heat,regular season
418,359,Miami Heat,Tyler Johnson,Charlotte Hornets,L,10/20/2018,22:25,1,4,0.25,0,2,0.0,0,0,,1,0,1,3,1,1,0,2,2,-6.0,2019,318,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
