,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
27,26,Milwaukee Bucks,Ersan Ilyasova,Charlotte Hornets,W,10/17/2018,29:00,6,9,0.667,1,3,0.33299999999999996,0,0,,1,8,9,2,0,0,0,6,13,-10.0,2019,344,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,77,6-9,235,Milwaukee Bucks,regular season
28,27,Milwaukee Bucks,Donte DiVincenzo,Charlotte Hornets,W,10/17/2018,22:04,3,6,0.5,2,4,0.5,0,0,,1,1,2,1,1,0,1,0,8,-9.0,2019,338,SG,https://www.basketball-reference.com/players/d/divindo01.html,9,6-4,203,Milwaukee Bucks,regular season
29,28,Milwaukee Bucks,John Henson,Charlotte Hornets,W,10/17/2018,12:00,1,3,0.33299999999999996,0,0,,2,2,1.0,2,4,6,0,0,1,2,1,4,2.0,2019,342,C,https://www.basketball-reference.com/players/h/hensojo01.html,31,6-9,219,Milwaukee Bucks,regular season
30,29,Milwaukee Bucks,Tony Snell,Charlotte Hornets,W,10/17/2018,11:20,0,2,0.0,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,0,1.0,2019,351,SF,https://www.basketball-reference.com/players/s/snellto01.html,21,6-6,213,Milwaukee Bucks,regular season
31,30,Milwaukee Bucks,Christian Wood,Charlotte Hornets,W,10/17/2018,4:57,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,-3.0,2019,353,PF,https://www.basketball-reference.com/players/w/woodch01.html,35,6-10,214,Milwaukee Bucks,regular season
32,30,Milwaukee Bucks,Christian Wood,Charlotte Hornets,W,10/17/2018,4:57,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,-3.0,2019,394,PF,https://www.basketball-reference.com/players/w/woodch01.html,35,6-10,214,New Orleans Pelicans,regular season
33,31,Milwaukee Bucks,Sterling Brown,Charlotte Hornets,W,10/17/2018,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2019,333,SG,https://www.basketball-reference.com/players/b/brownst02.html,23,6-5,219,Milwaukee Bucks,regular season
310,266,Milwaukee Bucks,Ersan Ilyasova,Indiana Pacers,W,10/19/2018,23:43,1,3,0.33299999999999996,1,1,1.0,0,0,,0,3,3,0,1,1,1,3,3,13.0,2019,344,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,77,6-9,235,Milwaukee Bucks,regular season
311,267,Milwaukee Bucks,John Henson,Indiana Pacers,W,10/19/2018,22:26,3,7,0.429,2,3,0.667,2,4,0.5,3,6,9,0,0,3,0,2,10,-5.0,2019,342,C,https://www.basketball-reference.com/players/h/hensojo01.html,31,6-9,219,Milwaukee Bucks,regular season
312,268,Milwaukee Bucks,Donte DiVincenzo,Indiana Pacers,W,10/19/2018,20:14,2,5,0.4,1,4,0.25,3,4,0.75,0,2,2,0,1,0,4,4,8,15.0,2019,338,SG,https://www.basketball-reference.com/players/d/divindo01.html,9,6-4,203,Milwaukee Bucks,regular season
