,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
22,20,Milwaukee Bucks,Malcolm Brogdon,Charlotte Hornets,W,10/17/2018,38:01,4,9,0.444,2,6,0.33299999999999996,0,0,,0,3,3,6,1,0,4,3,10,1,2019,332,SG,https://www.basketball-reference.com/players/b/brogdma01.html,13,6-5,229,Milwaukee Bucks,regular season
23,21,Milwaukee Bucks,Giannis Antetokounmpo,Charlotte Hornets,W,10/17/2018,34:46,9,21,0.429,0,3,0.0,7,12,0.583,3,15,18,8,0,1,8,5,25,11,2019,330,PF,https://www.basketball-reference.com/players/a/antetgi01.html,34,6-11,242,Milwaukee Bucks,regular season
24,22,Milwaukee Bucks,Eric Bledsoe,Charlotte Hornets,W,10/17/2018,33:32,7,13,0.5379999999999999,3,5,0.6,0,0,,2,2,4,3,0,1,2,4,17,4,2019,331,PG,https://www.basketball-reference.com/players/b/bledser01.html,6,6-1,214,Milwaukee Bucks,regular season
25,23,Milwaukee Bucks,Khris Middleton,Charlotte Hornets,W,10/17/2018,32:46,7,14,0.5,3,6,0.5,2,2,1.0,1,8,9,4,2,1,2,3,19,2,2019,347,SF,https://www.basketball-reference.com/players/m/middlkh01.html,22,6-7,222,Milwaukee Bucks,regular season
26,24,Milwaukee Bucks,Brook Lopez,Charlotte Hornets,W,10/17/2018,21:27,4,7,0.5710000000000001,2,5,0.4,4,4,1.0,0,3,3,1,1,0,2,3,14,8,2019,345,C,https://www.basketball-reference.com/players/l/lopezbr01.html,11,7-0,282,Milwaukee Bucks,regular season
266,225,Milwaukee Bucks,Giannis Antetokounmpo,Indiana Pacers,W,10/19/2018,31:59,12,23,0.522,0,6,0.0,2,3,0.667,3,12,15,5,2,1,6,4,26,14,2019,330,PF,https://www.basketball-reference.com/players/a/antetgi01.html,34,6-11,242,Milwaukee Bucks,regular season
267,226,Milwaukee Bucks,Khris Middleton,Indiana Pacers,W,10/19/2018,30:34,7,15,0.467,5,9,0.556,4,6,0.667,1,3,4,4,1,0,3,2,23,24,2019,347,SF,https://www.basketball-reference.com/players/m/middlkh01.html,22,6-7,222,Milwaukee Bucks,regular season
268,227,Milwaukee Bucks,Malcolm Brogdon,Indiana Pacers,W,10/19/2018,27:26,6,9,0.667,2,4,0.5,1,1,1.0,0,4,4,7,2,0,2,2,15,14,2019,332,SG,https://www.basketball-reference.com/players/b/brogdma01.html,13,6-5,229,Milwaukee Bucks,regular season
269,228,Milwaukee Bucks,Eric Bledsoe,Indiana Pacers,W,10/19/2018,26:02,5,9,0.556,2,5,0.4,0,0,,3,3,6,7,2,2,0,2,12,17,2019,331,PG,https://www.basketball-reference.com/players/b/bledser01.html,6,6-1,214,Milwaukee Bucks,regular season
270,229,Milwaukee Bucks,Brook Lopez,Indiana Pacers,W,10/19/2018,22:16,3,10,0.3,2,8,0.25,0,0,,1,2,3,2,0,1,0,4,8,18,2019,345,C,https://www.basketball-reference.com/players/l/lopezbr01.html,11,7-0,282,Milwaukee Bucks,regular season
489,415,Milwaukee Bucks,Giannis Antetokounmpo,New York Knicks,W,10/22/2018,36:55,13,29,0.44799999999999995,1,3,0.33299999999999996,4,6,0.667,9,6,15,4,0,2,3,4,31,9,2019,330,PF,https://www.basketball-reference.com/players/a/antetgi01.html,34,6-11,242,Milwaukee Bucks,regular season
490,416,Milwaukee Bucks,Khris Middleton,New York Knicks,W,10/22/2018,34:56,11,14,0.7859999999999999,7,8,0.875,1,2,0.5,0,7,7,2,1,0,2,3,30,16,2019,347,SF,https://www.basketball-reference.com/players/m/middlkh01.html,22,6-7,222,Milwaukee Bucks,regular season
