,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
15,14,Oklahoma City Thunder,Jerami Grant,Golden State Warriors,L,10/16/2018,29:07,2,7,0.28600000000000003,1,4,0.25,2,4,0.5,2,0,2,2,0,3,0,1,7,-11.0,2019,427,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210,Oklahoma City Thunder,regular season
16,15,Oklahoma City Thunder,Alex Abrines,Golden State Warriors,L,10/16/2018,23:28,3,8,0.375,2,6,0.33299999999999996,0,0,,0,2,2,0,0,0,0,2,8,-5.0,2019,418,SG,https://www.basketball-reference.com/players/a/abrinal01.html,8,6-6,200,Oklahoma City Thunder,regular season
17,16,Oklahoma City Thunder,Raymond Felton,Golden State Warriors,L,10/16/2018,13:55,1,5,0.2,0,3,0.0,4,5,0.8,0,3,3,1,0,0,2,0,6,-1.0,2019,424,PG,https://www.basketball-reference.com/players/f/feltora01.html,2,6-1,205,Oklahoma City Thunder,regular season
18,17,Oklahoma City Thunder,Nerlens Noel,Golden State Warriors,L,10/16/2018,12:24,1,2,0.5,0,0,,1,2,0.5,3,4,7,1,1,1,0,3,3,-2.0,2019,432,C,https://www.basketball-reference.com/players/n/noelne01.html,3,6-10,220,Oklahoma City Thunder,regular season
19,18,Oklahoma City Thunder,Hamidou Diallo,Golden State Warriors,L,10/16/2018,8:37,2,4,0.5,0,0,,0,1,0.0,0,1,1,1,1,0,0,2,4,5.0,2019,422,SG,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202,Oklahoma City Thunder,regular season
320,274,Oklahoma City Thunder,Alex Abrines,Los Angeles Clippers,L,10/19/2018,32:06,4,10,0.4,2,7,0.28600000000000003,0,0,,1,1,2,1,1,0,2,0,10,-9.0,2019,418,SG,https://www.basketball-reference.com/players/a/abrinal01.html,8,6-6,200,Oklahoma City Thunder,regular season
321,275,Oklahoma City Thunder,Jerami Grant,Los Angeles Clippers,L,10/19/2018,27:38,1,4,0.25,0,1,0.0,2,4,0.5,0,8,8,2,0,2,3,5,4,-5.0,2019,427,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210,Oklahoma City Thunder,regular season
322,276,Oklahoma City Thunder,Raymond Felton,Los Angeles Clippers,L,10/19/2018,17:59,5,12,0.41700000000000004,0,3,0.0,2,2,1.0,1,3,4,3,0,1,1,2,12,2.0,2019,424,PG,https://www.basketball-reference.com/players/f/feltora01.html,2,6-1,205,Oklahoma City Thunder,regular season
323,277,Oklahoma City Thunder,Nerlens Noel,Los Angeles Clippers,L,10/19/2018,14:41,4,5,0.8,0,0,,1,2,0.5,3,2,5,0,1,0,0,2,9,0.0,2019,432,C,https://www.basketball-reference.com/players/n/noelne01.html,3,6-10,220,Oklahoma City Thunder,regular season
324,278,Oklahoma City Thunder,Hamidou Diallo,Los Angeles Clippers,L,10/19/2018,8:32,0,1,0.0,0,0,,3,4,0.75,2,1,3,0,0,0,0,3,3,1.0,2019,422,SG,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202,Oklahoma City Thunder,regular season
325,279,Oklahoma City Thunder,Deonte Burton,Los Angeles Clippers,L,10/19/2018,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2019,420,SG,https://www.basketball-reference.com/players/b/burtode02.html,30,6-4,240,Oklahoma City Thunder,regular season
498,429,Oklahoma City Thunder,Dennis Schroder,Sacramento Kings,L,10/21/2018,32:23,5,16,0.313,2,5,0.4,2,2,1.0,1,3,4,8,1,0,3,4,14,-5.0,2019,434,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Oklahoma City Thunder,regular season
499,430,Oklahoma City Thunder,Jerami Grant,Sacramento Kings,L,10/21/2018,27:47,3,12,0.25,0,5,0.0,1,2,0.5,2,1,3,1,1,2,1,3,7,-1.0,2019,427,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210,Oklahoma City Thunder,regular season
500,431,Oklahoma City Thunder,Hamidou Diallo,Sacramento Kings,L,10/21/2018,21:05,5,7,0.7140000000000001,1,2,0.5,0,0,,1,0,1,2,2,0,1,3,11,0.0,2019,422,SG,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202,Oklahoma City Thunder,regular season
501,432,Oklahoma City Thunder,Nerlens Noel,Sacramento Kings,L,10/21/2018,13:18,3,3,1.0,0,0,,0,0,,3,2,5,0,0,2,0,6,6,-3.0,2019,432,C,https://www.basketball-reference.com/players/n/noelne01.html,3,6-10,220,Oklahoma City Thunder,regular season
502,433,Oklahoma City Thunder,Deonte Burton,Sacramento Kings,L,10/21/2018,6:53,2,4,0.5,1,2,0.5,0,0,,0,1,1,0,0,1,0,0,5,-2.0,2019,420,SG,https://www.basketball-reference.com/players/b/burtode02.html,30,6-4,240,Oklahoma City Thunder,regular season
503,434,Oklahoma City Thunder,Alex Abrines,Sacramento Kings,L,10/21/2018,5:20,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,0,0,0,5.0,2019,418,SG,https://www.basketball-reference.com/players/a/abrinal01.html,8,6-6,200,Oklahoma City Thunder,regular season
876,753,Oklahoma City Thunder,Dennis Schroder,Boston Celtics,L,10/25/2018,23:44,4,10,0.4,1,3,0.33299999999999996,1,2,0.5,0,3,3,6,1,0,2,4,10,-12.0,2019,434,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Oklahoma City Thunder,regular season
877,754,Oklahoma City Thunder,Hamidou Diallo,Boston Celtics,L,10/25/2018,19:34,3,7,0.429,0,0,,0,0,,2,3,5,0,1,3,1,1,6,3.0,2019,422,SG,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202,Oklahoma City Thunder,regular season
878,755,Oklahoma City Thunder,Alex Abrines,Boston Celtics,L,10/25/2018,18:33,2,5,0.4,2,5,0.4,0,1,0.0,0,1,1,1,0,0,0,2,6,6.0,2019,418,SG,https://www.basketball-reference.com/players/a/abrinal01.html,8,6-6,200,Oklahoma City Thunder,regular season
879,756,Oklahoma City Thunder,Patrick Patterson,Boston Celtics,L,10/25/2018,17:24,3,5,0.6,1,2,0.5,0,0,,2,5,7,0,0,0,1,3,7,-1.0,2019,433,PF,https://www.basketball-reference.com/players/p/pattepa01.html,54,6-8,235,Oklahoma City Thunder,regular season
880,757,Oklahoma City Thunder,Nerlens Noel,Boston Celtics,L,10/25/2018,15:10,3,4,0.75,0,0,,1,2,0.5,2,2,4,0,0,1,0,3,7,-4.0,2019,432,C,https://www.basketball-reference.com/players/n/noelne01.html,3,6-10,220,Oklahoma City Thunder,regular season
1159,998,Oklahoma City Thunder,Patrick Patterson,Phoenix Suns,W,10/28/2018,29:44,6,10,0.6,2,5,0.4,3,4,0.75,1,3,4,0,0,0,0,3,17,-8.0,2019,433,PF,https://www.basketball-reference.com/players/p/pattepa01.html,54,6-8,235,Oklahoma City Thunder,regular season
1160,999,Oklahoma City Thunder,Dennis Schroder,Phoenix Suns,W,10/28/2018,26:52,4,10,0.4,0,1,0.0,4,6,0.667,0,4,4,7,0,0,2,4,12,15.0,2019,434,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Oklahoma City Thunder,regular season
