,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
69,64,Orlando Magic,Jonathon Simmons,Miami Heat,W,10/17/2018,33:26,4,11,0.364,0,4,0.0,4,6,0.667,2,3,5,1,0,1,0,4,12,12.0,2019,451,SG,https://www.basketball-reference.com/players/s/simmojo02.html,17,6-6,195,Orlando Magic,regular season
70,64,Orlando Magic,Jonathon Simmons,Miami Heat,W,10/17/2018,33:26,4,11,0.364,0,4,0.0,4,6,0.667,2,3,5,1,0,1,0,4,12,12.0,2019,477,SF,https://www.basketball-reference.com/players/s/simmojo02.html,14,6-6,195,Philadelphia 76ers,regular season
71,65,Orlando Magic,Jerian Grant,Miami Heat,W,10/17/2018,25:42,3,7,0.429,0,2,0.0,1,2,0.5,0,2,2,1,2,0,1,2,7,11.0,2019,445,PG,https://www.basketball-reference.com/players/g/grantje02.html,22,6-4,205,Orlando Magic,regular season
72,66,Orlando Magic,Terrence Ross,Miami Heat,W,10/17/2018,25:32,2,9,0.222,0,4,0.0,0,0,,0,4,4,4,2,4,1,4,4,16.0,2019,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
73,67,Orlando Magic,Mohamed Bamba,Miami Heat,W,10/17/2018,24:58,6,8,0.75,1,2,0.5,0,2,0.0,4,3,7,0,0,2,0,1,13,13.0,2019,437,C,https://www.basketball-reference.com/players/b/bambamo01.html,5,7-0,231,Orlando Magic,regular season
224,194,Orlando Magic,Jerian Grant,Charlotte Hornets,L,10/19/2018,24:59,3,7,0.429,1,3,0.33299999999999996,0,0,,0,1,1,2,3,0,2,3,7,-9.0,2019,445,PG,https://www.basketball-reference.com/players/g/grantje02.html,22,6-4,205,Orlando Magic,regular season
225,195,Orlando Magic,Jonathon Simmons,Charlotte Hornets,L,10/19/2018,22:41,3,9,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,2,3,1,0,0,1,4,7,-16.0,2019,451,SG,https://www.basketball-reference.com/players/s/simmojo02.html,17,6-6,195,Orlando Magic,regular season
226,195,Orlando Magic,Jonathon Simmons,Charlotte Hornets,L,10/19/2018,22:41,3,9,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,2,3,1,0,0,1,4,7,-16.0,2019,477,SF,https://www.basketball-reference.com/players/s/simmojo02.html,14,6-6,195,Philadelphia 76ers,regular season
227,196,Orlando Magic,Terrence Ross,Charlotte Hornets,L,10/19/2018,19:02,4,10,0.4,1,3,0.33299999999999996,5,5,1.0,0,1,1,0,1,0,1,0,14,-13.0,2019,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
228,197,Orlando Magic,Mohamed Bamba,Charlotte Hornets,L,10/19/2018,18:37,0,4,0.0,0,2,0.0,0,0,,0,5,5,2,0,1,1,0,0,-20.0,2019,437,C,https://www.basketball-reference.com/players/b/bambamo01.html,5,7-0,231,Orlando Magic,regular season
229,198,Orlando Magic,Wesley Iwundu,Charlotte Hornets,L,10/19/2018,14:52,4,11,0.364,0,2,0.0,3,5,0.6,2,2,4,0,1,0,0,0,11,-3.0,2019,447,SF,https://www.basketball-reference.com/players/i/iwundwe01.html,25,6-6,195,Orlando Magic,regular season
230,199,Orlando Magic,Jarell Martin,Charlotte Hornets,L,10/19/2018,12:00,3,4,0.75,0,1,0.0,0,0,,0,2,2,1,0,0,0,0,6,-4.0,2019,449,PF,https://www.basketball-reference.com/players/m/martija01.html,2,6-10,239,Orlando Magic,regular season
231,200,Orlando Magic,Isaiah Briscoe,Charlotte Hornets,L,10/19/2018,10:04,4,5,0.8,1,1,1.0,1,3,0.33299999999999996,0,1,1,3,0,0,0,1,10,1.0,2019,439,PG,https://www.basketball-reference.com/players/b/briscis01.html,13,6-3,215,Orlando Magic,regular season
232,201,Orlando Magic,Khem Birch,Charlotte Hornets,L,10/19/2018,10:04,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,1.0,2019,438,C,https://www.basketball-reference.com/players/b/birchkh01.html,24,6-9,233,Orlando Magic,regular season
392,335,Orlando Magic,Terrence Ross,Philadelphia 76ers,L,10/20/2018,28:58,5,14,0.35700000000000004,3,5,0.6,2,2,1.0,1,3,4,2,1,0,0,2,15,-11.0,2019,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
393,336,Orlando Magic,Wesley Iwundu,Philadelphia 76ers,L,10/20/2018,18:03,0,4,0.0,0,2,0.0,0,0,,2,2,4,0,0,0,0,2,0,-20.0,2019,447,SF,https://www.basketball-reference.com/players/i/iwundwe01.html,25,6-6,195,Orlando Magic,regular season
394,337,Orlando Magic,Mohamed Bamba,Philadelphia 76ers,L,10/20/2018,14:10,2,4,0.5,1,2,0.5,0,0,,1,0,1,2,0,3,1,2,5,-25.0,2019,437,C,https://www.basketball-reference.com/players/b/bambamo01.html,5,7-0,231,Orlando Magic,regular season
395,338,Orlando Magic,Jerian Grant,Philadelphia 76ers,L,10/20/2018,7:14,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,2,0,0,-19.0,2019,445,PG,https://www.basketball-reference.com/players/g/grantje02.html,22,6-4,205,Orlando Magic,regular season
396,339,Orlando Magic,Isaiah Briscoe,Philadelphia 76ers,L,10/20/2018,6:10,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-5.0,2019,439,PG,https://www.basketball-reference.com/players/b/briscis01.html,13,6-3,215,Orlando Magic,regular season
529,457,Orlando Magic,Jonathon Simmons,Boston Celtics,W,10/22/2018,23:32,1,9,0.111,0,4,0.0,2,2,1.0,0,4,4,1,0,0,2,3,4,-8.0,2019,451,SG,https://www.basketball-reference.com/players/s/simmojo02.html,17,6-6,195,Orlando Magic,regular season
530,457,Orlando Magic,Jonathon Simmons,Boston Celtics,W,10/22/2018,23:32,1,9,0.111,0,4,0.0,2,2,1.0,0,4,4,1,0,0,2,3,4,-8.0,2019,477,SF,https://www.basketball-reference.com/players/s/simmojo02.html,14,6-6,195,Philadelphia 76ers,regular season
531,458,Orlando Magic,Terrence Ross,Boston Celtics,W,10/22/2018,19:14,3,8,0.375,0,5,0.0,0,0,,0,1,1,0,1,0,1,2,6,0.0,2019,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
532,459,Orlando Magic,Mohamed Bamba,Boston Celtics,W,10/22/2018,19:14,0,3,0.0,0,2,0.0,0,0,,0,5,5,1,1,2,0,1,0,0.0,2019,437,C,https://www.basketball-reference.com/players/b/bambamo01.html,5,7-0,231,Orlando Magic,regular season
533,460,Orlando Magic,Jerian Grant,Boston Celtics,W,10/22/2018,18:17,2,6,0.33299999999999996,0,1,0.0,0,0,,1,2,3,2,0,0,2,2,4,-9.0,2019,445,PG,https://www.basketball-reference.com/players/g/grantje02.html,22,6-4,205,Orlando Magic,regular season
866,744,Orlando Magic,Terrence Ross,Portland Trail Blazers,L,10/25/2018,29:17,8,14,0.5710000000000001,5,9,0.556,0,1,0.0,2,2,4,2,1,0,3,0,21,-15.0,2019,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
867,745,Orlando Magic,Jerian Grant,Portland Trail Blazers,L,10/25/2018,21:05,1,5,0.2,0,1,0.0,0,0,,1,2,3,5,0,0,1,0,2,-6.0,2019,445,PG,https://www.basketball-reference.com/players/g/grantje02.html,22,6-4,205,Orlando Magic,regular season
868,746,Orlando Magic,Jonathon Simmons,Portland Trail Blazers,L,10/25/2018,20:57,1,7,0.14300000000000002,0,1,0.0,4,4,1.0,0,0,0,5,1,0,1,2,6,-1.0,2019,451,SG,https://www.basketball-reference.com/players/s/simmojo02.html,17,6-6,195,Orlando Magic,regular season
869,746,Orlando Magic,Jonathon Simmons,Portland Trail Blazers,L,10/25/2018,20:57,1,7,0.14300000000000002,0,1,0.0,4,4,1.0,0,0,0,5,1,0,1,2,6,-1.0,2019,477,SF,https://www.basketball-reference.com/players/s/simmojo02.html,14,6-6,195,Philadelphia 76ers,regular season
870,747,Orlando Magic,Mohamed Bamba,Portland Trail Blazers,L,10/25/2018,20:05,4,5,0.8,0,1,0.0,0,0,,2,5,7,2,0,1,1,1,8,-9.0,2019,437,C,https://www.basketball-reference.com/players/b/bambamo01.html,5,7-0,231,Orlando Magic,regular season
1099,944,Orlando Magic,Jerian Grant,Milwaukee Bucks,L,10/27/2018,26:24,2,7,0.28600000000000003,1,3,0.33299999999999996,0,0,,2,3,5,2,3,1,2,2,5,-16.0,2019,445,PG,https://www.basketball-reference.com/players/g/grantje02.html,22,6-4,205,Orlando Magic,regular season
1100,945,Orlando Magic,Mohamed Bamba,Milwaukee Bucks,L,10/27/2018,22:52,2,5,0.4,2,3,0.667,1,2,0.5,1,5,6,0,0,0,0,1,7,-17.0,2019,437,C,https://www.basketball-reference.com/players/b/bambamo01.html,5,7-0,231,Orlando Magic,regular season
1101,946,Orlando Magic,Terrence Ross,Milwaukee Bucks,L,10/27/2018,17:32,3,12,0.25,1,7,0.14300000000000002,0,0,,0,1,1,4,0,0,1,4,7,-11.0,2019,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
1102,947,Orlando Magic,Jonathon Simmons,Milwaukee Bucks,L,10/27/2018,17:29,3,10,0.3,2,4,0.5,2,2,1.0,2,2,4,3,1,1,2,2,10,-23.0,2019,451,SG,https://www.basketball-reference.com/players/s/simmojo02.html,17,6-6,195,Orlando Magic,regular season
1103,947,Orlando Magic,Jonathon Simmons,Milwaukee Bucks,L,10/27/2018,17:29,3,10,0.3,2,4,0.5,2,2,1.0,2,2,4,3,1,1,2,2,10,-23.0,2019,477,SF,https://www.basketball-reference.com/players/s/simmojo02.html,14,6-6,195,Philadelphia 76ers,regular season
