,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
109,95,San Antonio Spurs,LaMarcus Aldridge,Minnesota Timberwolves,W,10/17/2018,41:39,7,23,0.304,0,1,0.0,7,10,0.7,8,11,19,2,1,3,2,2,21,6,2019,541,C,https://www.basketball-reference.com/players/a/aldrila01.html,12,6-11,250,San Antonio Spurs,regular season
110,96,San Antonio Spurs,DeMar DeRozan,Minnesota Timberwolves,W,10/17/2018,38:11,10,21,0.47600000000000003,1,3,0.33299999999999996,7,11,0.636,0,4,4,4,0,0,3,3,28,7,2019,545,SG,https://www.basketball-reference.com/players/d/derozde01.html,10,6-6,220,San Antonio Spurs,regular season
111,97,San Antonio Spurs,Bryn Forbes,Minnesota Timberwolves,W,10/17/2018,30:02,4,10,0.4,1,5,0.2,2,2,1.0,1,2,3,2,2,0,2,5,11,2,2019,547,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
112,98,San Antonio Spurs,Rudy Gay,Minnesota Timberwolves,W,10/17/2018,23:29,8,12,0.667,1,1,1.0,1,2,0.5,3,4,7,0,0,1,1,3,18,2,2019,549,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
113,99,San Antonio Spurs,Jakob Poeltl,Minnesota Timberwolves,W,10/17/2018,7:52,2,4,0.5,0,0,,0,0,,4,0,4,2,0,0,0,3,4,2,2019,553,C,https://www.basketball-reference.com/players/p/poeltja01.html,25,7-1,245,San Antonio Spurs,regular season
394,330,San Antonio Spurs,LaMarcus Aldridge,Portland Trail Blazers,L,10/20/2018,36:44,6,13,0.462,0,1,0.0,0,1,0.0,5,3,8,5,1,1,0,0,12,-18,2019,541,C,https://www.basketball-reference.com/players/a/aldrila01.html,12,6-11,250,San Antonio Spurs,regular season
395,331,San Antonio Spurs,DeMar DeRozan,Portland Trail Blazers,L,10/20/2018,34:22,11,22,0.5,0,1,0.0,6,6,1.0,1,2,3,9,2,0,2,3,28,-12,2019,545,SG,https://www.basketball-reference.com/players/d/derozde01.html,10,6-6,220,San Antonio Spurs,regular season
396,332,San Antonio Spurs,Bryn Forbes,Portland Trail Blazers,L,10/20/2018,27:11,6,13,0.462,5,8,0.625,0,0,,0,2,2,3,0,0,0,1,17,-16,2019,547,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
397,333,San Antonio Spurs,Rudy Gay,Portland Trail Blazers,L,10/20/2018,26:37,5,13,0.385,2,4,0.5,0,0,,1,6,7,1,0,0,2,5,12,-18,2019,549,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
398,334,San Antonio Spurs,Jakob Poeltl,Portland Trail Blazers,L,10/20/2018,13:06,0,0,,0,0,,0,0,,1,1,2,2,0,0,0,1,0,-2,2019,553,C,https://www.basketball-reference.com/players/p/poeltja01.html,25,7-1,245,San Antonio Spurs,regular season
559,470,San Antonio Spurs,DeMar DeRozan,Los Angeles Lakers,W,10/22/2018,45:00,11,29,0.379,2,5,0.4,8,9,0.889,1,7,8,14,1,0,2,3,32,7,2019,545,SG,https://www.basketball-reference.com/players/d/derozde01.html,10,6-6,220,San Antonio Spurs,regular season
560,471,San Antonio Spurs,LaMarcus Aldridge,Los Angeles Lakers,W,10/22/2018,39:59,13,22,0.591,0,0,,11,18,0.611,5,5,10,5,1,1,1,3,37,9,2019,541,C,https://www.basketball-reference.com/players/a/aldrila01.html,12,6-11,250,San Antonio Spurs,regular season
561,472,San Antonio Spurs,Bryn Forbes,Los Angeles Lakers,W,10/22/2018,37:05,6,14,0.429,4,8,0.5,0,0,,1,2,3,1,1,0,1,4,16,-1,2019,547,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
