,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
174,145,Washington Wizards,John Wall,Miami Heat,L,10/18/2018,35:49,9,16,0.563,1,6,0.16699999999999998,7,10,0.7,1,2,3,9,1,4,3,4,26,6,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
175,146,Washington Wizards,Otto Porter,Miami Heat,L,10/18/2018,33:37,3,7,0.429,0,0,,3,4,0.75,2,9,11,0,3,3,0,1,9,1,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
176,146,Washington Wizards,Otto Porter,Miami Heat,L,10/18/2018,33:37,3,7,0.429,0,0,,3,4,0.75,2,9,11,0,3,3,0,1,9,1,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
177,147,Washington Wizards,Bradley Beal,Miami Heat,L,10/18/2018,27:11,7,16,0.43799999999999994,2,7,0.28600000000000003,4,6,0.667,0,1,1,2,1,0,1,5,20,-6,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
178,148,Washington Wizards,Markieff Morris,Miami Heat,L,10/18/2018,24:50,3,8,0.375,2,3,0.667,3,4,0.75,0,5,5,2,0,2,3,4,11,-1,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
179,148,Washington Wizards,Markieff Morris,Miami Heat,L,10/18/2018,24:50,3,8,0.375,2,3,0.667,3,4,0.75,0,5,5,2,0,2,3,4,11,-1,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
180,149,Washington Wizards,Ian Mahinmi,Miami Heat,L,10/18/2018,11:38,1,2,0.5,0,0,,1,2,0.5,1,0,1,0,1,2,1,4,3,3,2019,607,C,https://www.basketball-reference.com/players/m/mahinia01.html,28,6-11,262,Washington Wizards,regular season
309,265,Washington Wizards,Bradley Beal,Toronto Raptors,L,10/20/2018,35:14,12,21,0.5710000000000001,6,11,0.545,2,4,0.5,0,3,3,6,1,1,1,5,32,3,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
310,266,Washington Wizards,John Wall,Toronto Raptors,L,10/20/2018,34:23,7,16,0.43799999999999994,0,4,0.0,11,13,0.846,2,2,4,6,4,1,4,4,25,2,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
311,267,Washington Wizards,Markieff Morris,Toronto Raptors,L,10/20/2018,31:05,3,6,0.5,1,2,0.5,3,3,1.0,0,7,7,3,2,2,2,3,10,5,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
312,267,Washington Wizards,Markieff Morris,Toronto Raptors,L,10/20/2018,31:05,3,6,0.5,1,2,0.5,3,3,1.0,0,7,7,3,2,2,2,3,10,5,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
313,268,Washington Wizards,Otto Porter,Toronto Raptors,L,10/20/2018,24:53,4,9,0.444,2,7,0.28600000000000003,1,1,1.0,0,1,1,0,1,1,0,1,11,13,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
314,268,Washington Wizards,Otto Porter,Toronto Raptors,L,10/20/2018,24:53,4,9,0.444,2,7,0.28600000000000003,1,1,1.0,0,1,1,0,1,1,0,1,11,13,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
315,269,Washington Wizards,Ian Mahinmi,Toronto Raptors,L,10/20/2018,17:29,0,3,0.0,0,0,,2,4,0.5,4,2,6,1,1,1,0,4,2,1,2019,607,C,https://www.basketball-reference.com/players/m/mahinia01.html,28,6-11,262,Washington Wizards,regular season
533,450,Washington Wizards,Otto Porter,Portland Trail Blazers,W,10/22/2018,43:31,6,16,0.375,0,4,0.0,4,5,0.8,2,8,10,0,2,1,1,5,16,-3,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
534,450,Washington Wizards,Otto Porter,Portland Trail Blazers,W,10/22/2018,43:31,6,16,0.375,0,4,0.0,4,5,0.8,2,8,10,0,2,1,1,5,16,-3,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
535,451,Washington Wizards,Bradley Beal,Portland Trail Blazers,W,10/22/2018,43:05,10,25,0.4,5,9,0.556,0,1,0.0,1,7,8,7,0,1,0,3,25,7,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
536,452,Washington Wizards,John Wall,Portland Trail Blazers,W,10/22/2018,41:16,5,19,0.263,0,2,0.0,6,11,0.545,0,4,4,9,1,1,4,0,16,2,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
537,453,Washington Wizards,Markieff Morris,Portland Trail Blazers,W,10/22/2018,25:06,9,15,0.6,6,10,0.6,4,4,1.0,3,6,9,1,1,1,1,5,28,-2,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
538,453,Washington Wizards,Markieff Morris,Portland Trail Blazers,W,10/22/2018,25:06,9,15,0.6,6,10,0.6,4,4,1.0,3,6,9,1,1,1,1,5,28,-2,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
539,454,Washington Wizards,Ian Mahinmi,Portland Trail Blazers,W,10/22/2018,4:00,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,2,0,1,2019,607,C,https://www.basketball-reference.com/players/m/mahinia01.html,28,6-11,262,Washington Wizards,regular season
731,610,Washington Wizards,John Wall,Golden State Warriors,L,10/24/2018,27:16,5,12,0.41700000000000004,1,5,0.2,2,4,0.5,0,2,2,6,0,0,4,3,13,-22,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
732,611,Washington Wizards,Otto Porter,Golden State Warriors,L,10/24/2018,23:43,5,9,0.556,2,6,0.33299999999999996,0,0,,0,1,1,1,2,0,1,2,12,-5,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
733,611,Washington Wizards,Otto Porter,Golden State Warriors,L,10/24/2018,23:43,5,9,0.556,2,6,0.33299999999999996,0,0,,0,1,1,1,2,0,1,2,12,-5,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
734,612,Washington Wizards,Markieff Morris,Golden State Warriors,L,10/24/2018,23:01,6,10,0.6,2,4,0.5,0,0,,0,4,4,2,0,0,0,3,14,-15,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
735,612,Washington Wizards,Markieff Morris,Golden State Warriors,L,10/24/2018,23:01,6,10,0.6,2,4,0.5,0,0,,0,4,4,2,0,0,0,3,14,-15,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
736,613,Washington Wizards,Bradley Beal,Golden State Warriors,L,10/24/2018,19:25,10,15,0.667,1,4,0.25,2,2,1.0,0,3,3,4,1,0,0,3,23,-10,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
737,614,Washington Wizards,Jason Smith,Golden State Warriors,L,10/24/2018,10:33,2,5,0.4,0,0,,0,0,,3,1,4,2,1,1,0,2,4,-9,2019,350,PF,https://www.basketball-reference.com/players/s/smithja02.html,20,7-0,240,Milwaukee Bucks,regular season
738,614,Washington Wizards,Jason Smith,Golden State Warriors,L,10/24/2018,10:33,2,5,0.4,0,0,,0,0,,3,1,4,2,1,1,0,2,4,-9,2019,392,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,New Orleans Pelicans,regular season
739,614,Washington Wizards,Jason Smith,Golden State Warriors,L,10/24/2018,10:33,2,5,0.4,0,0,,0,0,,3,1,4,2,1,1,0,2,4,-9,2019,619,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,Washington Wizards,regular season
861,720,Washington Wizards,Bradley Beal,Sacramento Kings,L,10/26/2018,39:01,6,19,0.316,3,11,0.273,6,6,1.0,0,5,5,0,2,0,5,5,21,-7,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
862,721,Washington Wizards,Markieff Morris,Sacramento Kings,L,10/26/2018,36:42,6,10,0.6,1,5,0.2,0,2,0.0,0,7,7,1,0,2,3,3,13,-6,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
863,721,Washington Wizards,Markieff Morris,Sacramento Kings,L,10/26/2018,36:42,6,10,0.6,1,5,0.2,0,2,0.0,0,7,7,1,0,2,3,3,13,-6,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
864,722,Washington Wizards,John Wall,Sacramento Kings,L,10/26/2018,36:35,9,20,0.45,1,6,0.16699999999999998,7,8,0.875,1,1,2,8,3,3,2,6,26,-6,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
865,723,Washington Wizards,Otto Porter,Sacramento Kings,L,10/26/2018,21:33,2,6,0.33299999999999996,1,4,0.25,0,0,,1,2,3,2,0,0,2,1,5,-8,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
866,723,Washington Wizards,Otto Porter,Sacramento Kings,L,10/26/2018,21:33,2,6,0.33299999999999996,1,4,0.25,0,0,,1,2,3,2,0,0,2,1,5,-8,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
867,724,Washington Wizards,Ian Mahinmi,Sacramento Kings,L,10/26/2018,18:49,1,2,0.5,0,1,0.0,2,4,0.5,0,5,5,1,2,0,1,3,4,-4,2019,607,C,https://www.basketball-reference.com/players/m/mahinia01.html,28,6-11,262,Washington Wizards,regular season
1019,850,Washington Wizards,Otto Porter,Los Angeles Clippers,L,10/28/2018,30:28,3,9,0.33299999999999996,0,2,0.0,0,0,,1,4,5,2,2,0,0,0,6,-12,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
1020,850,Washington Wizards,Otto Porter,Los Angeles Clippers,L,10/28/2018,30:28,3,9,0.33299999999999996,0,2,0.0,0,0,,1,4,5,2,2,0,0,0,6,-12,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
1021,851,Washington Wizards,Bradley Beal,Los Angeles Clippers,L,10/28/2018,28:57,8,16,0.5,1,6,0.16699999999999998,3,5,0.6,1,6,7,0,0,1,3,3,20,-19,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
1022,852,Washington Wizards,Ian Mahinmi,Los Angeles Clippers,L,10/28/2018,28:53,3,5,0.6,0,0,,5,6,0.833,3,4,7,0,0,0,2,4,11,-24,2019,607,C,https://www.basketball-reference.com/players/m/mahinia01.html,28,6-11,262,Washington Wizards,regular season
1023,853,Washington Wizards,John Wall,Los Angeles Clippers,L,10/28/2018,27:37,8,20,0.4,0,2,0.0,2,3,0.667,1,2,3,5,4,0,1,0,18,-6,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
1024,854,Washington Wizards,Markieff Morris,Los Angeles Clippers,L,10/28/2018,13:39,0,4,0.0,0,3,0.0,0,0,,0,1,1,0,0,0,0,1,0,-6,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
1025,854,Washington Wizards,Markieff Morris,Los Angeles Clippers,L,10/28/2018,13:39,0,4,0.0,0,3,0.0,0,0,,0,1,1,0,0,0,0,1,0,-6,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
1204,1010,Washington Wizards,Bradley Beal,Memphis Grizzlies,L,10/30/2018,40:16,5,16,0.313,4,12,0.33299999999999996,3,4,0.75,0,3,3,7,2,3,4,0,17,-1,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
1205,1011,Washington Wizards,Otto Porter,Memphis Grizzlies,L,10/30/2018,37:57,6,14,0.429,3,6,0.5,0,0,,0,6,6,3,1,0,0,3,15,-8,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
1206,1011,Washington Wizards,Otto Porter,Memphis Grizzlies,L,10/30/2018,37:57,6,14,0.429,3,6,0.5,0,0,,0,6,6,3,1,0,0,3,15,-8,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
1207,1012,Washington Wizards,John Wall,Memphis Grizzlies,L,10/30/2018,34:23,9,15,0.6,4,7,0.5710000000000001,0,0,,1,4,5,7,3,0,9,3,22,-14,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
1208,1013,Washington Wizards,Jeff Green,Memphis Grizzlies,L,10/30/2018,29:25,2,6,0.33299999999999996,0,2,0.0,0,0,,0,5,5,1,0,1,2,3,4,-4,2019,603,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Washington Wizards,regular season
1209,1014,Washington Wizards,Ian Mahinmi,Memphis Grizzlies,L,10/30/2018,20:12,2,3,0.667,0,0,,3,4,0.75,1,5,6,0,0,0,0,4,7,-19,2019,607,C,https://www.basketball-reference.com/players/m/mahinia01.html,28,6-11,262,Washington Wizards,regular season
1425,1195,Washington Wizards,John Wall,Oklahoma City Thunder,L,11/02/2018,33:54,8,13,0.615,2,5,0.4,1,2,0.5,0,2,2,9,1,0,7,3,19,-16,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
1426,1196,Washington Wizards,Bradley Beal,Oklahoma City Thunder,L,11/02/2018,31:11,10,16,0.625,4,7,0.5710000000000001,3,3,1.0,0,2,2,4,1,0,5,2,27,-16,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
1427,1197,Washington Wizards,Markieff Morris,Oklahoma City Thunder,L,11/02/2018,28:40,2,6,0.33299999999999996,0,2,0.0,0,0,,0,2,2,4,1,0,0,1,4,-9,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
1428,1197,Washington Wizards,Markieff Morris,Oklahoma City Thunder,L,11/02/2018,28:40,2,6,0.33299999999999996,0,2,0.0,0,0,,0,2,2,4,1,0,0,1,4,-9,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
1429,1198,Washington Wizards,Dwight Howard,Oklahoma City Thunder,L,11/02/2018,23:11,7,8,0.875,0,0,,6,8,0.75,2,1,3,1,2,0,1,4,20,-12,2019,604,C,https://www.basketball-reference.com/players/h/howardw01.html,21,6-10,265,Washington Wizards,regular season
1430,1199,Washington Wizards,Otto Porter,Oklahoma City Thunder,L,11/02/2018,15:34,4,6,0.667,1,3,0.33299999999999996,0,0,,0,3,3,2,0,0,2,1,9,7,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
1431,1199,Washington Wizards,Otto Porter,Oklahoma City Thunder,L,11/02/2018,15:34,4,6,0.667,1,3,0.33299999999999996,0,0,,0,3,3,2,0,0,2,1,9,7,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
1606,1345,Washington Wizards,Bradley Beal,New York Knicks,W,11/04/2018,39:32,7,14,0.5,1,7,0.14300000000000002,7,8,0.875,1,7,8,3,0,4,3,2,22,15,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
1607,1346,Washington Wizards,John Wall,New York Knicks,W,11/04/2018,37:53,9,16,0.563,3,6,0.5,5,7,0.7140000000000001,0,2,2,7,5,0,4,0,26,24,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
1608,1347,Washington Wizards,Markieff Morris,New York Knicks,W,11/04/2018,31:06,5,14,0.35700000000000004,0,5,0.0,6,6,1.0,3,3,6,5,1,2,1,3,16,2,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
1609,1347,Washington Wizards,Markieff Morris,New York Knicks,W,11/04/2018,31:06,5,14,0.35700000000000004,0,5,0.0,6,6,1.0,3,3,6,5,1,2,1,3,16,2,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
1610,1348,Washington Wizards,Dwight Howard,New York Knicks,W,11/04/2018,30:37,4,9,0.444,0,0,,2,4,0.5,3,7,10,0,1,1,0,4,10,27,2019,604,C,https://www.basketball-reference.com/players/h/howardw01.html,21,6-10,265,Washington Wizards,regular season
1611,1349,Washington Wizards,Kelly Oubre,New York Knicks,W,11/04/2018,24:06,3,8,0.375,1,3,0.33299999999999996,2,4,0.5,0,4,4,1,1,1,1,2,9,0,2019,499,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,regular season
1612,1349,Washington Wizards,Kelly Oubre,New York Knicks,W,11/04/2018,24:06,3,8,0.375,1,3,0.33299999999999996,2,4,0.5,0,4,4,1,1,1,1,2,9,0,2019,610,SF,https://www.basketball-reference.com/players/o/oubreke01.html,12,6-7,203,Washington Wizards,regular season
1774,1490,Washington Wizards,John Wall,Dallas Mavericks,L,11/06/2018,41:02,8,20,0.4,2,6,0.33299999999999996,6,8,0.75,1,3,4,10,3,1,2,3,24,-11,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
1775,1491,Washington Wizards,Otto Porter,Dallas Mavericks,L,11/06/2018,37:35,7,12,0.583,5,6,0.833,0,0,,1,4,5,5,3,2,0,3,19,-6,2019,91,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,regular season
1776,1491,Washington Wizards,Otto Porter,Dallas Mavericks,L,11/06/2018,37:35,7,12,0.583,5,6,0.833,0,0,,1,4,5,5,3,2,0,3,19,-6,2019,613,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Washington Wizards,regular season
1777,1492,Washington Wizards,Bradley Beal,Dallas Mavericks,L,11/06/2018,36:53,7,18,0.389,1,9,0.111,4,4,1.0,0,6,6,4,1,2,2,3,19,-15,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
1778,1493,Washington Wizards,Dwight Howard,Dallas Mavericks,L,11/06/2018,32:56,3,5,0.6,0,0,,2,4,0.5,2,9,11,2,0,1,1,3,8,-13,2019,604,C,https://www.basketball-reference.com/players/h/howardw01.html,21,6-10,265,Washington Wizards,regular season
1779,1494,Washington Wizards,Markieff Morris,Dallas Mavericks,L,11/06/2018,22:25,2,8,0.25,0,4,0.0,0,0,,0,1,1,3,0,0,2,5,4,-15,2019,430,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Oklahoma City Thunder,regular season
1780,1494,Washington Wizards,Markieff Morris,Dallas Mavericks,L,11/06/2018,22:25,2,8,0.25,0,4,0.0,0,0,,0,1,1,3,0,0,2,5,4,-15,2019,609,PF,https://www.basketball-reference.com/players/m/morrima02.html,5,6-8,245,Washington Wizards,regular season
1981,1660,Washington Wizards,John Wall,Orlando Magic,L,11/09/2018,42:20,9,21,0.429,0,3,0.0,1,2,0.5,0,7,7,12,2,1,3,2,19,3,2019,620,PG,https://www.basketball-reference.com/players/w/walljo01.html,2,6-4,210,Washington Wizards,regular season
1982,1661,Washington Wizards,Bradley Beal,Orlando Magic,L,11/09/2018,41:46,10,21,0.47600000000000003,4,9,0.444,3,4,0.75,1,3,4,6,2,1,3,4,27,-2,2019,599,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,regular season
1983,1662,Washington Wizards,Dwight Howard,Orlando Magic,L,11/09/2018,26:05,6,8,0.75,0,0,,0,2,0.0,2,6,8,0,0,0,4,2,12,-14,2019,604,C,https://www.basketball-reference.com/players/h/howardw01.html,21,6-10,265,Washington Wizards,regular season
