,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Milwaukee Bucks,L,112,113,0,1,L 1,regular season
1,2,"Fri, Oct 19, 2018",10/19/2018,Orlando Magic,W,120,88,1,1,W 1,regular season
2,3,"Sat, Oct 20, 2018",10/20/2018,Miami Heat,W,113,112,2,1,W 2,regular season
3,4,"Mon, Oct 22, 2018",10/22/2018,Toronto Raptors,L,106,127,2,2,L 1,regular season
4,5,"Wed, Oct 24, 2018",10/24/2018,Chicago Bulls,L,110,112,2,3,L 2,regular season
5,6,"Fri, Oct 26, 2018",10/26/2018,Chicago Bulls,W,135,106,3,3,W 1,regular season
6,7,"Sat, Oct 27, 2018",10/27/2018,Philadelphia 76ers,L,103,105,3,4,L 1,regular season
7,8,"Tue, Oct 30, 2018",10/30/2018,Miami Heat,W,125,113,4,4,W 1,regular season
8,9,"Thu, Nov 1, 2018",11/01/2018,Oklahoma City Thunder,L,107,111,4,5,L 1,regular season
9,10,"Sat, Nov 3, 2018",11/03/2018,Cleveland Cavaliers,W,126,94,5,5,W 1,regular season
10,11,"Tue, Nov 6, 2018",11/06/2018,Atlanta Hawks,W,113,102,6,5,W 2,regular season
11,12,"Fri, Nov 9, 2018",11/09/2018,Philadelphia 76ers,L,132,133,6,6,L 1,regular season
12,13,"Sun, Nov 11, 2018",11/11/2018,Detroit Pistons,W,113,103,7,6,W 1,regular season
13,14,"Tue, Nov 13, 2018",11/13/2018,Cleveland Cavaliers,L,89,113,7,7,L 1,regular season
14,15,"Sat, Nov 17, 2018",11/17/2018,Philadelphia 76ers,L,119,122,7,8,L 2,regular season
15,16,"Mon, Nov 19, 2018",11/19/2018,Boston Celtics,W,117,112,8,8,W 1,regular season
16,17,"Wed, Nov 21, 2018",11/21/2018,Indiana Pacers,W,127,109,9,8,W 2,regular season
17,18,"Fri, Nov 23, 2018",11/23/2018,Oklahoma City Thunder,L,104,109,9,9,L 1,regular season
18,19,"Sun, Nov 25, 2018",11/25/2018,Atlanta Hawks,L,123,124,9,10,L 2,regular season
19,20,"Mon, Nov 26, 2018",11/26/2018,Milwaukee Bucks,W,110,107,10,10,W 1,regular season
20,21,"Wed, Nov 28, 2018",11/28/2018,Atlanta Hawks,W,108,94,11,10,W 2,regular season
21,22,"Fri, Nov 30, 2018",11/30/2018,Utah Jazz,L,111,119,11,11,L 1,regular season
22,23,"Sun, Dec 2, 2018",12/02/2018,New Orleans Pelicans,L,109,119,11,12,L 2,regular season
23,24,"Wed, Dec 5, 2018",12/05/2018,Minnesota Timberwolves,L,104,121,11,13,L 3,regular season
24,25,"Fri, Dec 7, 2018",12/07/2018,Denver Nuggets,W,113,107,12,13,W 1,regular season
25,26,"Sun, Dec 9, 2018",12/09/2018,New York Knicks,W,119,107,13,13,W 2,regular season
26,27,"Wed, Dec 12, 2018",12/12/2018,Detroit Pistons,W,108,107,14,13,W 3,regular season
27,28,"Fri, Dec 14, 2018",12/14/2018,New York Knicks,L,124,126,14,14,L 1,regular season
