,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Toronto Raptors,L,104,116,0,1,L 1,regular season
1,2,"Fri, Oct 19, 2018",10/19/2018,Minnesota Timberwolves,L,123,131,0,2,L 2,regular season
2,3,"Sun, Oct 21, 2018",10/21/2018,Atlanta Hawks,L,111,133,0,3,L 3,regular season
3,4,"Wed, Oct 24, 2018",10/24/2018,Brooklyn Nets,L,86,102,0,4,L 4,regular season
4,5,"Thu, Oct 25, 2018",10/25/2018,Detroit Pistons,L,103,110,0,5,L 5,regular season
5,6,"Sat, Oct 27, 2018",10/27/2018,Indiana Pacers,L,107,119,0,6,L 6,regular season
6,7,"Tue, Oct 30, 2018",10/30/2018,Atlanta Hawks,W,136,114,1,6,W 1,regular season
7,8,"Thu, Nov 1, 2018",11/01/2018,Denver Nuggets,L,91,110,1,7,L 1,regular season
8,9,"Sat, Nov 3, 2018",11/03/2018,Charlotte Hornets,L,94,126,1,8,L 2,regular season
9,10,"Mon, Nov 5, 2018",11/05/2018,Orlando Magic,L,100,102,1,9,L 3,regular season
10,11,"Wed, Nov 7, 2018",11/07/2018,Oklahoma City Thunder,L,86,95,1,10,L 4,regular season
11,12,"Sat, Nov 10, 2018",11/10/2018,Chicago Bulls,L,98,99,1,11,L 5,regular season
12,13,"Tue, Nov 13, 2018",11/13/2018,Charlotte Hornets,W,113,89,2,11,W 1,regular season
13,14,"Wed, Nov 14, 2018",11/14/2018,Washington Wizards,L,95,119,2,12,L 1,regular season
14,15,"Mon, Nov 19, 2018",11/19/2018,Detroit Pistons,L,102,113,2,13,L 2,regular season
15,16,"Wed, Nov 21, 2018",11/21/2018,Los Angeles Lakers,L,105,109,2,14,L 3,regular season
16,17,"Fri, Nov 23, 2018",11/23/2018,Philadelphia 76ers,W,121,112,3,14,W 1,regular season
17,18,"Sat, Nov 24, 2018",11/24/2018,Houston Rockets,W,117,108,4,14,W 2,regular season
18,19,"Mon, Nov 26, 2018",11/26/2018,Minnesota Timberwolves,L,95,102,4,15,L 1,regular season
19,20,"Wed, Nov 28, 2018",11/28/2018,Oklahoma City Thunder,L,83,100,4,16,L 2,regular season
20,21,"Fri, Nov 30, 2018",11/30/2018,Boston Celtics,L,95,128,4,17,L 3,regular season
21,22,"Sat, Dec 1, 2018",12/01/2018,Toronto Raptors,L,95,106,4,18,L 4,regular season
22,23,"Mon, Dec 3, 2018",12/03/2018,Brooklyn Nets,W,99,97,5,18,W 1,regular season
23,24,"Wed, Dec 5, 2018",12/05/2018,Golden State Warriors,L,105,129,5,19,L 1,regular season
24,25,"Fri, Dec 7, 2018",12/07/2018,Sacramento Kings,L,110,129,5,20,L 2,regular season
25,26,"Sat, Dec 8, 2018",12/08/2018,Washington Wizards,W,116,101,6,20,W 1,regular season
26,27,"Mon, Dec 10, 2018",12/10/2018,Milwaukee Bucks,L,92,108,6,21,L 1,regular season
27,28,"Wed, Dec 12, 2018",12/12/2018,New York Knicks,W,113,106,7,21,W 1,regular season
28,29,"Fri, Dec 14, 2018",12/14/2018,Milwaukee Bucks,L,102,114,7,22,L 1,regular season
29,30,"Sun, Dec 16, 2018",12/16/2018,Philadelphia 76ers,L,105,128,7,23,L 2,regular season
30,31,"Tue, Dec 18, 2018",12/18/2018,Indiana Pacers,W,92,91,8,23,W 1,regular season
31,32,"Wed, Dec 19, 2018",12/19/2018,Charlotte Hornets,L,99,110,8,24,L 1,regular season
32,33,"Fri, Dec 21, 2018",12/21/2018,Toronto Raptors,L,110,126,8,25,L 2,regular season
