,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Phoenix Suns,L,100,121,0,1,L 1,regular season
1,2,"Sat, Oct 20, 2018",10/20/2018,Minnesota Timberwolves,W,140,136,1,1,W 1,regular season
2,3,"Mon, Oct 22, 2018",10/22/2018,Chicago Bulls,W,115,109,2,1,W 2,regular season
3,4,"Wed, Oct 24, 2018",10/24/2018,Atlanta Hawks,L,104,111,2,2,L 1,regular season
4,5,"Fri, Oct 26, 2018",10/26/2018,Toronto Raptors,L,107,116,2,3,L 2,regular season
5,6,"Sun, Oct 28, 2018",10/28/2018,Utah Jazz,L,104,113,2,4,L 3,regular season
6,7,"Mon, Oct 29, 2018",10/29/2018,San Antonio Spurs,L,108,113,2,5,L 4,regular season
7,8,"Wed, Oct 31, 2018",10/31/2018,Los Angeles Lakers,L,113,114,2,6,L 5,regular season
8,9,"Fri, Nov 2, 2018",11/02/2018,New York Knicks,L,106,118,2,7,L 6,regular season
9,10,"Tue, Nov 6, 2018",11/06/2018,Washington Wizards,W,119,100,3,7,W 1,regular season
10,11,"Wed, Nov 7, 2018",11/07/2018,Utah Jazz,L,102,117,3,8,L 1,regular season
11,12,"Sat, Nov 10, 2018",11/10/2018,Oklahoma City Thunder,W,111,96,4,8,W 1,regular season
12,13,"Mon, Nov 12, 2018",11/12/2018,Chicago Bulls,W,103,98,5,8,W 2,regular season
13,14,"Wed, Nov 14, 2018",11/14/2018,Utah Jazz,W,118,68,6,8,W 3,regular season
14,15,"Sat, Nov 17, 2018",11/17/2018,Golden State Warriors,W,112,109,7,8,W 4,regular season
15,16,"Mon, Nov 19, 2018",11/19/2018,Memphis Grizzlies,L,88,98,7,9,L 1,regular season
16,17,"Wed, Nov 21, 2018",11/21/2018,Brooklyn Nets,W,119,113,8,9,W 1,regular season
17,18,"Sat, Nov 24, 2018",11/24/2018,Boston Celtics,W,113,104,9,9,W 2,regular season
18,19,"Wed, Nov 28, 2018",11/28/2018,Houston Rockets,W,128,108,10,9,W 3,regular season
19,20,"Fri, Nov 30, 2018",11/30/2018,Los Angeles Lakers,L,103,114,10,10,L 1,regular season
20,21,"Sun, Dec 2, 2018",12/02/2018,Los Angeles Clippers,W,114,110,11,10,W 1,regular season
21,22,"Tue, Dec 4, 2018",12/04/2018,Portland Trail Blazers,W,111,102,12,10,W 2,regular season
22,23,"Wed, Dec 5, 2018",12/05/2018,New Orleans Pelicans,L,106,132,12,11,L 1,regular season
23,24,"Sat, Dec 8, 2018",12/08/2018,Houston Rockets,W,107,104,13,11,W 1,regular season
24,25,"Mon, Dec 10, 2018",12/10/2018,Orlando Magic,W,101,76,14,11,W 2,regular season
25,26,"Wed, Dec 12, 2018",12/12/2018,Atlanta Hawks,W,114,107,15,11,W 3,regular season
26,27,"Thu, Dec 13, 2018",12/13/2018,Phoenix Suns,L,89,99,15,12,L 1,regular season
27,28,"Sun, Dec 16, 2018",12/16/2018,Sacramento Kings,L,113,120,15,13,L 2,regular season
28,29,"Tue, Dec 18, 2018",12/18/2018,Denver Nuggets,L,118,126,15,14,L 3,regular season
29,30,"Thu, Dec 20, 2018",12/20/2018,Los Angeles Clippers,L,121,125,15,15,L 4,regular season
