,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Denver Nuggets,L,98,107,0,1,L 1,regular season
1,2,"Fri, Oct 19, 2018",10/19/2018,Oklahoma City Thunder,W,108,92,1,1,W 1,regular season
2,3,"Sun, Oct 21, 2018",10/21/2018,Houston Rockets,W,115,112,2,1,W 2,regular season
3,4,"Tue, Oct 23, 2018",10/23/2018,New Orleans Pelicans,L,109,116,2,2,L 1,regular season
4,5,"Fri, Oct 26, 2018",10/26/2018,Houston Rockets,W,133,113,3,2,W 1,regular season
5,6,"Sun, Oct 28, 2018",10/28/2018,Washington Wizards,W,136,104,4,2,W 2,regular season
6,7,"Tue, Oct 30, 2018",10/30/2018,Oklahoma City Thunder,L,110,128,4,3,L 1,regular season
7,8,"Thu, Nov 1, 2018",11/01/2018,Philadelphia 76ers,L,113,122,4,4,L 2,regular season
8,9,"Fri, Nov 2, 2018",11/02/2018,Orlando Magic,W,120,95,5,4,W 1,regular season
9,10,"Mon, Nov 5, 2018",11/05/2018,Minnesota Timberwolves,W,120,109,6,4,W 2,regular season
10,11,"Thu, Nov 8, 2018",11/08/2018,Portland Trail Blazers,L,105,116,6,5,L 1,regular season
11,12,"Sat, Nov 10, 2018",11/10/2018,Milwaukee Bucks,W,128,126,7,5,W 1,regular season
12,13,"Mon, Nov 12, 2018",11/12/2018,Golden State Warriors,W,121,116,8,5,W 2,regular season
13,14,"Thu, Nov 15, 2018",11/15/2018,San Antonio Spurs,W,116,111,9,5,W 3,regular season
14,15,"Sat, Nov 17, 2018",11/17/2018,Brooklyn Nets,W,127,119,10,5,W 4,regular season
15,16,"Mon, Nov 19, 2018",11/19/2018,Atlanta Hawks,W,127,119,11,5,W 5,regular season
16,17,"Tue, Nov 20, 2018",11/20/2018,Washington Wizards,L,118,125,11,6,L 1,regular season
17,18,"Fri, Nov 23, 2018",11/23/2018,Memphis Grizzlies,W,112,107,12,6,W 1,regular season
18,19,"Sun, Nov 25, 2018",11/25/2018,Portland Trail Blazers,W,104,100,13,6,W 2,regular season
19,20,"Wed, Nov 28, 2018",11/28/2018,Phoenix Suns,W,115,99,14,6,W 3,regular season
20,21,"Thu, Nov 29, 2018",11/29/2018,Sacramento Kings,W,133,121,15,6,W 4,regular season
21,22,"Sun, Dec 2, 2018",12/02/2018,Dallas Mavericks,L,110,114,15,7,L 1,regular season
22,23,"Mon, Dec 3, 2018",12/03/2018,New Orleans Pelicans,W,129,126,16,7,W 1,regular season
23,24,"Wed, Dec 5, 2018",12/05/2018,Memphis Grizzlies,L,86,96,16,8,L 1,regular season
24,25,"Sat, Dec 8, 2018",12/08/2018,Miami Heat,L,98,121,16,9,L 2,regular season
25,26,"Mon, Dec 10, 2018",12/10/2018,Phoenix Suns,W,123,119,17,9,W 1,regular season
26,27,"Tue, Dec 11, 2018",12/11/2018,Toronto Raptors,L,99,123,17,10,L 1,regular season
27,28,"Thu, Dec 13, 2018",12/13/2018,San Antonio Spurs,L,87,125,17,11,L 2,regular season
28,29,"Sat, Dec 15, 2018",12/15/2018,Oklahoma City Thunder,L,104,110,17,12,L 3,regular season
29,30,"Mon, Dec 17, 2018",12/17/2018,Portland Trail Blazers,L,127,131,17,13,L 4,regular season
30,31,"Thu, Dec 20, 2018",12/20/2018,Dallas Mavericks,W,125,121,18,13,W 1,regular season
31,32,"Sat, Dec 22, 2018",12/22/2018,Denver Nuggets,W,132,111,19,13,W 2,regular season
32,33,"Sun, Dec 23, 2018",12/23/2018,Golden State Warriors,L,127,129,19,14,L 1,regular season
33,34,"Wed, Dec 26, 2018",12/26/2018,Sacramento Kings,W,127,118,20,14,W 1,regular season
34,35,"Fri, Dec 28, 2018",12/28/2018,Los Angeles Lakers,W,118,107,21,14,W 2,regular season
35,36,"Sat, Dec 29, 2018",12/29/2018,San Antonio Spurs,L,111,122,21,15,L 1,regular season
36,37,"Tue, Jan 1, 2019",01/01/2019,Philadelphia 76ers,L,113,119,21,16,L 2,regular season
37,38,"Fri, Jan 4, 2019",01/04/2019,Phoenix Suns,W,121,111,22,16,W 1,regular season
38,39,"Sun, Jan 6, 2019",01/06/2019,Orlando Magic,W,106,96,23,16,W 2,regular season
39,40,"Tue, Jan 8, 2019",01/08/2019,Charlotte Hornets,W,128,109,24,16,W 3,regular season
40,41,"Thu, Jan 10, 2019",01/10/2019,Denver Nuggets,L,100,121,24,17,L 1,regular season
41,42,"Sat, Jan 12, 2019",01/12/2019,Detroit Pistons,L,104,109,24,18,L 2,regular season
42,43,"Mon, Jan 14, 2019",01/14/2019,New Orleans Pelicans,L,117,121,24,19,L 3,regular season
43,44,"Wed, Jan 16, 2019",01/16/2019,Utah Jazz,L,109,129,24,20,L 4,regular season
44,45,"Fri, Jan 18, 2019",01/18/2019,Golden State Warriors,L,94,112,24,21,L 5,regular season
45,46,"Sun, Jan 20, 2019",01/20/2019,San Antonio Spurs,W,103,95,25,21,W 1,regular season
46,47,"Tue, Jan 22, 2019",01/22/2019,Dallas Mavericks,L,98,106,25,22,L 1,regular season
47,48,"Wed, Jan 23, 2019",01/23/2019,Miami Heat,W,111,99,26,22,W 1,regular season
48,49,"Fri, Jan 25, 2019",01/25/2019,Chicago Bulls,W,106,101,27,22,W 2,regular season
