,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Houston Rockets,W,131,112,1,0,W 1,regular season
1,2,"Fri, Oct 19, 2018",10/19/2018,Sacramento Kings,W,149,129,2,0,W 2,regular season
2,3,"Tue, Oct 23, 2018",10/23/2018,Los Angeles Clippers,W,116,109,3,0,W 3,regular season
3,4,"Fri, Oct 26, 2018",10/26/2018,Brooklyn Nets,W,117,115,4,0,W 4,regular season
4,5,"Sat, Oct 27, 2018",10/27/2018,Utah Jazz,L,111,132,4,1,L 1,regular season
5,6,"Mon, Oct 29, 2018",10/29/2018,Denver Nuggets,L,111,116,4,2,L 2,regular season
6,7,"Wed, Oct 31, 2018",10/31/2018,Golden State Warriors,L,121,131,4,3,L 3,regular season
7,8,"Thu, Nov 1, 2018",11/01/2018,Portland Trail Blazers,L,119,132,4,4,L 4,regular season
8,9,"Sat, Nov 3, 2018",11/03/2018,San Antonio Spurs,L,95,109,4,5,L 5,regular season
9,10,"Mon, Nov 5, 2018",11/05/2018,Oklahoma City Thunder,L,116,122,4,6,L 6,regular season
10,11,"Wed, Nov 7, 2018",11/07/2018,Chicago Bulls,W,107,98,5,6,W 1,regular season
11,12,"Sat, Nov 10, 2018",11/10/2018,Phoenix Suns,W,119,99,6,6,W 2,regular season
12,13,"Mon, Nov 12, 2018",11/12/2018,Toronto Raptors,W,126,110,7,6,W 3,regular season
13,14,"Wed, Nov 14, 2018",11/14/2018,Minnesota Timberwolves,L,100,107,7,7,L 1,regular season
14,15,"Fri, Nov 16, 2018",11/16/2018,New York Knicks,W,129,124,8,7,W 1,regular season
15,16,"Sat, Nov 17, 2018",11/17/2018,Denver Nuggets,W,125,115,9,7,W 2,regular season
16,17,"Mon, Nov 19, 2018",11/19/2018,San Antonio Spurs,W,140,126,10,7,W 3,regular season
17,18,"Wed, Nov 21, 2018",11/21/2018,Philadelphia 76ers,L,120,121,10,8,L 1,regular season
18,19,"Fri, Nov 23, 2018",11/23/2018,New York Knicks,L,109,114,10,9,L 2,regular season
19,20,"Sat, Nov 24, 2018",11/24/2018,Washington Wizards,L,114,124,10,10,L 3,regular season
20,21,"Mon, Nov 26, 2018",11/26/2018,Boston Celtics,L,107,124,10,11,L 4,regular season
21,22,"Wed, Nov 28, 2018",11/28/2018,Washington Wizards,W,125,104,11,11,W 1,regular season
22,23,"Fri, Nov 30, 2018",11/30/2018,Miami Heat,L,101,106,11,12,L 1,regular season
23,24,"Sun, Dec 2, 2018",12/02/2018,Charlotte Hornets,W,119,109,12,12,W 1,regular season
24,25,"Mon, Dec 3, 2018",12/03/2018,Los Angeles Clippers,L,126,129,12,13,L 1,regular season
25,26,"Wed, Dec 5, 2018",12/05/2018,Dallas Mavericks,W,132,106,13,13,W 1,regular season
26,27,"Fri, Dec 7, 2018",12/07/2018,Memphis Grizzlies,L,103,107,13,14,L 1,regular season
27,28,"Sun, Dec 9, 2018",12/09/2018,Detroit Pistons,W,116,108,14,14,W 1,regular season
28,29,"Mon, Dec 10, 2018",12/10/2018,Boston Celtics,L,100,113,14,15,L 1,regular season
29,30,"Wed, Dec 12, 2018",12/12/2018,Oklahoma City Thunder,W,118,114,15,15,W 1,regular season
30,31,"Sun, Dec 16, 2018",12/16/2018,Miami Heat,L,96,102,15,16,L 1,regular season
31,32,"Wed, Dec 19, 2018",12/19/2018,Milwaukee Bucks,L,115,123,15,17,L 2,regular season
32,33,"Fri, Dec 21, 2018",12/21/2018,Los Angeles Lakers,L,104,112,15,18,L 3,regular season
33,34,"Sun, Dec 23, 2018",12/23/2018,Sacramento Kings,L,117,122,15,19,L 4,regular season
34,35,"Wed, Dec 26, 2018",12/26/2018,Dallas Mavericks,L,119,122,15,20,L 5,regular season
35,36,"Fri, Dec 28, 2018",12/28/2018,Dallas Mavericks,W,114,112,16,20,W 1,regular season
36,37,"Sat, Dec 29, 2018",12/29/2018,Houston Rockets,L,104,108,16,21,L 1,regular season
37,38,"Mon, Dec 31, 2018",12/31/2018,Minnesota Timberwolves,W,123,114,17,21,W 1,regular season
38,39,"Wed, Jan 2, 2019",01/02/2019,Brooklyn Nets,L,121,126,17,22,L 1,regular season
39,40,"Sat, Jan 5, 2019",01/05/2019,Cleveland Cavaliers,W,133,98,18,22,W 1,regular season
40,41,"Mon, Jan 7, 2019",01/07/2019,Memphis Grizzlies,W,114,95,19,22,W 2,regular season
41,42,"Wed, Jan 9, 2019",01/09/2019,Cleveland Cavaliers,W,140,124,20,22,W 3,regular season
42,43,"Sat, Jan 12, 2019",01/12/2019,Minnesota Timberwolves,L,106,110,20,23,L 1,regular season
43,44,"Mon, Jan 14, 2019",01/14/2019,Los Angeles Clippers,W,121,117,21,23,W 1,regular season
44,45,"Wed, Jan 16, 2019",01/16/2019,Golden State Warriors,L,140,147,21,24,L 1,regular season
45,46,"Fri, Jan 18, 2019",01/18/2019,Portland Trail Blazers,L,112,128,21,25,L 2,regular season
46,47,"Mon, Jan 21, 2019",01/21/2019,Memphis Grizzlies,W,105,85,22,25,W 1,regular season
47,48,"Wed, Jan 23, 2019",01/23/2019,Detroit Pistons,L,94,98,22,26,L 1,regular season
48,49,"Thu, Jan 24, 2019",01/24/2019,Oklahoma City Thunder,L,116,122,22,27,L 2,regular season
49,50,"Sat, Jan 26, 2019",01/26/2019,San Antonio Spurs,L,114,126,22,28,L 3,regular season
50,51,"Tue, Jan 29, 2019",01/29/2019,Houston Rockets,W,121,116,23,28,W 1,regular season
51,52,"Wed, Jan 30, 2019",01/30/2019,Denver Nuggets,L,99,105,23,29,L 1,regular season
52,53,"Sat, Feb 2, 2019",02/02/2019,San Antonio Spurs,L,108,113,23,30,L 2,regular season
53,54,"Mon, Feb 4, 2019",02/04/2019,Indiana Pacers,L,107,109,23,31,L 3,regular season
54,55,"Wed, Feb 6, 2019",02/06/2019,Chicago Bulls,W,125,120,24,31,W 1,regular season
55,56,"Fri, Feb 8, 2019",02/08/2019,Minnesota Timberwolves,W,122,117,25,31,W 2,regular season
56,57,"Sat, Feb 9, 2019",02/09/2019,Memphis Grizzlies,L,90,99,25,32,L 1,regular season
57,58,"Tue, Feb 12, 2019",02/12/2019,Orlando Magic,L,88,118,25,33,L 2,regular season
