,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Utah Jazz,L,117,123,0,1,L 1,regular season
1,2,"Fri, Oct 19, 2018",10/19/2018,New Orleans Pelicans,L,129,149,0,2,L 2,regular season
2,3,"Sun, Oct 21, 2018",10/21/2018,Oklahoma City Thunder,W,131,120,1,2,W 1,regular season
3,4,"Tue, Oct 23, 2018",10/23/2018,Denver Nuggets,L,112,126,1,3,L 1,regular season
4,5,"Wed, Oct 24, 2018",10/24/2018,Memphis Grizzlies,W,97,92,2,3,W 1,regular season
5,6,"Fri, Oct 26, 2018",10/26/2018,Washington Wizards,W,116,112,3,3,W 2,regular season
6,7,"Mon, Oct 29, 2018",10/29/2018,Miami Heat,W,123,113,4,3,W 3,regular season
7,8,"Tue, Oct 30, 2018",10/30/2018,Orlando Magic,W,107,99,5,3,W 4,regular season
8,9,"Thu, Nov 1, 2018",11/01/2018,Atlanta Hawks,W,146,115,6,3,W 5,regular season
9,10,"Sun, Nov 4, 2018",11/04/2018,Milwaukee Bucks,L,109,144,6,4,L 1,regular season
10,11,"Wed, Nov 7, 2018",11/07/2018,Toronto Raptors,L,105,114,6,5,L 2,regular season
11,12,"Fri, Nov 9, 2018",11/09/2018,Minnesota Timberwolves,W,121,110,7,5,W 1,regular season
12,13,"Sat, Nov 10, 2018",11/10/2018,Los Angeles Lakers,L,86,101,7,6,L 1,regular season
13,14,"Mon, Nov 12, 2018",11/12/2018,San Antonio Spurs,W,104,99,8,6,W 1,regular season
14,15,"Fri, Nov 16, 2018",11/16/2018,Memphis Grizzlies,L,104,112,8,7,L 1,regular season
15,16,"Sat, Nov 17, 2018",11/17/2018,Houston Rockets,L,112,132,8,8,L 2,regular season
16,17,"Mon, Nov 19, 2018",11/19/2018,Oklahoma City Thunder,W,117,113,9,8,W 1,regular season
17,18,"Wed, Nov 21, 2018",11/21/2018,Utah Jazz,W,119,110,10,8,W 2,regular season
18,19,"Sat, Nov 24, 2018",11/24/2018,Golden State Warriors,L,116,117,10,9,L 1,regular season
19,20,"Sun, Nov 25, 2018",11/25/2018,Utah Jazz,L,112,133,10,10,L 2,regular season
20,21,"Thu, Nov 29, 2018",11/29/2018,Los Angeles Clippers,L,121,133,10,11,L 3,regular season
21,22,"Sat, Dec 1, 2018",12/01/2018,Indiana Pacers,W,111,110,11,11,W 1,regular season
22,23,"Tue, Dec 4, 2018",12/04/2018,Phoenix Suns,W,122,105,12,11,W 2,regular season
23,24,"Fri, Dec 7, 2018",12/07/2018,Cleveland Cavaliers,W,129,110,13,11,W 3,regular season
24,25,"Sat, Dec 8, 2018",12/08/2018,Indiana Pacers,L,97,107,13,12,L 1,regular season
25,26,"Mon, Dec 10, 2018",12/10/2018,Chicago Bulls,W,108,89,14,12,W 1,regular season
