,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 17, 2018",10/17/2018,Minnesota Timberwolves,W,112,108,1,0,W 1,regular season
1,2,"Sat, Oct 20, 2018",10/20/2018,Portland Trail Blazers,L,108,121,1,1,L 1,regular season
2,3,"Mon, Oct 22, 2018",10/22/2018,Los Angeles Lakers,W,143,142,2,1,W 1,regular season
3,4,"Wed, Oct 24, 2018",10/24/2018,Indiana Pacers,L,96,116,2,2,L 1,regular season
4,5,"Sat, Oct 27, 2018",10/27/2018,Los Angeles Lakers,W,110,106,3,2,W 1,regular season
5,6,"Mon, Oct 29, 2018",10/29/2018,Dallas Mavericks,W,113,108,4,2,W 2,regular season
6,7,"Wed, Oct 31, 2018",10/31/2018,Phoenix Suns,W,120,90,5,2,W 3,regular season
7,8,"Sat, Nov 3, 2018",11/03/2018,New Orleans Pelicans,W,109,95,6,2,W 4,regular season
8,9,"Sun, Nov 4, 2018",11/04/2018,Orlando Magic,L,110,117,6,3,L 1,regular season
9,10,"Wed, Nov 7, 2018",11/07/2018,Miami Heat,L,88,95,6,4,L 2,regular season
10,11,"Sat, Nov 10, 2018",11/10/2018,Houston Rockets,W,96,89,7,4,W 1,regular season
11,12,"Mon, Nov 12, 2018",11/12/2018,Sacramento Kings,L,99,104,7,5,L 1,regular season
12,13,"Wed, Nov 14, 2018",11/14/2018,Phoenix Suns,L,96,116,7,6,L 2,regular season
13,14,"Thu, Nov 15, 2018",11/15/2018,Los Angeles Clippers,L,111,116,7,7,L 3,regular season
14,15,"Sun, Nov 18, 2018",11/18/2018,Golden State Warriors,W,104,92,8,7,W 1,regular season
15,16,"Mon, Nov 19, 2018",11/19/2018,New Orleans Pelicans,L,126,140,8,8,L 1,regular season
16,17,"Wed, Nov 21, 2018",11/21/2018,Memphis Grizzlies,L,103,104,8,9,L 2,regular season
17,18,"Fri, Nov 23, 2018",11/23/2018,Indiana Pacers,W,111,100,9,9,W 1,regular season
18,19,"Sat, Nov 24, 2018",11/24/2018,Milwaukee Bucks,L,129,135,9,10,L 1,regular season
19,20,"Mon, Nov 26, 2018",11/26/2018,Chicago Bulls,W,108,107,10,10,W 1,regular season
20,21,"Wed, Nov 28, 2018",11/28/2018,Minnesota Timberwolves,L,89,128,10,11,L 1,regular season
21,22,"Fri, Nov 30, 2018",11/30/2018,Houston Rockets,L,105,136,10,12,L 2,regular season
22,23,"Sun, Dec 2, 2018",12/02/2018,Portland Trail Blazers,W,131,118,11,12,W 1,regular season
23,24,"Tue, Dec 4, 2018",12/04/2018,Utah Jazz,L,105,139,11,13,L 1,regular season
24,25,"Wed, Dec 5, 2018",12/05/2018,Los Angeles Lakers,L,113,121,11,14,L 2,regular season
