,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
55,55,Brooklyn Nets,Taurean Waller-Prince,Minnesota Timberwolves,L,10/23/2019,41:14,6,13,0.462,2,5,0.4,1,2,0.5,3,8,11,2,2,1,0,2,15,19,2020,,,,,,,,regular season
56,56,Brooklyn Nets,Joe Harris,Minnesota Timberwolves,L,10/23/2019,39:18,5,9,0.556,4,6,0.667,0,0,,0,4,4,2,0,1,2,3,14,1,2020,34.0,SF,https://www.basketball-reference.com/players/h/harrijo01.html,12,6-6,220.0,Brooklyn Nets,regular season
57,57,Brooklyn Nets,Kyrie Irving,Minnesota Timberwolves,L,10/23/2019,38:10,17,33,0.515,7,14,0.5,9,10,0.9,2,6,8,7,0,1,0,4,50,18,2020,44.0,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195.0,Brooklyn Nets,regular season
58,58,Brooklyn Nets,Caris LeVert,Minnesota Timberwolves,L,10/23/2019,37:18,9,19,0.474,1,4,0.25,1,4,0.25,0,5,5,4,3,0,5,3,20,9,2020,41.0,SG,https://www.basketball-reference.com/players/l/leverca01.html,22,6-6,205.0,Brooklyn Nets,regular season
59,59,Brooklyn Nets,Jarrett Allen,Minnesota Timberwolves,L,10/23/2019,36:22,3,6,0.5,0,0,,0,4,0.0,3,6,9,1,1,5,0,4,6,11,2020,33.0,C,https://www.basketball-reference.com/players/a/allenja01.html,31,6-11,243.0,Brooklyn Nets,regular season
185,185,Brooklyn Nets,Taurean Waller-Prince,New York Knicks,W,10/25/2019,32:54,3,10,0.3,3,7,0.429,2,4,0.5,0,6,6,0,0,1,3,1,11,-1,2020,,,,,,,,regular season
186,186,Brooklyn Nets,Joe Harris,New York Knicks,W,10/25/2019,31:24,5,8,0.625,3,5,0.6,0,0,,1,3,4,1,1,0,2,4,13,2,2020,34.0,SF,https://www.basketball-reference.com/players/h/harrijo01.html,12,6-6,220.0,Brooklyn Nets,regular season
187,187,Brooklyn Nets,Kyrie Irving,New York Knicks,W,10/25/2019,31:13,8,19,0.42100000000000004,2,8,0.25,8,8,1.0,1,1,2,5,3,0,4,5,26,0,2020,44.0,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195.0,Brooklyn Nets,regular season
188,188,Brooklyn Nets,Jarrett Allen,New York Knicks,W,10/25/2019,25:12,2,6,0.33299999999999996,0,0,,0,0,,3,8,11,2,1,0,2,2,4,-5,2020,33.0,C,https://www.basketball-reference.com/players/a/allenja01.html,31,6-11,243.0,Brooklyn Nets,regular season
189,189,Brooklyn Nets,Caris LeVert,New York Knicks,W,10/25/2019,24:14,4,7,0.5710000000000001,1,4,0.25,3,4,0.75,0,2,2,4,2,0,6,5,12,6,2020,41.0,SG,https://www.basketball-reference.com/players/l/leverca01.html,22,6-6,205.0,Brooklyn Nets,regular season
360,360,Brooklyn Nets,Caris LeVert,Memphis Grizzlies,L,10/27/2019,38:57,11,22,0.5,3,7,0.429,2,3,0.667,0,4,4,5,0,0,2,0,27,-8,2020,41.0,SG,https://www.basketball-reference.com/players/l/leverca01.html,22,6-6,205.0,Brooklyn Nets,regular season
361,361,Brooklyn Nets,Joe Harris,Memphis Grizzlies,L,10/27/2019,36:55,5,13,0.385,3,8,0.375,0,0,,1,1,2,2,1,0,2,3,13,3,2020,34.0,SF,https://www.basketball-reference.com/players/h/harrijo01.html,12,6-6,220.0,Brooklyn Nets,regular season
362,362,Brooklyn Nets,Kyrie Irving,Memphis Grizzlies,L,10/27/2019,34:20,11,27,0.40700000000000003,5,12,0.41700000000000004,10,11,0.909,1,6,7,7,2,1,2,1,37,6,2020,44.0,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195.0,Brooklyn Nets,regular season
363,363,Brooklyn Nets,Taurean Waller-Prince,Memphis Grizzlies,L,10/27/2019,30:26,4,10,0.4,2,7,0.28600000000000003,2,2,1.0,1,5,6,2,0,0,4,3,12,11,2020,,,,,,,,regular season
364,364,Brooklyn Nets,DeAndre Jordan,Memphis Grizzlies,L,10/27/2019,23:26,3,3,1.0,0,0,,0,2,0.0,1,11,12,1,0,2,1,1,6,-5,2020,38.0,C,https://www.basketball-reference.com/players/j/jordade01.html,6,6-11,265.0,Brooklyn Nets,regular season
575,575,Brooklyn Nets,Caris LeVert,Indiana Pacers,L,10/30/2019,32:58,6,18,0.33299999999999996,2,4,0.5,1,2,0.5,5,1,6,3,0,0,4,1,15,-9,2020,41.0,SG,https://www.basketball-reference.com/players/l/leverca01.html,22,6-6,205.0,Brooklyn Nets,regular season
576,576,Brooklyn Nets,Kyrie Irving,Indiana Pacers,L,10/30/2019,30:58,11,20,0.55,2,6,0.33299999999999996,4,5,0.8,0,7,7,6,1,1,1,1,28,-15,2020,44.0,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195.0,Brooklyn Nets,regular season
577,577,Brooklyn Nets,Joe Harris,Indiana Pacers,L,10/30/2019,29:56,5,9,0.556,3,6,0.5,0,1,0.0,1,1,2,0,0,0,3,1,13,-8,2020,34.0,SF,https://www.basketball-reference.com/players/h/harrijo01.html,12,6-6,220.0,Brooklyn Nets,regular season
578,578,Brooklyn Nets,Taurean Waller-Prince,Indiana Pacers,L,10/30/2019,27:11,3,10,0.3,2,8,0.25,0,0,,0,2,2,2,2,1,2,4,8,-10,2020,,,,,,,,regular season
