,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
24,24,Charlotte Hornets,Devonte' Graham,Chicago Bulls,W,10/23/2019,27:19,7,9,0.778,6,7,0.857,3,3,1.0,1,3,4,8,0,0,1,3,23,14.0,2020,55.0,PG,https://www.basketball-reference.com/players/g/grahade01.html,4,6-1,195.0,Charlotte Hornets,regular season
25,25,Charlotte Hornets,Marvin Williams,Chicago Bulls,W,10/23/2019,16:53,6,9,0.667,5,7,0.7140000000000001,0,0,,0,2,2,1,0,0,0,1,17,1.0,2020,285.0,PF,https://www.basketball-reference.com/players/w/willima02.html,20,6-8,237.0,Milwaukee Bucks,regular season
26,26,Charlotte Hornets,Malik Monk,Chicago Bulls,W,10/23/2019,16:41,3,4,0.75,1,1,1.0,0,0,,0,1,1,3,0,0,2,3,7,-3.0,2020,59.0,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200.0,Charlotte Hornets,regular season
27,27,Charlotte Hornets,Nicolas Batum,Chicago Bulls,W,10/23/2019,11:12,0,0,,0,0,,0,0,,1,3,4,2,0,0,2,2,0,1.0,2020,64.0,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230.0,Charlotte Hornets,regular season
201,201,Charlotte Hornets,Devonte' Graham,Minnesota Timberwolves,L,10/25/2019,27:56,8,15,0.5329999999999999,6,9,0.667,2,4,0.5,0,2,2,4,0,0,3,3,24,-26.0,2020,55.0,PG,https://www.basketball-reference.com/players/g/grahade01.html,4,6-1,195.0,Charlotte Hornets,regular season
202,202,Charlotte Hornets,Willy Hernangomez,Minnesota Timberwolves,L,10/25/2019,19:41,3,6,0.5,0,0,,0,0,,4,2,6,0,1,1,1,1,6,-7.0,2020,63.0,C,https://www.basketball-reference.com/players/h/hernawi01.html,9,6-11,250.0,Charlotte Hornets,regular season
203,203,Charlotte Hornets,Malik Monk,Minnesota Timberwolves,L,10/25/2019,19:36,0,3,0.0,0,2,0.0,0,0,,0,1,1,3,0,0,2,2,0,-31.0,2020,59.0,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200.0,Charlotte Hornets,regular season
204,204,Charlotte Hornets,Caleb Martin,Minnesota Timberwolves,L,10/25/2019,17:39,2,8,0.25,0,2,0.0,0,1,0.0,0,2,2,3,1,2,1,2,4,-6.0,2020,65.0,SF,https://www.basketball-reference.com/players/m/martica02.html,10,6-5,205.0,Charlotte Hornets,regular season
205,205,Charlotte Hornets,Cody Martin,Minnesota Timberwolves,L,10/25/2019,17:21,1,4,0.25,0,2,0.0,2,2,1.0,0,4,4,1,2,0,0,1,4,-3.0,2020,61.0,SF,https://www.basketball-reference.com/players/m/martico01.html,11,6-5,205.0,Charlotte Hornets,regular season
206,206,Charlotte Hornets,Marvin Williams,Minnesota Timberwolves,L,10/25/2019,12:17,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,2,3,0,-20.0,2020,285.0,PF,https://www.basketball-reference.com/players/w/willima02.html,20,6-8,237.0,Milwaukee Bucks,regular season
207,207,Charlotte Hornets,Michael Kidd-Gilchrist,Minnesota Timberwolves,L,10/25/2019,10:05,2,7,0.28600000000000003,1,1,1.0,0,0,,1,3,4,0,0,0,1,1,5,-1.0,2020,116.0,SF,https://www.basketball-reference.com/players/k/kiddgmi01.html,9,6-6,232.0,Dallas Mavericks,regular season
208,208,Charlotte Hornets,Jalen McDaniels,Minnesota Timberwolves,L,10/25/2019,2:44,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,0,2,0.0,2020,66.0,PF,https://www.basketball-reference.com/players/m/mcdanja01.html,6,6-10,205.0,Charlotte Hornets,regular season
464,464,Charlotte Hornets,Devonte' Graham,Los Angeles Lakers,L,10/27/2019,27:31,1,13,0.077,1,6,0.16699999999999998,6,6,1.0,1,2,3,5,0,0,1,1,9,-11.0,2020,55.0,PG,https://www.basketball-reference.com/players/g/grahade01.html,4,6-1,195.0,Charlotte Hornets,regular season
465,465,Charlotte Hornets,Marvin Williams,Los Angeles Lakers,L,10/27/2019,17:19,2,6,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,1,2,0,1,0,0,1,5,-12.0,2020,285.0,PF,https://www.basketball-reference.com/players/w/willima02.html,20,6-8,237.0,Milwaukee Bucks,regular season
466,466,Charlotte Hornets,Malik Monk,Los Angeles Lakers,L,10/27/2019,14:08,0,4,0.0,0,2,0.0,0,0,,0,0,0,1,1,0,1,0,0,-22.0,2020,59.0,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200.0,Charlotte Hornets,regular season
