,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
94,94,Dallas Mavericks,Dorian Finney-Smith,Washington Wizards,W,10/23/2019,32:12,1,4,0.25,1,3,0.33299999999999996,7,8,0.875,2,6,8,1,0,1,0,0,10,18.0,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
95,95,Dallas Mavericks,Jalen Brunson,Washington Wizards,W,10/23/2019,24:20,3,10,0.3,1,3,0.33299999999999996,2,4,0.5,1,3,4,3,2,0,4,3,9,2.0,2020,110.0,PG,https://www.basketball-reference.com/players/b/brunsja01.html,13,6-1,190.0,Dallas Mavericks,regular season
96,96,Dallas Mavericks,Tim Hardaway,Washington Wizards,W,10/23/2019,21:25,2,7,0.28600000000000003,0,5,0.0,0,0,,0,1,1,1,0,0,0,4,4,2.0,2020,,,,,,,,regular season
97,97,Dallas Mavericks,Seth Curry,Washington Wizards,W,10/23/2019,19:39,3,6,0.5,1,2,0.5,2,2,1.0,0,3,3,1,0,0,2,1,9,11.0,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
98,98,Dallas Mavericks,Justin Jackson,Washington Wizards,W,10/23/2019,18:38,4,6,0.667,0,2,0.0,2,2,1.0,0,4,4,2,0,0,0,1,10,10.0,2020,106.0,PF,https://www.basketball-reference.com/players/j/jacksju01.html,44,6-7,220.0,Dallas Mavericks,regular season
231,231,Dallas Mavericks,Maxi Kleber,New Orleans Pelicans,W,10/25/2019,33:21,2,6,0.33299999999999996,1,5,0.2,3,4,0.75,2,8,10,1,0,1,1,3,8,9.0,2020,102.0,C,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240.0,Dallas Mavericks,regular season
232,232,Dallas Mavericks,Delon Wright,New Orleans Pelicans,W,10/25/2019,31:56,8,12,0.667,0,1,0.0,4,4,1.0,2,5,7,3,5,0,0,3,20,11.0,2020,103.0,SG,https://www.basketball-reference.com/players/w/wrighde01.html,55,6-5,185.0,Dallas Mavericks,regular season
233,233,Dallas Mavericks,Tim Hardaway,New Orleans Pelicans,W,10/25/2019,21:37,2,8,0.25,2,7,0.28600000000000003,2,2,1.0,0,1,1,2,0,0,0,2,8,0.0,2020,,,,,,,,regular season
234,234,Dallas Mavericks,Seth Curry,New Orleans Pelicans,W,10/25/2019,17:06,3,5,0.6,2,2,1.0,0,0,,0,2,2,0,0,1,1,3,8,9.0,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
235,235,Dallas Mavericks,Justin Jackson,New Orleans Pelicans,W,10/25/2019,13:07,2,5,0.4,1,2,0.5,2,2,1.0,0,1,1,0,0,0,2,1,7,-3.0,2020,106.0,PF,https://www.basketball-reference.com/players/j/jacksju01.html,44,6-7,220.0,Dallas Mavericks,regular season
