,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
28,28,Detroit Pistons,Luke Kennard,Indiana Pacers,W,10/23/2019,28:04,8,13,0.615,6,9,0.667,8,10,0.8,0,3,3,2,0,0,1,3,30,12.0,2020,145.0,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206.0,Detroit Pistons,regular season
29,29,Detroit Pistons,Derrick Rose,Indiana Pacers,W,10/23/2019,26:35,6,11,0.545,0,0,,6,7,0.857,1,2,3,9,0,0,4,1,18,5.0,2020,143.0,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200.0,Detroit Pistons,regular season
30,30,Detroit Pistons,Langston Galloway,Indiana Pacers,W,10/23/2019,20:01,2,4,0.5,1,1,1.0,0,0,,1,3,4,0,1,1,3,1,5,11.0,2020,137.0,SG,https://www.basketball-reference.com/players/g/gallola01.html,9,6-1,200.0,Detroit Pistons,regular season
31,31,Detroit Pistons,Thon Maker,Indiana Pacers,W,10/23/2019,15:59,1,4,0.25,0,3,0.0,2,2,1.0,0,2,2,0,0,1,0,3,4,-3.0,2020,139.0,C,https://www.basketball-reference.com/players/m/makerth01.html,7,7-0,221.0,Detroit Pistons,regular season
32,32,Detroit Pistons,Christian Wood,Indiana Pacers,W,10/23/2019,3:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,2020,138.0,PF,https://www.basketball-reference.com/players/w/woodch01.html,35,6-10,214.0,Detroit Pistons,regular season
33,33,Detroit Pistons,Tim Frazier,Indiana Pacers,W,10/23/2019,1:04,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2.0,2020,,,,,,,,regular season
152,152,Detroit Pistons,Luke Kennard,Atlanta Hawks,L,10/24/2019,30:31,3,12,0.25,3,9,0.33299999999999996,4,4,1.0,1,3,4,3,1,0,1,0,13,-3.0,2020,145.0,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206.0,Detroit Pistons,regular season
153,153,Detroit Pistons,Langston Galloway,Atlanta Hawks,L,10/24/2019,25:51,2,9,0.222,2,7,0.28600000000000003,2,2,1.0,0,3,3,3,1,1,1,1,8,-2.0,2020,137.0,SG,https://www.basketball-reference.com/players/g/gallola01.html,9,6-1,200.0,Detroit Pistons,regular season
154,154,Detroit Pistons,Derrick Rose,Atlanta Hawks,L,10/24/2019,25:16,11,16,0.688,0,1,0.0,5,5,1.0,0,1,1,3,0,0,3,1,27,-8.0,2020,143.0,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200.0,Detroit Pistons,regular season
155,155,Detroit Pistons,Thon Maker,Atlanta Hawks,L,10/24/2019,19:16,0,1,0.0,0,1,0.0,1,2,0.5,2,3,5,1,0,2,1,0,1,-1.0,2020,139.0,C,https://www.basketball-reference.com/players/m/makerth01.html,7,7-0,221.0,Detroit Pistons,regular season
156,156,Detroit Pistons,Tim Frazier,Atlanta Hawks,L,10/24/2019,10:13,2,5,0.4,1,4,0.25,2,2,1.0,0,0,0,1,0,0,0,3,7,-10.0,2020,,,,,,,,regular season
312,312,Detroit Pistons,Luke Kennard,Philadelphia 76ers,L,10/26/2019,32:00,6,11,0.545,1,3,0.33299999999999996,3,3,1.0,0,1,1,2,0,0,0,4,16,-3.0,2020,145.0,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206.0,Detroit Pistons,regular season
313,313,Detroit Pistons,Derrick Rose,Philadelphia 76ers,L,10/26/2019,26:44,14,21,0.667,1,1,1.0,2,2,1.0,0,3,3,3,3,2,6,2,31,-3.0,2020,143.0,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200.0,Detroit Pistons,regular season
314,314,Detroit Pistons,Langston Galloway,Philadelphia 76ers,L,10/26/2019,25:47,2,3,0.667,1,1,1.0,4,6,0.667,0,2,2,2,0,0,0,1,9,-6.0,2020,137.0,SG,https://www.basketball-reference.com/players/g/gallola01.html,9,6-1,200.0,Detroit Pistons,regular season
315,315,Detroit Pistons,Thon Maker,Philadelphia 76ers,L,10/26/2019,23:22,1,3,0.33299999999999996,0,0,,0,0,,0,2,2,1,1,2,3,1,2,-5.0,2020,139.0,C,https://www.basketball-reference.com/players/m/makerth01.html,7,7-0,221.0,Detroit Pistons,regular season
316,316,Detroit Pistons,Christian Wood,Philadelphia 76ers,L,10/26/2019,19:03,4,6,0.667,1,3,0.33299999999999996,2,4,0.5,2,3,5,0,0,0,1,1,11,-1.0,2020,138.0,PF,https://www.basketball-reference.com/players/w/woodch01.html,35,6-10,214.0,Detroit Pistons,regular season
483,483,Detroit Pistons,Bruce Brown,Indiana Pacers,W,10/28/2019,26:24,4,5,0.8,3,3,1.0,0,0,,0,7,7,0,0,0,3,2,11,-5.0,2020,141.0,SG,https://www.basketball-reference.com/players/b/brownbr01.html,6,6-4,202.0,Detroit Pistons,regular season
484,484,Detroit Pistons,Derrick Rose,Indiana Pacers,W,10/28/2019,26:04,4,16,0.25,0,0,,2,2,1.0,1,0,1,6,0,0,4,2,10,-1.0,2020,143.0,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200.0,Detroit Pistons,regular season
