,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
30,30,Detroit Pistons,Andre Drummond,Indiana Pacers,W,10/23/2019,40:48,12,18,0.667,0,1,0.0,8,10,0.8,7,16,23,2,3,4,2,4,32,4,2020,98.0,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279.0,Cleveland Cavaliers,regular season
31,31,Detroit Pistons,Tony Snell,Indiana Pacers,W,10/23/2019,31:53,4,7,0.5710000000000001,2,4,0.5,0,0,,0,2,2,2,0,0,1,4,10,11,2020,140.0,SF,https://www.basketball-reference.com/players/s/snellto01.html,17,6-6,213.0,Detroit Pistons,regular season
32,32,Detroit Pistons,Bruce Brown,Indiana Pacers,W,10/23/2019,28:49,3,6,0.5,0,0,,1,2,0.5,1,3,4,4,0,0,3,3,7,5,2020,141.0,SG,https://www.basketball-reference.com/players/b/brownbr01.html,6,6-4,202.0,Detroit Pistons,regular season
33,33,Detroit Pistons,Markieff Morris,Indiana Pacers,W,10/23/2019,22:36,3,11,0.273,1,4,0.25,1,2,0.5,0,3,3,2,1,0,2,1,8,-3,2020,231.0,PF,https://www.basketball-reference.com/players/m/morrima02.html,88,6-8,245.0,Los Angeles Lakers,regular season
34,34,Detroit Pistons,Reggie Jackson,Indiana Pacers,W,10/23/2019,20:21,2,3,0.667,1,2,0.5,0,0,,0,1,1,5,0,0,1,1,5,2,2020,215.0,PG,https://www.basketball-reference.com/players/j/jacksre01.html,1,6-3,208.0,Los Angeles Clippers,regular season
135,135,Detroit Pistons,Andre Drummond,Atlanta Hawks,L,10/24/2019,36:45,8,12,0.667,0,0,,5,6,0.833,1,11,12,2,4,1,4,4,21,-15,2020,98.0,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279.0,Cleveland Cavaliers,regular season
136,136,Detroit Pistons,Tony Snell,Atlanta Hawks,L,10/24/2019,33:36,3,8,0.375,3,7,0.429,0,0,,1,1,2,2,0,1,0,2,9,-17,2020,140.0,SF,https://www.basketball-reference.com/players/s/snellto01.html,17,6-6,213.0,Detroit Pistons,regular season
137,137,Detroit Pistons,Markieff Morris,Atlanta Hawks,L,10/24/2019,25:43,3,11,0.273,1,4,0.25,0,0,,3,3,6,2,0,0,2,3,7,-14,2020,231.0,PF,https://www.basketball-reference.com/players/m/morrima02.html,88,6-8,245.0,Los Angeles Lakers,regular season
138,138,Detroit Pistons,Bruce Brown,Atlanta Hawks,L,10/24/2019,17:24,1,3,0.33299999999999996,0,1,0.0,0,0,,0,2,2,0,0,0,1,5,2,-14,2020,141.0,SG,https://www.basketball-reference.com/players/b/brownbr01.html,6,6-4,202.0,Detroit Pistons,regular season
139,139,Detroit Pistons,Reggie Jackson,Atlanta Hawks,L,10/24/2019,15:25,2,8,0.25,0,3,0.0,1,1,1.0,1,3,4,3,0,0,0,1,5,-1,2020,215.0,PG,https://www.basketball-reference.com/players/j/jacksre01.html,1,6-3,208.0,Los Angeles Clippers,regular season
265,265,Detroit Pistons,Markieff Morris,Philadelphia 76ers,L,10/26/2019,26:28,5,7,0.7140000000000001,2,4,0.5,5,7,0.7140000000000001,0,6,6,1,2,1,4,4,17,3,2020,231.0,PF,https://www.basketball-reference.com/players/m/morrima02.html,88,6-8,245.0,Los Angeles Lakers,regular season
266,266,Detroit Pistons,Tony Snell,Philadelphia 76ers,L,10/26/2019,24:57,1,4,0.25,1,3,0.33299999999999996,0,0,,0,1,1,6,2,0,0,3,3,-10,2020,140.0,SF,https://www.basketball-reference.com/players/s/snellto01.html,17,6-6,213.0,Detroit Pistons,regular season
267,267,Detroit Pistons,Andre Drummond,Philadelphia 76ers,L,10/26/2019,24:38,5,10,0.5,0,0,,3,10,0.3,3,9,12,1,0,2,2,6,13,-1,2020,98.0,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279.0,Cleveland Cavaliers,regular season
268,268,Detroit Pistons,Tim Frazier,Philadelphia 76ers,L,10/26/2019,21:16,2,6,0.33299999999999996,1,2,0.5,1,2,0.5,0,2,2,4,2,0,4,4,6,-3,2020,,,,,,,,regular season
269,269,Detroit Pistons,Bruce Brown,Philadelphia 76ers,L,10/26/2019,15:45,1,5,0.2,0,2,0.0,1,2,0.5,0,1,1,0,1,0,3,2,3,-1,2020,141.0,SG,https://www.basketball-reference.com/players/b/brownbr01.html,6,6-4,202.0,Detroit Pistons,regular season
405,405,Detroit Pistons,Andre Drummond,Indiana Pacers,W,10/28/2019,38:18,8,15,0.5329999999999999,0,1,0.0,2,3,0.667,4,14,18,1,0,2,6,3,18,3,2020,98.0,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279.0,Cleveland Cavaliers,regular season
406,406,Detroit Pistons,Luke Kennard,Indiana Pacers,W,10/28/2019,30:55,5,11,0.455,3,6,0.5,1,1,1.0,0,3,3,4,0,0,1,0,14,10,2020,145.0,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206.0,Detroit Pistons,regular season
407,407,Detroit Pistons,Markieff Morris,Indiana Pacers,W,10/28/2019,26:35,3,5,0.6,2,2,1.0,0,0,,0,1,1,1,0,0,4,5,8,-6,2020,231.0,PF,https://www.basketball-reference.com/players/m/morrima02.html,88,6-8,245.0,Los Angeles Lakers,regular season
408,408,Detroit Pistons,Tony Snell,Indiana Pacers,W,10/28/2019,22:19,3,6,0.5,2,5,0.4,0,0,,0,2,2,1,0,0,1,1,8,0,2020,140.0,SF,https://www.basketball-reference.com/players/s/snellto01.html,17,6-6,213.0,Detroit Pistons,regular season
409,409,Detroit Pistons,Tim Frazier,Indiana Pacers,W,10/28/2019,21:54,0,4,0.0,0,1,0.0,2,2,1.0,1,1,2,8,0,0,0,3,2,3,2020,,,,,,,,regular season
590,590,Detroit Pistons,Andre Drummond,Toronto Raptors,L,10/30/2019,35:20,10,17,0.588,0,0,,1,2,0.5,8,14,22,3,0,1,5,4,21,-22,2020,98.0,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279.0,Cleveland Cavaliers,regular season
591,591,Detroit Pistons,Markieff Morris,Toronto Raptors,L,10/30/2019,32:08,7,13,0.5379999999999999,2,5,0.4,0,0,,0,5,5,2,0,0,2,2,16,-13,2020,231.0,PF,https://www.basketball-reference.com/players/m/morrima02.html,88,6-8,245.0,Los Angeles Lakers,regular season
592,592,Detroit Pistons,Luke Kennard,Toronto Raptors,L,10/30/2019,26:38,1,6,0.16699999999999998,1,4,0.25,0,0,,0,1,1,7,0,0,1,1,3,-25,2020,145.0,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206.0,Detroit Pistons,regular season
593,593,Detroit Pistons,Tim Frazier,Toronto Raptors,L,10/30/2019,21:48,3,8,0.375,1,3,0.33299999999999996,0,0,,0,1,1,5,1,0,2,3,7,-5,2020,,,,,,,,regular season
594,594,Detroit Pistons,Tony Snell,Toronto Raptors,L,10/30/2019,18:49,2,7,0.28600000000000003,2,4,0.5,0,0,,1,0,1,2,0,0,0,0,6,-16,2020,140.0,SF,https://www.basketball-reference.com/players/s/snellto01.html,17,6-6,213.0,Detroit Pistons,regular season
770,770,Detroit Pistons,Andre Drummond,Chicago Bulls,L,11/01/2019,35:06,11,17,0.647,0,2,0.0,3,5,0.6,6,18,24,2,2,3,5,4,25,-8,2020,98.0,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279.0,Cleveland Cavaliers,regular season
771,771,Detroit Pistons,Luke Kennard,Chicago Bulls,L,11/01/2019,32:48,6,11,0.545,3,8,0.375,0,0,,0,3,3,4,1,0,2,3,15,-8,2020,145.0,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206.0,Detroit Pistons,regular season
772,772,Detroit Pistons,Markieff Morris,Chicago Bulls,L,11/01/2019,31:47,5,12,0.41700000000000004,1,6,0.16699999999999998,1,2,0.5,1,3,4,1,1,0,3,3,12,-18,2020,231.0,PF,https://www.basketball-reference.com/players/m/morrima02.html,88,6-8,245.0,Los Angeles Lakers,regular season
773,773,Detroit Pistons,Tony Snell,Chicago Bulls,L,11/01/2019,27:20,2,5,0.4,0,3,0.0,2,2,1.0,0,0,0,2,1,0,0,2,6,-12,2020,140.0,SF,https://www.basketball-reference.com/players/s/snellto01.html,17,6-6,213.0,Detroit Pistons,regular season
774,774,Detroit Pistons,Tim Frazier,Chicago Bulls,L,11/01/2019,16:48,1,7,0.14300000000000002,0,0,,1,2,0.5,1,1,2,2,2,0,0,1,3,-18,2020,,,,,,,,regular season
825,825,Detroit Pistons,Bruce Brown,Brooklyn Nets,W,11/02/2019,40:15,8,20,0.4,0,4,0.0,6,8,0.75,0,2,2,7,2,0,0,5,22,6,2020,141.0,SG,https://www.basketball-reference.com/players/b/brownbr01.html,6,6-4,202.0,Detroit Pistons,regular season
826,826,Detroit Pistons,Andre Drummond,Brooklyn Nets,W,11/02/2019,38:51,10,16,0.625,0,1,0.0,5,6,0.833,3,17,20,6,3,5,4,4,25,8,2020,98.0,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279.0,Cleveland Cavaliers,regular season
