,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
35,35,Indiana Pacers,Myles Turner,Detroit Pistons,L,10/23/2019,38:05,9,15,0.6,4,7,0.5710000000000001,3,3,1.0,2,7,9,0,2,3,4,3,25,-4,2020,191.0,C,https://www.basketball-reference.com/players/t/turnemy01.html,33,6-11,250.0,Indiana Pacers,regular season
36,36,Indiana Pacers,Malcolm Brogdon,Detroit Pistons,L,10/23/2019,35:51,5,13,0.385,2,4,0.5,10,11,0.909,0,3,3,11,0,1,2,2,22,-4,2020,192.0,PG,https://www.basketball-reference.com/players/b/brogdma01.html,7,6-5,229.0,Indiana Pacers,regular season
37,37,Indiana Pacers,Domantas Sabonis,Detroit Pistons,L,10/23/2019,35:42,11,15,0.733,0,1,0.0,5,5,1.0,5,8,13,2,0,0,2,5,27,3,2020,190.0,PF,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240.0,Indiana Pacers,regular season
38,38,Indiana Pacers,T.J. Warren,Detroit Pistons,L,10/23/2019,33:32,5,12,0.41700000000000004,0,2,0.0,0,2,0.0,1,0,1,0,0,1,1,3,10,4,2020,188.0,SF,https://www.basketball-reference.com/players/w/warretj01.html,1,6-8,220.0,Indiana Pacers,regular season
39,39,Indiana Pacers,Jeremy Lamb,Detroit Pistons,L,10/23/2019,25:52,4,11,0.364,0,2,0.0,2,3,0.667,1,3,4,3,1,0,2,4,10,-6,2020,194.0,SG,https://www.basketball-reference.com/players/l/lambje01.html,26,6-5,180.0,Indiana Pacers,regular season
300,300,Indiana Pacers,Myles Turner,Cleveland Cavaliers,L,10/26/2019,39:47,3,9,0.33299999999999996,2,4,0.5,3,4,0.75,1,10,11,1,0,1,3,3,11,-14,2020,191.0,C,https://www.basketball-reference.com/players/t/turnemy01.html,33,6-11,250.0,Indiana Pacers,regular season
301,301,Indiana Pacers,T.J. Warren,Cleveland Cavaliers,L,10/26/2019,36:36,6,15,0.4,0,4,0.0,0,0,,0,2,2,0,0,0,2,3,12,-17,2020,188.0,SF,https://www.basketball-reference.com/players/w/warretj01.html,1,6-8,220.0,Indiana Pacers,regular season
302,302,Indiana Pacers,Malcolm Brogdon,Cleveland Cavaliers,L,10/26/2019,34:33,12,18,0.667,4,6,0.667,2,2,1.0,0,2,2,10,1,1,1,3,30,-5,2020,192.0,PG,https://www.basketball-reference.com/players/b/brogdma01.html,7,6-5,229.0,Indiana Pacers,regular season
303,303,Indiana Pacers,Domantas Sabonis,Cleveland Cavaliers,L,10/26/2019,32:50,6,13,0.462,0,0,,2,2,1.0,0,5,5,2,2,0,5,5,14,-17,2020,190.0,PF,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240.0,Indiana Pacers,regular season
304,304,Indiana Pacers,Edmond Sumner,Cleveland Cavaliers,L,10/26/2019,16:32,4,5,0.8,0,1,0.0,2,3,0.667,0,1,1,1,0,0,0,4,10,-13,2020,196.0,PG,https://www.basketball-reference.com/players/s/sumneed01.html,5,6-4,196.0,Indiana Pacers,regular season
400,400,Indiana Pacers,Myles Turner,Detroit Pistons,L,10/28/2019,38:47,7,11,0.636,1,3,0.33299999999999996,1,2,0.5,5,0,5,1,0,1,0,2,16,-2,2020,191.0,C,https://www.basketball-reference.com/players/t/turnemy01.html,33,6-11,250.0,Indiana Pacers,regular season
401,401,Indiana Pacers,Domantas Sabonis,Detroit Pistons,L,10/28/2019,38:43,8,18,0.444,1,2,0.5,4,5,0.8,4,10,14,1,0,0,1,2,21,7,2020,190.0,PF,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240.0,Indiana Pacers,regular season
402,402,Indiana Pacers,T.J. Warren,Detroit Pistons,L,10/28/2019,37:45,9,22,0.409,1,3,0.33299999999999996,0,0,,1,4,5,1,5,0,1,3,19,0,2020,188.0,SF,https://www.basketball-reference.com/players/w/warretj01.html,1,6-8,220.0,Indiana Pacers,regular season
403,403,Indiana Pacers,Malcolm Brogdon,Detroit Pistons,L,10/28/2019,34:39,5,17,0.294,1,6,0.16699999999999998,4,4,1.0,1,7,8,11,2,0,2,3,15,-1,2020,192.0,PG,https://www.basketball-reference.com/players/b/brogdma01.html,7,6-5,229.0,Indiana Pacers,regular season
404,404,Indiana Pacers,Edmond Sumner,Detroit Pistons,L,10/28/2019,28:07,2,7,0.28600000000000003,0,2,0.0,1,2,0.5,0,1,1,3,2,1,0,1,5,3,2020,196.0,PG,https://www.basketball-reference.com/players/s/sumneed01.html,5,6-4,196.0,Indiana Pacers,regular season
570,570,Indiana Pacers,Domantas Sabonis,Brooklyn Nets,W,10/30/2019,36:21,11,18,0.611,2,4,0.5,5,6,0.833,3,5,8,4,1,1,3,4,29,26,2020,190.0,PF,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240.0,Indiana Pacers,regular season
571,571,Indiana Pacers,Jeremy Lamb,Brooklyn Nets,W,10/30/2019,34:10,11,19,0.579,3,7,0.429,0,2,0.0,3,4,7,0,1,0,2,3,25,7,2020,194.0,SG,https://www.basketball-reference.com/players/l/lambje01.html,26,6-5,180.0,Indiana Pacers,regular season
572,572,Indiana Pacers,T.J. Warren,Brooklyn Nets,W,10/30/2019,33:55,8,16,0.5,0,1,0.0,4,4,1.0,1,2,3,1,3,0,1,5,20,7,2020,188.0,SF,https://www.basketball-reference.com/players/w/warretj01.html,1,6-8,220.0,Indiana Pacers,regular season
573,573,Indiana Pacers,Malcolm Brogdon,Brooklyn Nets,W,10/30/2019,32:28,7,19,0.368,1,5,0.2,6,6,1.0,1,7,8,13,3,0,2,2,21,12,2020,192.0,PG,https://www.basketball-reference.com/players/b/brogdma01.html,7,6-5,229.0,Indiana Pacers,regular season
574,574,Indiana Pacers,Myles Turner,Brooklyn Nets,W,10/30/2019,9:41,3,5,0.6,1,1,1.0,0,0,,1,1,2,0,0,0,0,1,7,4,2020,191.0,C,https://www.basketball-reference.com/players/t/turnemy01.html,33,6-11,250.0,Indiana Pacers,regular season
745,745,Indiana Pacers,Domantas Sabonis,Cleveland Cavaliers,W,11/01/2019,37:17,9,15,0.6,0,0,,0,0,,3,14,17,4,0,2,2,4,18,0,2020,190.0,PF,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240.0,Indiana Pacers,regular season
746,746,Indiana Pacers,Jeremy Lamb,Cleveland Cavaliers,W,11/01/2019,34:51,7,13,0.5379999999999999,1,5,0.2,6,6,1.0,1,9,10,1,2,1,1,3,21,-7,2020,194.0,SG,https://www.basketball-reference.com/players/l/lambje01.html,26,6-5,180.0,Indiana Pacers,regular season
747,747,Indiana Pacers,Malcolm Brogdon,Cleveland Cavaliers,W,11/01/2019,33:02,8,16,0.5,1,4,0.25,8,8,1.0,2,6,8,6,1,1,5,2,25,-1,2020,192.0,PG,https://www.basketball-reference.com/players/b/brogdma01.html,7,6-5,229.0,Indiana Pacers,regular season
748,748,Indiana Pacers,T.J. Warren,Cleveland Cavaliers,W,11/01/2019,27:50,1,8,0.125,0,2,0.0,1,2,0.5,1,2,3,0,0,0,0,3,3,-1,2020,188.0,SF,https://www.basketball-reference.com/players/w/warretj01.html,1,6-8,220.0,Indiana Pacers,regular season
