,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
15,15,Los Angeles Clippers,Montrezl Harrell,Los Angeles Lakers,W,10/22/2019,38:22,7,11,0.636,0,0,,3,8,0.375,2,5,7,4,1,1,3,3,17,15.0,2020,204.0,C,https://www.basketball-reference.com/players/h/harremo01.html,5,6-7,240.0,Los Angeles Clippers,regular season
16,16,Los Angeles Clippers,Lou Williams,Los Angeles Lakers,W,10/22/2019,36:44,8,14,0.5710000000000001,1,4,0.25,4,4,1.0,1,4,5,7,1,0,2,0,21,13.0,2020,203.0,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175.0,Los Angeles Clippers,regular season
17,17,Los Angeles Clippers,Maurice Harkless,Los Angeles Lakers,W,10/22/2019,29:10,4,7,0.5710000000000001,2,3,0.667,0,0,,2,2,4,0,4,2,0,5,10,7.0,2020,334.0,SF,https://www.basketball-reference.com/players/h/harklma01.html,3,6-7,220.0,New York Knicks,regular season
18,18,Los Angeles Clippers,JaMychal Green,Los Angeles Lakers,W,10/22/2019,19:16,4,8,0.5,4,7,0.5710000000000001,0,0,,1,5,6,0,0,0,1,3,12,5.0,2020,205.0,PF,https://www.basketball-reference.com/players/g/greenja01.html,4,6-8,227.0,Los Angeles Clippers,regular season
168,168,Los Angeles Clippers,Lou Williams,Golden State Warriors,W,10/24/2019,29:24,5,11,0.455,1,3,0.33299999999999996,11,11,1.0,0,3,3,8,1,0,0,1,22,-2.0,2020,203.0,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175.0,Los Angeles Clippers,regular season
169,169,Los Angeles Clippers,Montrezl Harrell,Golden State Warriors,W,10/24/2019,24:34,8,9,0.889,0,0,,2,5,0.4,1,5,6,3,0,0,6,3,18,1.0,2020,204.0,C,https://www.basketball-reference.com/players/h/harremo01.html,5,6-7,240.0,Los Angeles Clippers,regular season
170,170,Los Angeles Clippers,Maurice Harkless,Golden State Warriors,W,10/24/2019,24:16,5,7,0.7140000000000001,0,2,0.0,0,0,,1,1,2,3,1,1,2,3,10,2.0,2020,334.0,SF,https://www.basketball-reference.com/players/h/harklma01.html,3,6-7,220.0,New York Knicks,regular season
171,171,Los Angeles Clippers,JaMychal Green,Golden State Warriors,W,10/24/2019,15:44,3,4,0.75,3,4,0.75,0,1,0.0,0,1,1,0,0,0,1,3,9,-8.0,2020,205.0,PF,https://www.basketball-reference.com/players/g/greenja01.html,4,6-8,227.0,Los Angeles Clippers,regular season
172,172,Los Angeles Clippers,Johnathan Motley,Golden State Warriors,W,10/24/2019,4:06,1,1,1.0,1,1,1.0,0,0,,0,1,1,2,0,0,2,1,3,-3.0,2020,216.0,PF,https://www.basketball-reference.com/players/m/motlejo01.html,15,6-8,230.0,Los Angeles Clippers,regular season
173,173,Los Angeles Clippers,Mfiondu Kabengele,Golden State Warriors,W,10/24/2019,4:06,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,1,0,1,3,-3.0,2020,217.0,C,https://www.basketball-reference.com/players/k/kabenmf01.html,25,6-9,250.0,Los Angeles Clippers,regular season
174,174,Los Angeles Clippers,Jerome Robinson,Golden State Warriors,W,10/24/2019,4:06,1,3,0.33299999999999996,1,1,1.0,0,0,,0,2,2,0,0,0,0,0,3,-3.0,2020,503.0,SG,https://www.basketball-reference.com/players/r/robinje01.html,12,6-4,190.0,Washington Wizards,regular season
175,175,Los Angeles Clippers,Terance Mann,Golden State Warriors,W,10/24/2019,4:06,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-3.0,2020,212.0,SG,https://www.basketball-reference.com/players/m/mannte01.html,14,6-5,215.0,Los Angeles Clippers,regular season
408,408,Los Angeles Clippers,Montrezl Harrell,Phoenix Suns,L,10/26/2019,32:19,9,10,0.9,0,0,,10,11,0.909,2,5,7,2,1,1,1,0,28,4.0,2020,204.0,C,https://www.basketball-reference.com/players/h/harremo01.html,5,6-7,240.0,Los Angeles Clippers,regular season
409,409,Los Angeles Clippers,Lou Williams,Phoenix Suns,L,10/26/2019,28:32,7,17,0.41200000000000003,3,7,0.429,6,9,0.667,0,2,2,2,0,0,5,2,23,2.0,2020,203.0,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175.0,Los Angeles Clippers,regular season
410,410,Los Angeles Clippers,Maurice Harkless,Phoenix Suns,L,10/26/2019,18:13,1,4,0.25,0,1,0.0,0,0,,0,1,1,0,2,0,0,5,2,5.0,2020,334.0,SF,https://www.basketball-reference.com/players/h/harklma01.html,3,6-7,220.0,New York Knicks,regular season
411,411,Los Angeles Clippers,JaMychal Green,Phoenix Suns,L,10/26/2019,16:06,4,5,0.8,2,2,1.0,3,3,1.0,2,1,3,0,0,0,0,4,13,6.0,2020,205.0,PF,https://www.basketball-reference.com/players/g/greenja01.html,4,6-8,227.0,Los Angeles Clippers,regular season
412,412,Los Angeles Clippers,Johnathan Motley,Phoenix Suns,L,10/26/2019,0:14,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,2020,216.0,PF,https://www.basketball-reference.com/players/m/motlejo01.html,15,6-8,230.0,Los Angeles Clippers,regular season
413,413,Los Angeles Clippers,Terance Mann,Phoenix Suns,L,10/26/2019,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2020,212.0,SG,https://www.basketball-reference.com/players/m/mannte01.html,14,6-5,215.0,Los Angeles Clippers,regular season
414,414,Los Angeles Clippers,Jerome Robinson,Phoenix Suns,L,10/26/2019,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2020,503.0,SG,https://www.basketball-reference.com/players/r/robinje01.html,12,6-4,190.0,Washington Wizards,regular season
589,589,Los Angeles Clippers,Lou Williams,Charlotte Hornets,W,10/28/2019,28:59,7,17,0.41200000000000003,2,6,0.33299999999999996,7,9,0.778,1,3,4,4,1,0,3,1,23,-1.0,2020,203.0,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175.0,Los Angeles Clippers,regular season
590,590,Los Angeles Clippers,Montrezl Harrell,Charlotte Hornets,W,10/28/2019,26:16,8,12,0.667,0,0,,3,3,1.0,4,3,7,2,2,0,2,3,19,-4.0,2020,204.0,C,https://www.basketball-reference.com/players/h/harremo01.html,5,6-7,240.0,Los Angeles Clippers,regular season
591,591,Los Angeles Clippers,JaMychal Green,Charlotte Hornets,W,10/28/2019,21:50,1,5,0.2,1,4,0.25,0,0,,0,2,2,1,1,0,0,5,3,-8.0,2020,205.0,PF,https://www.basketball-reference.com/players/g/greenja01.html,4,6-8,227.0,Los Angeles Clippers,regular season
592,592,Los Angeles Clippers,Maurice Harkless,Charlotte Hornets,W,10/28/2019,18:36,2,3,0.667,1,2,0.5,0,0,,0,5,5,0,1,0,2,3,5,-6.0,2020,334.0,SF,https://www.basketball-reference.com/players/h/harklma01.html,3,6-7,220.0,New York Knicks,regular season
