,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
10,10,Los Angeles Lakers,Kentavious Caldwell-Pope,Los Angeles Clippers,L,10/22/2019,27:23,0,3,0.0,0,2,0.0,0,0,,0,3,3,3,0,0,1,5,0,-8.0,2020,219.0,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204.0,Los Angeles Lakers,regular season
11,11,Los Angeles Lakers,Dwight Howard,Los Angeles Clippers,L,10/22/2019,19:02,1,3,0.33299999999999996,0,0,,1,1,1.0,3,3,6,1,0,1,0,4,3,-1.0,2020,220.0,C,https://www.basketball-reference.com/players/h/howardw01.html,39,6-10,265.0,Los Angeles Lakers,regular season
12,12,Los Angeles Lakers,Quinn Cook,Los Angeles Clippers,L,10/22/2019,16:56,2,7,0.28600000000000003,0,3,0.0,0,0,,0,1,1,2,0,0,1,0,4,-9.0,2020,230.0,PG,https://www.basketball-reference.com/players/c/cookqu01.html,2-28,6-1,180.0,Los Angeles Lakers,regular season
13,13,Los Angeles Lakers,Troy Daniels,Los Angeles Clippers,L,10/22/2019,16:14,2,6,0.33299999999999996,1,5,0.2,1,1,1.0,0,0,0,1,0,0,1,1,6,-13.0,2020,135.0,SG,https://www.basketball-reference.com/players/d/danietr01.html,30,6-4,200.0,Denver Nuggets,regular season
14,14,Los Angeles Lakers,Jared Dudley,Los Angeles Clippers,L,10/22/2019,13:21,2,2,1.0,2,2,1.0,0,0,,0,0,0,0,0,0,0,2,6,-20.0,2020,229.0,SF,https://www.basketball-reference.com/players/d/dudleja01.html,10,6-6,237.0,Los Angeles Lakers,regular season
287,287,Los Angeles Lakers,Troy Daniels,Utah Jazz,W,10/25/2019,21:22,5,9,0.556,4,8,0.5,1,1,1.0,0,3,3,0,1,0,1,0,15,9.0,2020,135.0,SG,https://www.basketball-reference.com/players/d/danietr01.html,30,6-4,200.0,Denver Nuggets,regular season
288,288,Los Angeles Lakers,Quinn Cook,Utah Jazz,W,10/25/2019,21:12,2,8,0.25,0,1,0.0,0,0,,0,1,1,3,0,0,1,0,4,0.0,2020,230.0,PG,https://www.basketball-reference.com/players/c/cookqu01.html,2-28,6-1,180.0,Los Angeles Lakers,regular season
289,289,Los Angeles Lakers,Kentavious Caldwell-Pope,Utah Jazz,W,10/25/2019,20:44,0,6,0.0,0,2,0.0,1,2,0.5,0,2,2,1,2,0,0,3,1,3.0,2020,219.0,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204.0,Los Angeles Lakers,regular season
290,290,Los Angeles Lakers,Alex Caruso,Utah Jazz,W,10/25/2019,20:27,1,3,0.33299999999999996,0,0,,0,0,,0,0,0,0,1,0,2,1,2,-2.0,2020,224.0,PG,https://www.basketball-reference.com/players/c/carusal01.html,4,6-5,186.0,Los Angeles Lakers,regular season
291,291,Los Angeles Lakers,Dwight Howard,Utah Jazz,W,10/25/2019,19:10,1,3,0.33299999999999996,0,0,,0,2,0.0,3,4,7,2,2,2,2,5,2,13.0,2020,220.0,C,https://www.basketball-reference.com/players/h/howardw01.html,39,6-10,265.0,Los Angeles Lakers,regular season
292,292,Los Angeles Lakers,Jared Dudley,Utah Jazz,W,10/25/2019,5:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,5.0,2020,229.0,SF,https://www.basketball-reference.com/players/d/dudleja01.html,10,6-6,237.0,Los Angeles Lakers,regular season
293,293,Los Angeles Lakers,Zach Norvell,Utah Jazz,W,10/25/2019,2:31,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6.0,2020,,,,,,,,regular season
294,294,Los Angeles Lakers,Kostas Antetokounmpo,Utah Jazz,W,10/25/2019,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2020,235.0,PF,https://www.basketball-reference.com/players/a/antetko01.html,37,6-10,200.0,Los Angeles Lakers,regular season
471,471,Los Angeles Lakers,Quinn Cook,Charlotte Hornets,W,10/27/2019,24:02,5,9,0.556,2,4,0.5,0,0,,1,2,3,8,0,0,0,3,12,10.0,2020,230.0,PG,https://www.basketball-reference.com/players/c/cookqu01.html,2-28,6-1,180.0,Los Angeles Lakers,regular season
472,472,Los Angeles Lakers,Dwight Howard,Charlotte Hornets,W,10/27/2019,22:52,8,8,1.0,0,0,,0,2,0.0,3,7,10,1,0,4,1,3,16,23.0,2020,220.0,C,https://www.basketball-reference.com/players/h/howardw01.html,39,6-10,265.0,Los Angeles Lakers,regular season
473,473,Los Angeles Lakers,Kentavious Caldwell-Pope,Charlotte Hornets,W,10/27/2019,18:35,4,8,0.5,2,4,0.5,0,0,,1,0,1,2,1,0,1,1,10,21.0,2020,219.0,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204.0,Los Angeles Lakers,regular season
474,474,Los Angeles Lakers,Alex Caruso,Charlotte Hornets,W,10/27/2019,13:16,2,3,0.667,1,2,0.5,0,0,,0,2,2,1,1,1,1,3,5,17.0,2020,224.0,PG,https://www.basketball-reference.com/players/c/carusal01.html,4,6-5,186.0,Los Angeles Lakers,regular season
475,475,Los Angeles Lakers,Troy Daniels,Charlotte Hornets,W,10/27/2019,12:09,2,6,0.33299999999999996,1,5,0.2,0,0,,0,0,0,0,1,0,0,1,5,2.0,2020,135.0,SG,https://www.basketball-reference.com/players/d/danietr01.html,30,6-4,200.0,Denver Nuggets,regular season
476,476,Los Angeles Lakers,Jared Dudley,Charlotte Hornets,W,10/27/2019,6:54,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,4.0,2020,229.0,SF,https://www.basketball-reference.com/players/d/dudleja01.html,10,6-6,237.0,Los Angeles Lakers,regular season
477,477,Los Angeles Lakers,Kostas Antetokounmpo,Charlotte Hornets,W,10/27/2019,2:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2.0,2020,235.0,PF,https://www.basketball-reference.com/players/a/antetko01.html,37,6-10,200.0,Los Angeles Lakers,regular season
478,478,Los Angeles Lakers,Zach Norvell,Charlotte Hornets,W,10/27/2019,2:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2.0,2020,,,,,,,,regular season
627,627,Los Angeles Lakers,Kentavious Caldwell-Pope,Memphis Grizzlies,W,10/29/2019,28:35,6,11,0.545,0,1,0.0,1,1,1.0,0,6,6,3,0,1,1,3,13,26.0,2020,219.0,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204.0,Los Angeles Lakers,regular season
628,628,Los Angeles Lakers,Quinn Cook,Memphis Grizzlies,W,10/29/2019,22:00,3,8,0.375,1,5,0.2,0,0,,0,3,3,1,1,0,2,0,7,25.0,2020,230.0,PG,https://www.basketball-reference.com/players/c/cookqu01.html,2-28,6-1,180.0,Los Angeles Lakers,regular season
629,629,Los Angeles Lakers,Troy Daniels,Memphis Grizzlies,W,10/29/2019,20:04,2,7,0.28600000000000003,1,5,0.2,0,0,,0,3,3,1,0,0,1,0,5,7.0,2020,135.0,SG,https://www.basketball-reference.com/players/d/danietr01.html,30,6-4,200.0,Denver Nuggets,regular season
630,630,Los Angeles Lakers,Dwight Howard,Memphis Grizzlies,W,10/29/2019,18:45,1,2,0.5,0,0,,0,0,,1,4,5,2,1,2,1,5,2,22.0,2020,220.0,C,https://www.basketball-reference.com/players/h/howardw01.html,39,6-10,265.0,Los Angeles Lakers,regular season
631,631,Los Angeles Lakers,Alex Caruso,Memphis Grizzlies,W,10/29/2019,12:45,0,4,0.0,0,2,0.0,0,0,,0,3,3,4,3,1,2,0,0,14.0,2020,224.0,PG,https://www.basketball-reference.com/players/c/carusal01.html,4,6-5,186.0,Los Angeles Lakers,regular season
632,632,Los Angeles Lakers,Jared Dudley,Memphis Grizzlies,W,10/29/2019,6:48,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,9.0,2020,229.0,SF,https://www.basketball-reference.com/players/d/dudleja01.html,10,6-6,237.0,Los Angeles Lakers,regular season
798,798,Los Angeles Lakers,Rajon Rondo,Miami Heat,W,10/02/2020,26:00,5,9,0.556,3,4,0.75,3,4,0.75,0,4,4,10,0,0,1,3,16,7.0,2020,228.0,PG,https://www.basketball-reference.com/players/r/rondora01.html,9,6-1,180.0,Los Angeles Lakers,playoffs
799,799,Los Angeles Lakers,Alex Caruso,Miami Heat,W,10/02/2020,23:14,2,5,0.4,2,4,0.5,0,0,,2,0,2,2,1,0,2,4,6,-5.0,2020,224.0,PG,https://www.basketball-reference.com/players/c/carusal01.html,4,6-5,186.0,Los Angeles Lakers,playoffs
800,800,Los Angeles Lakers,Kyle Kuzma,Miami Heat,W,10/02/2020,21:40,3,8,0.375,2,6,0.33299999999999996,3,3,1.0,1,1,2,1,0,0,3,1,11,5.0,2020,226.0,PF,https://www.basketball-reference.com/players/k/kuzmaky01.html,0,6-8,221.0,Los Angeles Lakers,playoffs
