,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
59,59,Memphis Grizzlies,Marko Guduric,Miami Heat,L,10/23/2019,24:06,4,8,0.5,0,3,0.0,1,1,1.0,0,2,2,2,0,0,3,1,9,6.0,2020,245.0,SG,https://www.basketball-reference.com/players/g/gudurma01.html,23,6-6,201.0,Memphis Grizzlies,regular season
60,60,Memphis Grizzlies,Tyus Jones,Miami Heat,L,10/23/2019,24:03,6,12,0.5,0,1,0.0,3,5,0.6,0,1,1,7,2,0,2,4,15,6.0,2020,241.0,PG,https://www.basketball-reference.com/players/j/jonesty01.html,21,6-0,196.0,Memphis Grizzlies,regular season
61,61,Memphis Grizzlies,Brandon Clarke,Miami Heat,L,10/23/2019,23:03,3,6,0.5,1,1,1.0,1,1,1.0,2,5,7,1,0,1,0,1,8,6.0,2020,243.0,PF,https://www.basketball-reference.com/players/c/clarkbr01.html,15,6-8,215.0,Memphis Grizzlies,regular season
62,62,Memphis Grizzlies,Kyle Anderson,Miami Heat,L,10/23/2019,20:50,2,4,0.5,0,1,0.0,0,0,,3,5,8,0,1,0,1,2,4,-7.0,2020,240.0,PF,https://www.basketball-reference.com/players/a/anderky01.html,1,6-9,230.0,Memphis Grizzlies,regular season
63,63,Memphis Grizzlies,Grayson Allen,Miami Heat,L,10/23/2019,20:48,2,6,0.33299999999999996,1,5,0.2,0,0,,0,1,1,2,0,0,2,3,5,-17.0,2020,246.0,SG,https://www.basketball-reference.com/players/a/allengr01.html,3,6-4,198.0,Memphis Grizzlies,regular season
64,64,Memphis Grizzlies,Bruno Caboclo,Miami Heat,L,10/23/2019,4:44,1,4,0.25,0,1,0.0,0,0,,1,2,3,0,0,1,1,0,2,-3.0,2020,181.0,C,https://www.basketball-reference.com/players/c/cabocbr01.html,5,6-9,218.0,Houston Rockets,regular season
65,65,Memphis Grizzlies,De'Anthony Melton,Miami Heat,L,10/23/2019,2:45,0,0,,0,0,,0,2,0.0,0,0,0,2,1,0,0,0,0,-2.0,2020,242.0,PG,https://www.basketball-reference.com/players/m/meltode01.html,0,6-2,200.0,Memphis Grizzlies,regular season
226,226,Memphis Grizzlies,Brandon Clarke,Chicago Bulls,L,10/25/2019,25:17,7,9,0.778,0,1,0.0,0,0,,1,4,5,1,1,3,0,3,14,-13.0,2020,243.0,PF,https://www.basketball-reference.com/players/c/clarkbr01.html,15,6-8,215.0,Memphis Grizzlies,regular season
227,227,Memphis Grizzlies,Kyle Anderson,Chicago Bulls,L,10/25/2019,20:12,4,6,0.667,1,1,1.0,0,2,0.0,0,5,5,5,1,1,0,0,9,3.0,2020,240.0,PF,https://www.basketball-reference.com/players/a/anderky01.html,1,6-9,230.0,Memphis Grizzlies,regular season
228,228,Memphis Grizzlies,Tyus Jones,Chicago Bulls,L,10/25/2019,19:40,1,5,0.2,0,3,0.0,2,2,1.0,0,3,3,3,0,0,2,1,4,-6.0,2020,241.0,PG,https://www.basketball-reference.com/players/j/jonesty01.html,21,6-0,196.0,Memphis Grizzlies,regular season
229,229,Memphis Grizzlies,Grayson Allen,Chicago Bulls,L,10/25/2019,18:21,1,5,0.2,1,3,0.33299999999999996,3,4,0.75,0,1,1,3,0,0,0,2,6,-3.0,2020,246.0,SG,https://www.basketball-reference.com/players/a/allengr01.html,3,6-4,198.0,Memphis Grizzlies,regular season
230,230,Memphis Grizzlies,Marko Guduric,Chicago Bulls,L,10/25/2019,17:05,3,8,0.375,1,3,0.33299999999999996,0,0,,2,1,3,1,0,0,2,2,7,-3.0,2020,245.0,SG,https://www.basketball-reference.com/players/g/gudurma01.html,23,6-6,201.0,Memphis Grizzlies,regular season
439,439,Memphis Grizzlies,Brandon Clarke,Brooklyn Nets,W,10/27/2019,25:51,5,12,0.41700000000000004,0,3,0.0,0,0,,1,6,7,2,1,1,1,2,10,-18.0,2020,243.0,PF,https://www.basketball-reference.com/players/c/clarkbr01.html,15,6-8,215.0,Memphis Grizzlies,regular season
440,440,Memphis Grizzlies,Solomon Hill,Brooklyn Nets,W,10/27/2019,24:20,5,5,1.0,1,1,1.0,2,4,0.5,0,5,5,3,0,0,1,1,13,9.0,2020,266.0,SF,https://www.basketball-reference.com/players/h/hillso01.html,44,6-6,226.0,Miami Heat,regular season
441,441,Memphis Grizzlies,Kyle Anderson,Brooklyn Nets,W,10/27/2019,23:41,4,6,0.667,0,0,,5,6,0.833,1,3,4,1,2,2,0,4,13,5.0,2020,240.0,PF,https://www.basketball-reference.com/players/a/anderky01.html,1,6-9,230.0,Memphis Grizzlies,regular season
442,442,Memphis Grizzlies,Tyus Jones,Brooklyn Nets,W,10/27/2019,20:35,1,10,0.1,1,3,0.33299999999999996,2,2,1.0,0,0,0,5,2,0,2,3,5,-9.0,2020,241.0,PG,https://www.basketball-reference.com/players/j/jonesty01.html,21,6-0,196.0,Memphis Grizzlies,regular season
443,443,Memphis Grizzlies,Grayson Allen,Brooklyn Nets,W,10/27/2019,13:50,2,7,0.28600000000000003,1,3,0.33299999999999996,1,2,0.5,0,2,2,1,0,0,0,2,6,11.0,2020,246.0,SG,https://www.basketball-reference.com/players/a/allengr01.html,3,6-4,198.0,Memphis Grizzlies,regular season
444,444,Memphis Grizzlies,Marko Guduric,Brooklyn Nets,W,10/27/2019,5:42,0,1,0.0,0,1,0.0,2,2,1.0,1,0,1,0,0,0,1,0,2,1.0,2020,245.0,SG,https://www.basketball-reference.com/players/g/gudurma01.html,23,6-6,201.0,Memphis Grizzlies,regular season
619,619,Memphis Grizzlies,Marko Guduric,Los Angeles Lakers,L,10/29/2019,22:57,0,5,0.0,0,4,0.0,0,0,,0,2,2,3,0,1,1,1,0,-22.0,2020,245.0,SG,https://www.basketball-reference.com/players/g/gudurma01.html,23,6-6,201.0,Memphis Grizzlies,regular season
620,620,Memphis Grizzlies,Grayson Allen,Los Angeles Lakers,L,10/29/2019,21:13,4,14,0.28600000000000003,1,6,0.16699999999999998,4,4,1.0,1,4,5,1,2,0,4,1,13,-36.0,2020,246.0,SG,https://www.basketball-reference.com/players/a/allengr01.html,3,6-4,198.0,Memphis Grizzlies,regular season
621,621,Memphis Grizzlies,Brandon Clarke,Los Angeles Lakers,L,10/29/2019,18:31,4,9,0.444,0,0,,2,2,1.0,1,0,1,0,1,1,1,4,10,-32.0,2020,243.0,PF,https://www.basketball-reference.com/players/c/clarkbr01.html,15,6-8,215.0,Memphis Grizzlies,regular season
622,622,Memphis Grizzlies,Kyle Anderson,Los Angeles Lakers,L,10/29/2019,16:55,1,4,0.25,0,0,,0,0,,0,3,3,2,0,0,1,1,2,-19.0,2020,240.0,PF,https://www.basketball-reference.com/players/a/anderky01.html,1,6-9,230.0,Memphis Grizzlies,regular season
623,623,Memphis Grizzlies,Tyus Jones,Los Angeles Lakers,L,10/29/2019,16:20,2,4,0.5,0,0,,0,0,,0,0,0,2,0,0,0,0,4,-27.0,2020,241.0,PG,https://www.basketball-reference.com/players/j/jonesty01.html,21,6-0,196.0,Memphis Grizzlies,regular season
