,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
157,157,Milwaukee Bucks,George Hill,Houston Rockets,W,10/24/2019,30:47,3,7,0.429,2,4,0.5,0,0,,0,0,0,7,2,0,0,2,8,16.0,2020,280.0,PG,https://www.basketball-reference.com/players/h/hillge01.html,3,6-3,188.0,Milwaukee Bucks,regular season
158,158,Milwaukee Bucks,Ersan Ilyasova,Houston Rockets,W,10/24/2019,20:04,6,8,0.75,1,2,0.5,0,1,0.0,4,7,11,0,0,1,2,5,13,2.0,2020,277.0,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235.0,Milwaukee Bucks,regular season
159,159,Milwaukee Bucks,Pat Connaughton,Houston Rockets,W,10/24/2019,16:48,4,8,0.5,2,5,0.4,0,0,,0,4,4,2,0,1,0,1,10,-6.0,2020,273.0,SG,https://www.basketball-reference.com/players/c/connapa01.html,24,6-5,209.0,Milwaukee Bucks,regular season
160,160,Milwaukee Bucks,Robin Lopez,Houston Rockets,W,10/24/2019,16:35,1,3,0.33299999999999996,0,2,0.0,0,3,0.0,0,2,2,1,0,0,1,3,2,-4.0,2020,275.0,C,https://www.basketball-reference.com/players/l/lopezro01.html,42,7-0,281.0,Milwaukee Bucks,regular season
161,161,Milwaukee Bucks,Kyle Korver,Houston Rockets,W,10/24/2019,15:14,2,4,0.5,1,3,0.33299999999999996,0,0,,1,5,6,1,1,0,1,1,5,8.0,2020,281.0,SF,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212.0,Milwaukee Bucks,regular season
162,162,Milwaukee Bucks,Sterling Brown,Houston Rockets,W,10/24/2019,5:41,1,3,0.33299999999999996,0,1,0.0,0,0,,0,2,2,0,0,0,0,2,2,1.0,2020,282.0,SF,https://www.basketball-reference.com/players/b/brownst02.html,23,6-5,219.0,Milwaukee Bucks,regular season
300,300,Milwaukee Bucks,George Hill,Miami Heat,L,10/26/2019,28:47,2,4,0.5,1,3,0.33299999999999996,0,0,,0,2,2,4,1,1,1,6,5,-18.0,2020,280.0,PG,https://www.basketball-reference.com/players/h/hillge01.html,3,6-3,188.0,Milwaukee Bucks,regular season
301,301,Milwaukee Bucks,Ersan Ilyasova,Miami Heat,L,10/26/2019,20:28,3,8,0.375,2,5,0.4,3,3,1.0,1,4,5,1,1,0,0,1,11,-9.0,2020,277.0,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235.0,Milwaukee Bucks,regular season
302,302,Milwaukee Bucks,Kyle Korver,Miami Heat,L,10/26/2019,17:41,4,11,0.364,4,9,0.444,2,2,1.0,1,0,1,0,0,0,1,2,14,0.0,2020,281.0,SF,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212.0,Milwaukee Bucks,regular season
303,303,Milwaukee Bucks,Pat Connaughton,Miami Heat,L,10/26/2019,13:02,0,2,0.0,0,2,0.0,0,0,,0,2,2,1,0,0,0,1,0,-3.0,2020,273.0,SG,https://www.basketball-reference.com/players/c/connapa01.html,24,6-5,209.0,Milwaukee Bucks,regular season
304,304,Milwaukee Bucks,Robin Lopez,Miami Heat,L,10/26/2019,12:46,3,6,0.5,0,2,0.0,0,0,,0,1,1,0,0,0,1,2,6,-1.0,2020,275.0,C,https://www.basketball-reference.com/players/l/lopezro01.html,42,7-0,281.0,Milwaukee Bucks,regular season
305,305,Milwaukee Bucks,Sterling Brown,Miami Heat,L,10/26/2019,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2020,282.0,SF,https://www.basketball-reference.com/players/b/brownst02.html,23,6-5,219.0,Milwaukee Bucks,regular season
527,527,Milwaukee Bucks,Pat Connaughton,Cleveland Cavaliers,W,10/28/2019,20:55,6,8,0.75,4,5,0.8,1,1,1.0,0,4,4,4,0,0,0,3,17,-2.0,2020,273.0,SG,https://www.basketball-reference.com/players/c/connapa01.html,24,6-5,209.0,Milwaukee Bucks,regular season
528,528,Milwaukee Bucks,Ersan Ilyasova,Cleveland Cavaliers,W,10/28/2019,19:26,1,5,0.2,1,2,0.5,0,0,,1,5,6,1,1,0,0,0,3,15.0,2020,277.0,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235.0,Milwaukee Bucks,regular season
529,529,Milwaukee Bucks,George Hill,Cleveland Cavaliers,W,10/28/2019,19:22,7,10,0.7,1,2,0.5,4,7,0.5710000000000001,2,6,8,3,2,0,0,0,19,12.0,2020,280.0,PG,https://www.basketball-reference.com/players/h/hillge01.html,3,6-3,188.0,Milwaukee Bucks,regular season
530,530,Milwaukee Bucks,Kyle Korver,Cleveland Cavaliers,W,10/28/2019,18:05,3,3,1.0,3,3,1.0,0,0,,0,1,1,0,0,1,1,1,9,-1.0,2020,281.0,SF,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212.0,Milwaukee Bucks,regular season
