,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
0,0,New Orleans Pelicans,Jrue Holiday,Toronto Raptors,L,10/22/2019,41:05,6,15,0.4,1,6,0.16699999999999998,0,2,0.0,2,2,4,6,0,2,5,2,13,-14,2020,308.0,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205.0,New Orleans Pelicans,regular season
1,1,New Orleans Pelicans,Brandon Ingram,Toronto Raptors,L,10/22/2019,35:06,8,19,0.42100000000000004,2,5,0.4,4,4,1.0,0,5,5,5,1,2,2,4,22,-19,2020,307.0,PF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190.0,New Orleans Pelicans,regular season
2,2,New Orleans Pelicans,J.J. Redick,Toronto Raptors,L,10/22/2019,27:03,6,9,0.667,4,6,0.667,0,0,,0,2,2,1,0,0,3,3,16,-14,2020,309.0,SG,https://www.basketball-reference.com/players/r/redicjj01.html,4,6-3,200.0,New Orleans Pelicans,regular season
3,3,New Orleans Pelicans,Lonzo Ball,Toronto Raptors,L,10/22/2019,24:50,2,7,0.28600000000000003,2,3,0.667,2,2,1.0,0,5,5,5,0,0,1,2,8,-7,2020,306.0,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190.0,New Orleans Pelicans,regular season
4,4,New Orleans Pelicans,Derrick Favors,Toronto Raptors,L,10/22/2019,20:46,3,6,0.5,0,0,,0,0,,1,6,7,2,0,1,1,5,6,-12,2020,313.0,C,https://www.basketball-reference.com/players/f/favorde01.html,22,6-9,265.0,New Orleans Pelicans,regular season
205,205,New Orleans Pelicans,Lonzo Ball,Dallas Mavericks,L,10/25/2019,33:13,6,16,0.375,3,12,0.25,0,2,0.0,1,7,8,5,2,0,2,3,15,-14,2020,306.0,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190.0,New Orleans Pelicans,regular season
206,206,New Orleans Pelicans,Jrue Holiday,Dallas Mavericks,L,10/25/2019,33:13,2,11,0.182,0,3,0.0,4,4,1.0,1,3,4,8,2,0,0,1,8,-14,2020,308.0,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205.0,New Orleans Pelicans,regular season
207,207,New Orleans Pelicans,Brandon Ingram,Dallas Mavericks,L,10/25/2019,31:25,10,20,0.5,4,7,0.5710000000000001,1,1,1.0,2,6,8,3,0,3,3,3,25,-11,2020,307.0,PF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190.0,New Orleans Pelicans,regular season
208,208,New Orleans Pelicans,Derrick Favors,Dallas Mavericks,L,10/25/2019,21:35,8,10,0.8,0,0,,0,0,,3,4,7,2,0,0,2,2,16,-2,2020,313.0,C,https://www.basketball-reference.com/players/f/favorde01.html,22,6-9,265.0,New Orleans Pelicans,regular season
209,209,New Orleans Pelicans,J.J. Redick,Dallas Mavericks,L,10/25/2019,21:35,1,3,0.33299999999999996,1,2,0.5,0,0,,0,0,0,2,0,0,2,0,3,-2,2020,309.0,SG,https://www.basketball-reference.com/players/r/redicjj01.html,4,6-3,200.0,New Orleans Pelicans,regular season
310,310,New Orleans Pelicans,Brandon Ingram,Houston Rockets,L,10/26/2019,38:41,14,22,0.636,4,7,0.5710000000000001,3,5,0.6,1,14,15,5,0,0,3,3,35,-1,2020,307.0,PF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190.0,New Orleans Pelicans,regular season
311,311,New Orleans Pelicans,Lonzo Ball,Houston Rockets,L,10/26/2019,35:39,6,13,0.462,4,9,0.444,2,2,1.0,0,2,2,10,3,0,0,2,18,0,2020,306.0,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190.0,New Orleans Pelicans,regular season
312,312,New Orleans Pelicans,Josh Hart,Houston Rockets,L,10/26/2019,33:41,8,17,0.47100000000000003,5,12,0.41700000000000004,2,2,1.0,0,3,3,1,2,1,1,1,23,-1,2020,304.0,SF,https://www.basketball-reference.com/players/h/hartjo01.html,3,6-5,215.0,New Orleans Pelicans,regular season
313,313,New Orleans Pelicans,J.J. Redick,Houston Rockets,L,10/26/2019,28:09,4,16,0.25,4,11,0.364,2,2,1.0,1,1,2,1,0,0,5,5,14,-2,2020,309.0,SG,https://www.basketball-reference.com/players/r/redicjj01.html,4,6-3,200.0,New Orleans Pelicans,regular season
314,314,New Orleans Pelicans,Derrick Favors,Houston Rockets,L,10/26/2019,18:25,2,5,0.4,0,1,0.0,0,0,,3,2,5,2,1,0,4,2,4,-9,2020,313.0,C,https://www.basketball-reference.com/players/f/favorde01.html,22,6-9,265.0,New Orleans Pelicans,regular season
455,455,New Orleans Pelicans,Josh Hart,Golden State Warriors,L,10/28/2019,31:13,4,9,0.444,2,5,0.4,2,2,1.0,1,3,4,1,1,1,2,3,12,-19,2020,304.0,SF,https://www.basketball-reference.com/players/h/hartjo01.html,3,6-5,215.0,New Orleans Pelicans,regular season
456,456,New Orleans Pelicans,Lonzo Ball,Golden State Warriors,L,10/28/2019,31:05,4,10,0.4,2,6,0.33299999999999996,2,2,1.0,1,3,4,9,2,0,2,1,12,-2,2020,306.0,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190.0,New Orleans Pelicans,regular season
457,457,New Orleans Pelicans,Brandon Ingram,Golden State Warriors,L,10/28/2019,31:04,10,23,0.435,4,9,0.444,3,5,0.6,3,7,10,6,2,1,2,2,27,-20,2020,307.0,PF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190.0,New Orleans Pelicans,regular season
458,458,New Orleans Pelicans,J.J. Redick,Golden State Warriors,L,10/28/2019,25:06,1,10,0.1,1,9,0.111,2,3,0.667,1,0,1,3,0,1,2,0,5,-19,2020,309.0,SG,https://www.basketball-reference.com/players/r/redicjj01.html,4,6-3,200.0,New Orleans Pelicans,regular season
459,459,New Orleans Pelicans,Jahlil Okafor,Golden State Warriors,L,10/28/2019,12:18,3,4,0.75,0,0,,0,0,,1,4,5,1,1,1,4,3,6,-5,2020,316.0,C,https://www.basketball-reference.com/players/o/okafoja01.html,8-9,6-10,270.0,New Orleans Pelicans,regular season
665,665,New Orleans Pelicans,Brandon Ingram,Denver Nuggets,W,10/31/2019,35:34,7,12,0.583,2,4,0.5,9,11,0.818,0,3,3,5,0,0,3,1,25,12,2020,307.0,PF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190.0,New Orleans Pelicans,regular season
666,666,New Orleans Pelicans,Jahlil Okafor,Denver Nuggets,W,10/31/2019,33:50,8,13,0.615,0,0,,10,13,0.769,0,5,5,1,2,1,3,3,26,19,2020,316.0,C,https://www.basketball-reference.com/players/o/okafoja01.html,8-9,6-10,270.0,New Orleans Pelicans,regular season
667,667,New Orleans Pelicans,Jrue Holiday,Denver Nuggets,W,10/31/2019,31:51,7,17,0.41200000000000003,5,9,0.556,0,0,,0,5,5,7,2,0,2,2,19,5,2020,308.0,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205.0,New Orleans Pelicans,regular season
668,668,New Orleans Pelicans,Lonzo Ball,Denver Nuggets,W,10/31/2019,31:39,4,7,0.5710000000000001,1,2,0.5,0,0,,0,3,3,8,1,1,3,2,9,17,2020,306.0,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190.0,New Orleans Pelicans,regular season
669,669,New Orleans Pelicans,Nicolo Melli,Denver Nuggets,W,10/31/2019,18:31,2,5,0.4,1,4,0.25,2,2,1.0,0,4,4,2,1,1,1,1,7,10,2020,310.0,C,https://www.basketball-reference.com/players/m/mellini01.html,20,6-9,236.0,New Orleans Pelicans,regular season
810,810,New Orleans Pelicans,Jrue Holiday,Oklahoma City Thunder,L,11/02/2019,34:51,6,15,0.4,2,5,0.4,2,2,1.0,0,3,3,6,1,0,2,4,16,-10,2020,308.0,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205.0,New Orleans Pelicans,regular season
811,811,New Orleans Pelicans,Lonzo Ball,Oklahoma City Thunder,L,11/02/2019,32:31,4,11,0.364,2,5,0.4,0,2,0.0,2,6,8,7,3,0,5,3,10,4,2020,306.0,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190.0,New Orleans Pelicans,regular season
812,812,New Orleans Pelicans,Jahlil Okafor,Oklahoma City Thunder,L,11/02/2019,29:12,7,14,0.5,0,0,,1,3,0.33299999999999996,6,6,12,3,0,2,4,5,15,2,2020,316.0,C,https://www.basketball-reference.com/players/o/okafoja01.html,8-9,6-10,270.0,New Orleans Pelicans,regular season
813,813,New Orleans Pelicans,Brandon Ingram,Oklahoma City Thunder,L,11/02/2019,13:10,3,5,0.6,0,0,,1,4,0.25,1,3,4,1,0,1,1,0,7,4,2020,307.0,PF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190.0,New Orleans Pelicans,regular season
814,814,New Orleans Pelicans,Nicolo Melli,Oklahoma City Thunder,L,11/02/2019,10:25,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,0,0,0,1,1,4,-12,2020,310.0,C,https://www.basketball-reference.com/players/m/mellini01.html,20,6-9,236.0,New Orleans Pelicans,regular season
960,960,New Orleans Pelicans,Brandon Ingram,Brooklyn Nets,L,11/04/2019,37:02,17,24,0.708,1,3,0.33299999999999996,5,5,1.0,0,5,5,5,2,0,4,5,40,-10,2020,307.0,PF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190.0,New Orleans Pelicans,regular season
