,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
110,110,Oklahoma City Thunder,Dennis Schroder,Utah Jazz,L,10/23/2019,30:40,1,8,0.125,1,3,0.33299999999999996,0,0,,1,5,6,4,0,0,2,2,3,-3.0,2020,341.0,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172.0,Oklahoma City Thunder,regular season
111,111,Oklahoma City Thunder,Hamidou Diallo,Utah Jazz,L,10/23/2019,23:00,5,8,0.625,0,1,0.0,2,4,0.5,1,2,3,0,1,0,3,3,12,-1.0,2020,349.0,SF,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202.0,Oklahoma City Thunder,regular season
112,112,Oklahoma City Thunder,Darius Bazley,Utah Jazz,L,10/23/2019,19:15,0,3,0.0,0,1,0.0,0,0,,0,3,3,0,0,1,1,2,0,-6.0,2020,345.0,PF,https://www.basketball-reference.com/players/b/bazleda01.html,7,6-8,208.0,Oklahoma City Thunder,regular season
113,113,Oklahoma City Thunder,Mike Muscala,Utah Jazz,L,10/23/2019,15:36,0,4,0.0,0,3,0.0,4,4,1.0,0,4,4,2,0,2,1,2,4,1.0,2020,348.0,C,https://www.basketball-reference.com/players/m/muscami01.html,33,6-10,240.0,Oklahoma City Thunder,regular season
114,114,Oklahoma City Thunder,Nerlens Noel,Utah Jazz,L,10/23/2019,4:42,1,1,1.0,0,0,,0,0,,0,2,2,0,0,1,0,0,2,-5.0,2020,344.0,C,https://www.basketball-reference.com/players/n/noelne01.html,9,6-10,220.0,Oklahoma City Thunder,regular season
247,247,Oklahoma City Thunder,Dennis Schroder,Washington Wizards,L,10/25/2019,25:09,4,14,0.28600000000000003,0,3,0.0,1,2,0.5,0,4,4,3,1,1,2,2,9,-13.0,2020,341.0,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172.0,Oklahoma City Thunder,regular season
248,248,Oklahoma City Thunder,Hamidou Diallo,Washington Wizards,L,10/25/2019,18:00,3,7,0.429,0,1,0.0,1,1,1.0,1,4,5,0,1,0,5,3,7,-3.0,2020,349.0,SF,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202.0,Oklahoma City Thunder,regular season
249,249,Oklahoma City Thunder,Darius Bazley,Washington Wizards,L,10/25/2019,15:04,2,3,0.667,0,0,,1,2,0.5,0,2,2,0,1,0,0,0,5,-8.0,2020,345.0,PF,https://www.basketball-reference.com/players/b/bazleda01.html,7,6-8,208.0,Oklahoma City Thunder,regular season
250,250,Oklahoma City Thunder,Abdel Nader,Washington Wizards,L,10/25/2019,11:56,1,4,0.25,0,2,0.0,0,0,,0,1,1,0,0,0,1,1,2,-11.0,2020,347.0,SF,https://www.basketball-reference.com/players/n/naderab01.html,11,6-5,225.0,Oklahoma City Thunder,regular season
251,251,Oklahoma City Thunder,Mike Muscala,Washington Wizards,L,10/25/2019,11:37,1,4,0.25,1,4,0.25,0,0,,0,3,3,0,0,0,0,2,3,-1.0,2020,348.0,C,https://www.basketball-reference.com/players/m/muscami01.html,33,6-10,240.0,Oklahoma City Thunder,regular season
252,252,Oklahoma City Thunder,Nerlens Noel,Washington Wizards,L,10/25/2019,7:13,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-9.0,2020,344.0,C,https://www.basketball-reference.com/players/n/noelne01.html,9,6-10,220.0,Oklahoma City Thunder,regular season
253,253,Oklahoma City Thunder,Deonte Burton,Washington Wizards,L,10/25/2019,3:58,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-6.0,2020,350.0,SG,https://www.basketball-reference.com/players/b/burtode02.html,30,6-4,240.0,Oklahoma City Thunder,regular season
426,426,Oklahoma City Thunder,Darius Bazley,Golden State Warriors,W,10/27/2019,26:19,2,3,0.667,1,2,0.5,0,0,,0,7,7,2,0,0,4,1,5,6.0,2020,345.0,PF,https://www.basketball-reference.com/players/b/bazleda01.html,7,6-8,208.0,Oklahoma City Thunder,regular season
427,427,Oklahoma City Thunder,Dennis Schroder,Golden State Warriors,W,10/27/2019,25:20,9,12,0.75,1,2,0.5,3,3,1.0,1,7,8,6,4,0,4,4,22,27.0,2020,341.0,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172.0,Oklahoma City Thunder,regular season
428,428,Oklahoma City Thunder,Nerlens Noel,Golden State Warriors,W,10/27/2019,14:51,3,4,0.75,0,0,,0,0,,2,2,4,2,1,2,1,2,6,9.0,2020,344.0,C,https://www.basketball-reference.com/players/n/noelne01.html,9,6-10,220.0,Oklahoma City Thunder,regular season
429,429,Oklahoma City Thunder,Hamidou Diallo,Golden State Warriors,W,10/27/2019,12:41,3,5,0.6,1,2,0.5,1,2,0.5,0,1,1,0,1,0,1,3,8,7.0,2020,349.0,SF,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202.0,Oklahoma City Thunder,regular season
430,430,Oklahoma City Thunder,Abdel Nader,Golden State Warriors,W,10/27/2019,12:28,1,3,0.33299999999999996,1,2,0.5,0,0,,0,2,2,1,0,0,2,3,3,-6.0,2020,347.0,SF,https://www.basketball-reference.com/players/n/naderab01.html,11,6-5,225.0,Oklahoma City Thunder,regular season
431,431,Oklahoma City Thunder,Deonte Burton,Golden State Warriors,W,10/27/2019,8:36,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,1,0,2,1,3,-12.0,2020,350.0,SG,https://www.basketball-reference.com/players/b/burtode02.html,30,6-4,240.0,Oklahoma City Thunder,regular season
432,432,Oklahoma City Thunder,Mike Muscala,Golden State Warriors,W,10/27/2019,7:45,1,3,0.33299999999999996,0,2,0.0,0,0,,0,2,2,0,0,0,0,2,2,-7.0,2020,348.0,C,https://www.basketball-reference.com/players/m/muscami01.html,33,6-10,240.0,Oklahoma City Thunder,regular season
433,433,Oklahoma City Thunder,Justin Patton,Golden State Warriors,W,10/27/2019,6:21,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,3,0,-10.0,2020,153.0,C,https://www.basketball-reference.com/players/p/pattoju01.html,,6-11,241.0,Detroit Pistons,regular season
545,545,Oklahoma City Thunder,Dennis Schroder,Houston Rockets,L,10/28/2019,33:51,8,13,0.615,4,8,0.5,2,3,0.667,2,3,5,7,1,0,3,5,22,12.0,2020,341.0,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172.0,Oklahoma City Thunder,regular season
546,546,Oklahoma City Thunder,Nerlens Noel,Houston Rockets,L,10/28/2019,21:10,5,6,0.833,0,0,,5,6,0.833,1,2,3,0,2,0,0,3,15,1.0,2020,344.0,C,https://www.basketball-reference.com/players/n/noelne01.html,9,6-10,220.0,Oklahoma City Thunder,regular season
547,547,Oklahoma City Thunder,Hamidou Diallo,Houston Rockets,L,10/28/2019,17:49,4,11,0.364,0,2,0.0,1,2,0.5,5,1,6,1,0,1,0,3,9,0.0,2020,349.0,SF,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202.0,Oklahoma City Thunder,regular season
548,548,Oklahoma City Thunder,Darius Bazley,Houston Rockets,L,10/28/2019,11:39,1,2,0.5,1,2,0.5,0,0,,0,4,4,1,0,0,1,1,3,-1.0,2020,345.0,PF,https://www.basketball-reference.com/players/b/bazleda01.html,7,6-8,208.0,Oklahoma City Thunder,regular season
549,549,Oklahoma City Thunder,Abdel Nader,Houston Rockets,L,10/28/2019,5:18,1,2,0.5,1,2,0.5,0,0,,1,0,1,0,0,0,0,0,3,1.0,2020,347.0,SF,https://www.basketball-reference.com/players/n/naderab01.html,11,6-5,225.0,Oklahoma City Thunder,regular season
550,550,Oklahoma City Thunder,Deonte Burton,Houston Rockets,L,10/28/2019,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.0,2020,350.0,SG,https://www.basketball-reference.com/players/b/burtode02.html,30,6-4,240.0,Oklahoma City Thunder,regular season
706,706,Oklahoma City Thunder,Dennis Schroder,Portland Trail Blazers,L,10/30/2019,27:54,6,17,0.353,0,4,0.0,5,6,0.833,1,3,4,2,1,0,3,5,17,6.0,2020,341.0,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172.0,Oklahoma City Thunder,regular season
707,707,Oklahoma City Thunder,Hamidou Diallo,Portland Trail Blazers,L,10/30/2019,19:57,5,9,0.556,0,0,,2,4,0.5,4,6,10,1,2,0,0,1,12,-1.0,2020,349.0,SF,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202.0,Oklahoma City Thunder,regular season
