,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
44,44,Orlando Magic,Al-Farouq Aminu,Cleveland Cavaliers,W,10/23/2019,29:06,1,5,0.2,1,2,0.5,2,4,0.5,2,5,7,0,1,0,1,2,5,14.0,2020,370.0,PF,https://www.basketball-reference.com/players/a/aminual01.html,2,6-8,220.0,Orlando Magic,regular season
45,45,Orlando Magic,Markelle Fultz,Cleveland Cavaliers,W,10/23/2019,23:26,6,12,0.5,0,3,0.0,0,0,,0,0,0,6,2,0,3,1,12,3.0,2020,356.0,PG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209.0,Orlando Magic,regular season
46,46,Orlando Magic,Terrence Ross,Cleveland Cavaliers,W,10/23/2019,19:28,4,13,0.308,2,7,0.28600000000000003,0,0,,0,4,4,0,2,0,1,1,10,17.0,2020,357.0,SG,https://www.basketball-reference.com/players/r/rosste01.html,8-31,6-6,206.0,Orlando Magic,regular season
47,47,Orlando Magic,Michael Carter-Williams,Cleveland Cavaliers,W,10/23/2019,14:28,1,2,0.5,0,1,0.0,0,0,,1,1,2,0,1,0,1,2,2,5.0,2020,365.0,SG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190.0,Orlando Magic,regular season
48,48,Orlando Magic,Mohamed Bamba,Cleveland Cavaliers,W,10/23/2019,13:47,3,5,0.6,1,3,0.33299999999999996,0,0,,1,6,7,1,1,0,0,1,7,7.0,2020,,,,,,,,regular season
317,317,Orlando Magic,Markelle Fultz,Atlanta Hawks,L,10/26/2019,24:19,4,11,0.364,2,6,0.33299999999999996,2,2,1.0,2,1,3,3,0,0,0,4,12,10.0,2020,356.0,PG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209.0,Orlando Magic,regular season
318,318,Orlando Magic,Terrence Ross,Atlanta Hawks,L,10/26/2019,23:40,1,8,0.125,1,6,0.16699999999999998,5,5,1.0,0,4,4,1,0,0,1,1,8,6.0,2020,357.0,SG,https://www.basketball-reference.com/players/r/rosste01.html,8-31,6-6,206.0,Orlando Magic,regular season
319,319,Orlando Magic,Al-Farouq Aminu,Atlanta Hawks,L,10/26/2019,21:26,0,3,0.0,0,0,,1,2,0.5,2,2,4,0,0,0,0,2,1,10.0,2020,370.0,PF,https://www.basketball-reference.com/players/a/aminual01.html,2,6-8,220.0,Orlando Magic,regular season
320,320,Orlando Magic,Michael Carter-Williams,Atlanta Hawks,L,10/26/2019,16:41,2,6,0.33299999999999996,1,2,0.5,0,0,,1,3,4,1,3,1,1,3,5,-4.0,2020,365.0,SG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190.0,Orlando Magic,regular season
321,321,Orlando Magic,Mohamed Bamba,Atlanta Hawks,L,10/26/2019,13:38,1,3,0.33299999999999996,0,1,0.0,0,0,,1,4,5,0,0,1,1,0,2,2.0,2020,,,,,,,,regular season
511,511,Orlando Magic,Markelle Fultz,Toronto Raptors,L,10/28/2019,26:40,6,11,0.545,1,4,0.25,0,0,,1,1,2,5,0,0,3,3,13,0.0,2020,356.0,PG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209.0,Orlando Magic,regular season
512,512,Orlando Magic,Terrence Ross,Toronto Raptors,L,10/28/2019,23:45,4,11,0.364,1,8,0.125,2,3,0.667,0,4,4,1,1,0,3,0,11,-6.0,2020,357.0,SG,https://www.basketball-reference.com/players/r/rosste01.html,8-31,6-6,206.0,Orlando Magic,regular season
513,513,Orlando Magic,Al-Farouq Aminu,Toronto Raptors,L,10/28/2019,20:47,3,4,0.75,1,2,0.5,0,0,,2,3,5,3,4,2,1,2,7,0.0,2020,370.0,PF,https://www.basketball-reference.com/players/a/aminual01.html,2,6-8,220.0,Orlando Magic,regular season
514,514,Orlando Magic,Michael Carter-Williams,Toronto Raptors,L,10/28/2019,13:21,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,1,1,0,5.0,2020,365.0,SG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190.0,Orlando Magic,regular season
515,515,Orlando Magic,Mohamed Bamba,Toronto Raptors,L,10/28/2019,13:11,2,7,0.28600000000000003,1,2,0.5,0,0,,0,2,2,1,0,0,1,3,5,1.0,2020,,,,,,,,regular season
651,651,Orlando Magic,Al-Farouq Aminu,New York Knicks,W,10/30/2019,25:47,3,9,0.33299999999999996,2,3,0.667,1,2,0.5,2,6,8,1,0,1,1,2,9,-9.0,2020,370.0,PF,https://www.basketball-reference.com/players/a/aminual01.html,2,6-8,220.0,Orlando Magic,regular season
652,652,Orlando Magic,Terrence Ross,New York Knicks,W,10/30/2019,22:19,1,10,0.1,0,6,0.0,0,0,,1,0,1,2,0,0,0,4,2,-13.0,2020,357.0,SG,https://www.basketball-reference.com/players/r/rosste01.html,8-31,6-6,206.0,Orlando Magic,regular season
653,653,Orlando Magic,Markelle Fultz,New York Knicks,W,10/30/2019,20:08,3,6,0.5,0,1,0.0,1,2,0.5,0,1,1,1,1,0,2,3,7,-5.0,2020,356.0,PG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209.0,Orlando Magic,regular season
654,654,Orlando Magic,Mohamed Bamba,New York Knicks,W,10/30/2019,14:09,4,7,0.5710000000000001,1,2,0.5,0,0,,1,2,3,0,0,0,0,1,9,-12.0,2020,,,,,,,,regular season
655,655,Orlando Magic,Michael Carter-Williams,New York Knicks,W,10/30/2019,7:55,1,2,0.5,1,1,1.0,0,0,,2,2,4,1,1,0,0,1,3,-10.0,2020,365.0,SG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190.0,Orlando Magic,regular season
866,866,Orlando Magic,Khem Birch,Milwaukee Bucks,L,11/01/2019,22:55,0,3,0.0,0,1,0.0,1,4,0.25,2,3,5,0,1,0,0,1,1,-29.0,2020,364.0,C,https://www.basketball-reference.com/players/b/birchkh01.html,24,6-9,233.0,Orlando Magic,regular season
