,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
45,45,Orlando Magic,Nikola Vucevic,Cleveland Cavaliers,W,10/23/2019,34:13,8,16,0.5,1,5,0.2,4,5,0.8,1,9,10,3,1,0,1,0,21,2,2020,359.0,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260.0,Orlando Magic,regular season
46,46,Orlando Magic,Aaron Gordon,Cleveland Cavaliers,W,10/23/2019,28:53,2,8,0.25,1,2,0.5,4,6,0.667,0,2,2,3,2,1,1,4,9,1,2020,360.0,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235.0,Orlando Magic,regular season
47,47,Orlando Magic,Evan Fournier,Cleveland Cavaliers,W,10/23/2019,28:06,7,13,0.5379999999999999,2,4,0.5,0,2,0.0,1,2,3,4,1,1,3,3,16,-10,2020,358.0,SG,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205.0,Orlando Magic,regular season
48,48,Orlando Magic,D.J. Augustin,Cleveland Cavaliers,W,10/23/2019,24:34,4,9,0.444,1,2,0.5,0,0,,0,3,3,5,0,0,0,0,9,6,2020,362.0,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183.0,Orlando Magic,regular season
49,49,Orlando Magic,Jonathan Isaac,Cleveland Cavaliers,W,10/23/2019,23:59,1,3,0.33299999999999996,0,1,0.0,1,2,0.5,1,7,8,2,1,2,2,4,3,0,2020,366.0,SF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230.0,Orlando Magic,regular season
270,270,Orlando Magic,Nikola Vucevic,Atlanta Hawks,L,10/26/2019,31:11,7,19,0.368,0,4,0.0,2,2,1.0,4,6,10,1,1,1,2,3,16,-8,2020,359.0,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260.0,Orlando Magic,regular season
271,271,Orlando Magic,Aaron Gordon,Atlanta Hawks,L,10/26/2019,30:26,4,10,0.4,0,2,0.0,2,2,1.0,4,3,7,3,2,0,1,0,10,-11,2020,360.0,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235.0,Orlando Magic,regular season
272,272,Orlando Magic,Evan Fournier,Atlanta Hawks,L,10/26/2019,29:42,8,18,0.444,1,6,0.16699999999999998,6,7,0.857,0,3,3,2,1,0,2,2,23,-12,2020,358.0,SG,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205.0,Orlando Magic,regular season
273,273,Orlando Magic,Jonathan Isaac,Atlanta Hawks,L,10/26/2019,25:16,3,10,0.3,0,3,0.0,2,2,1.0,1,3,4,0,1,4,1,0,8,1,2020,366.0,SF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230.0,Orlando Magic,regular season
274,274,Orlando Magic,D.J. Augustin,Atlanta Hawks,L,10/26/2019,23:41,5,11,0.455,0,1,0.0,4,4,1.0,2,0,2,4,0,0,1,0,14,-14,2020,362.0,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183.0,Orlando Magic,regular season
430,430,Orlando Magic,Jonathan Isaac,Toronto Raptors,L,10/28/2019,33:03,7,10,0.7,5,7,0.7140000000000001,5,5,1.0,0,7,7,0,3,2,1,3,24,-11,2020,366.0,SF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230.0,Orlando Magic,regular season
431,431,Orlando Magic,Aaron Gordon,Toronto Raptors,L,10/28/2019,29:40,1,6,0.16699999999999998,0,2,0.0,0,0,,1,4,5,5,0,2,3,3,2,-17,2020,360.0,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235.0,Orlando Magic,regular season
432,432,Orlando Magic,Evan Fournier,Toronto Raptors,L,10/28/2019,28:52,7,15,0.467,1,7,0.14300000000000002,3,3,1.0,0,4,4,2,0,0,2,2,18,-11,2020,358.0,SG,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205.0,Orlando Magic,regular season
433,433,Orlando Magic,D.J. Augustin,Toronto Raptors,L,10/28/2019,25:41,3,9,0.33299999999999996,1,3,0.33299999999999996,3,5,0.6,0,3,3,1,1,0,1,2,10,0,2020,362.0,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183.0,Orlando Magic,regular season
434,434,Orlando Magic,Nikola Vucevic,Toronto Raptors,L,10/28/2019,25:00,1,13,0.077,1,3,0.33299999999999996,2,2,1.0,3,9,12,2,0,0,0,1,5,-6,2020,359.0,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260.0,Orlando Magic,regular season
555,555,Orlando Magic,Nikola Vucevic,New York Knicks,W,10/30/2019,33:51,8,17,0.47100000000000003,2,4,0.5,3,4,0.75,4,9,13,4,1,1,1,2,21,24,2020,359.0,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260.0,Orlando Magic,regular season
556,556,Orlando Magic,Jonathan Isaac,New York Knicks,W,10/30/2019,31:40,4,6,0.667,0,1,0.0,2,2,1.0,1,6,7,4,0,3,2,0,10,28,2020,366.0,SF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230.0,Orlando Magic,regular season
557,557,Orlando Magic,Aaron Gordon,New York Knicks,W,10/30/2019,28:10,6,13,0.462,3,6,0.5,0,0,,3,8,11,1,1,1,0,3,15,17,2020,360.0,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235.0,Orlando Magic,regular season
558,558,Orlando Magic,Evan Fournier,New York Knicks,W,10/30/2019,28:09,5,12,0.41700000000000004,2,4,0.5,2,2,1.0,0,3,3,3,1,0,1,0,14,23,2020,358.0,SG,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205.0,Orlando Magic,regular season
559,559,Orlando Magic,D.J. Augustin,New York Knicks,W,10/30/2019,27:52,2,6,0.33299999999999996,1,4,0.25,0,0,,0,1,1,7,0,0,0,1,5,17,2020,362.0,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183.0,Orlando Magic,regular season
755,755,Orlando Magic,Jonathan Isaac,Milwaukee Bucks,L,11/01/2019,28:34,3,11,0.273,3,7,0.429,2,2,1.0,1,4,5,1,2,1,0,1,11,-19,2020,366.0,SF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230.0,Orlando Magic,regular season
756,756,Orlando Magic,Aaron Gordon,Milwaukee Bucks,L,11/01/2019,28:15,3,10,0.3,2,5,0.4,3,5,0.6,1,3,4,3,0,0,1,3,11,-3,2020,360.0,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235.0,Orlando Magic,regular season
757,757,Orlando Magic,Nikola Vucevic,Milwaukee Bucks,L,11/01/2019,25:05,6,12,0.5,0,3,0.0,2,2,1.0,1,6,7,2,2,1,2,2,14,-3,2020,359.0,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260.0,Orlando Magic,regular season
758,758,Orlando Magic,D.J. Augustin,Milwaukee Bucks,L,11/01/2019,23:05,2,5,0.4,0,1,0.0,0,0,,0,0,0,6,0,0,1,0,4,-17,2020,362.0,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183.0,Orlando Magic,regular season
759,759,Orlando Magic,Evan Fournier,Milwaukee Bucks,L,11/01/2019,21:32,7,12,0.583,4,8,0.5,1,1,1.0,0,4,4,1,1,0,4,2,19,-4,2020,358.0,SG,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205.0,Orlando Magic,regular season
835,835,Orlando Magic,Jonathan Isaac,Denver Nuggets,L,11/02/2019,35:42,3,13,0.231,1,5,0.2,0,0,,1,4,5,2,2,3,2,4,7,2,2020,366.0,SF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230.0,Orlando Magic,regular season
836,836,Orlando Magic,Nikola Vucevic,Denver Nuggets,L,11/02/2019,33:47,10,16,0.625,1,4,0.25,3,3,1.0,2,5,7,2,0,1,2,4,24,-3,2020,359.0,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260.0,Orlando Magic,regular season
837,837,Orlando Magic,Aaron Gordon,Denver Nuggets,L,11/02/2019,32:18,9,15,0.6,1,4,0.25,2,5,0.4,2,7,9,3,0,0,0,1,21,-14,2020,360.0,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235.0,Orlando Magic,regular season
838,838,Orlando Magic,Evan Fournier,Denver Nuggets,L,11/02/2019,27:05,5,12,0.41700000000000004,1,5,0.2,0,0,,0,2,2,5,0,0,2,1,11,-2,2020,358.0,SG,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205.0,Orlando Magic,regular season
839,839,Orlando Magic,Markelle Fultz,Denver Nuggets,L,11/02/2019,24:55,4,7,0.5710000000000001,0,1,0.0,1,1,1.0,0,1,1,2,3,0,1,2,9,0,2020,356.0,PG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209.0,Orlando Magic,regular season
1050,1050,Orlando Magic,Nikola Vucevic,Oklahoma City Thunder,L,11/05/2019,33:39,4,15,0.267,0,3,0.0,2,2,1.0,3,9,12,2,0,2,1,1,10,-16,2020,359.0,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260.0,Orlando Magic,regular season
