,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
75,75,Philadelphia 76ers,Tobias Harris,Boston Celtics,W,10/23/2019,37:37,6,11,0.545,2,5,0.4,1,2,0.5,1,14,15,4,2,0,4,3,15,16,2020,373.0,PF,https://www.basketball-reference.com/players/h/harrito02.html,12,6-8,226.0,Philadelphia 76ers,regular season
76,76,Philadelphia 76ers,Ben Simmons,Boston Celtics,W,10/23/2019,34:59,11,16,0.688,0,0,,2,5,0.4,2,6,8,9,0,0,4,4,24,15,2020,378.0,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240.0,Philadelphia 76ers,regular season
77,77,Philadelphia 76ers,Josh Richardson,Boston Celtics,W,10/23/2019,33:06,4,12,0.33299999999999996,0,4,0.0,9,9,1.0,2,4,6,2,1,2,2,4,17,22,2020,379.0,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200.0,Philadelphia 76ers,regular season
78,78,Philadelphia 76ers,Al Horford,Boston Celtics,W,10/23/2019,31:11,5,13,0.385,1,6,0.16699999999999998,5,6,0.833,1,1,2,3,1,0,1,5,16,6,2020,376.0,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240.0,Philadelphia 76ers,regular season
79,79,Philadelphia 76ers,Joel Embiid,Boston Celtics,W,10/23/2019,23:15,5,14,0.35700000000000004,1,4,0.25,4,8,0.5,4,9,13,3,0,3,0,5,15,16,2020,381.0,C,https://www.basketball-reference.com/players/e/embiijo01.html,21,7-0,280.0,Philadelphia 76ers,regular season
260,260,Philadelphia 76ers,Josh Richardson,Detroit Pistons,W,10/26/2019,37:03,4,12,0.33299999999999996,0,4,0.0,2,2,1.0,0,1,1,6,2,0,3,2,10,10,2020,379.0,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200.0,Philadelphia 76ers,regular season
261,261,Philadelphia 76ers,Tobias Harris,Detroit Pistons,W,10/26/2019,35:24,10,15,0.667,4,6,0.667,5,6,0.833,0,7,7,1,2,0,3,5,29,-2,2020,373.0,PF,https://www.basketball-reference.com/players/h/harrito02.html,12,6-8,226.0,Philadelphia 76ers,regular season
262,262,Philadelphia 76ers,Ben Simmons,Detroit Pistons,W,10/26/2019,35:14,5,13,0.385,0,0,,3,7,0.429,0,4,4,10,7,0,5,4,13,7,2020,378.0,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240.0,Philadelphia 76ers,regular season
263,263,Philadelphia 76ers,Al Horford,Detroit Pistons,W,10/26/2019,34:03,9,18,0.5,2,7,0.28600000000000003,3,5,0.6,0,9,9,5,1,0,0,4,23,9,2020,376.0,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240.0,Philadelphia 76ers,regular season
264,264,Philadelphia 76ers,Matisse Thybulle,Detroit Pistons,W,10/26/2019,23:43,0,3,0.0,0,2,0.0,0,0,,1,1,2,2,2,0,4,0,0,3,2020,377.0,SG,https://www.basketball-reference.com/players/t/thybuma01.html,22,6-5,201.0,Philadelphia 76ers,regular season
420,420,Philadelphia 76ers,Tobias Harris,Atlanta Hawks,W,10/28/2019,38:51,5,16,0.313,1,9,0.111,2,3,0.667,0,5,5,5,1,0,1,1,13,-6,2020,373.0,PF,https://www.basketball-reference.com/players/h/harrito02.html,12,6-8,226.0,Philadelphia 76ers,regular season
421,421,Philadelphia 76ers,Ben Simmons,Atlanta Hawks,W,10/28/2019,37:49,6,11,0.545,0,0,,1,2,0.5,1,5,6,6,1,1,4,4,13,-4,2020,378.0,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240.0,Philadelphia 76ers,regular season
422,422,Philadelphia 76ers,Joel Embiid,Atlanta Hawks,W,10/28/2019,32:43,12,19,0.632,2,6,0.33299999999999996,10,10,1.0,3,10,13,5,3,1,7,5,36,9,2020,381.0,C,https://www.basketball-reference.com/players/e/embiijo01.html,21,7-0,280.0,Philadelphia 76ers,regular season
423,423,Philadelphia 76ers,Al Horford,Atlanta Hawks,W,10/28/2019,32:01,1,4,0.25,1,2,0.5,2,2,1.0,4,5,9,2,1,4,1,4,5,4,2020,376.0,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240.0,Philadelphia 76ers,regular season
424,424,Philadelphia 76ers,Josh Richardson,Atlanta Hawks,W,10/28/2019,30:49,6,14,0.429,2,5,0.4,0,0,,1,4,5,3,0,3,3,5,14,12,2020,379.0,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200.0,Philadelphia 76ers,regular season
545,545,Philadelphia 76ers,Tobias Harris,Minnesota Timberwolves,W,10/30/2019,33:40,7,15,0.467,1,3,0.33299999999999996,3,3,1.0,1,8,9,2,1,0,3,5,18,18,2020,373.0,PF,https://www.basketball-reference.com/players/h/harrito02.html,12,6-8,226.0,Philadelphia 76ers,regular season
546,546,Philadelphia 76ers,Al Horford,Minnesota Timberwolves,W,10/30/2019,33:40,5,12,0.41700000000000004,1,3,0.33299999999999996,1,2,0.5,5,11,16,4,0,0,1,4,12,26,2020,376.0,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240.0,Philadelphia 76ers,regular season
547,547,Philadelphia 76ers,Ben Simmons,Minnesota Timberwolves,W,10/30/2019,32:43,7,13,0.5379999999999999,0,0,,2,4,0.5,1,2,3,7,3,2,6,3,16,19,2020,378.0,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240.0,Philadelphia 76ers,regular season
548,548,Philadelphia 76ers,Josh Richardson,Minnesota Timberwolves,W,10/30/2019,31:31,4,10,0.4,2,4,0.5,2,4,0.5,1,3,4,1,4,0,3,2,12,11,2020,379.0,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200.0,Philadelphia 76ers,regular season
549,549,Philadelphia 76ers,Joel Embiid,Minnesota Timberwolves,W,10/30/2019,20:02,7,14,0.5,1,1,1.0,4,4,1.0,1,4,5,2,1,1,1,2,19,7,2020,381.0,C,https://www.basketball-reference.com/players/e/embiijo01.html,21,7-0,280.0,Philadelphia 76ers,regular season
880,880,Philadelphia 76ers,Ben Simmons,Portland Trail Blazers,W,11/02/2019,36:26,7,16,0.43799999999999994,0,0,,4,5,0.8,2,9,11,8,2,0,3,3,18,-10,2020,378.0,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240.0,Philadelphia 76ers,regular season
881,881,Philadelphia 76ers,Tobias Harris,Portland Trail Blazers,W,11/02/2019,35:56,10,15,0.667,1,2,0.5,2,2,1.0,1,6,7,3,1,2,1,4,23,-4,2020,373.0,PF,https://www.basketball-reference.com/players/h/harrito02.html,12,6-8,226.0,Philadelphia 76ers,regular season
882,882,Philadelphia 76ers,Josh Richardson,Portland Trail Blazers,W,11/02/2019,35:51,7,15,0.467,1,6,0.16699999999999998,2,2,1.0,1,3,4,6,1,1,5,3,17,5,2020,379.0,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200.0,Philadelphia 76ers,regular season
883,883,Philadelphia 76ers,Al Horford,Portland Trail Blazers,W,11/02/2019,30:28,12,24,0.5,1,4,0.25,0,0,,3,2,5,7,1,2,1,3,25,8,2020,376.0,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240.0,Philadelphia 76ers,regular season
884,884,Philadelphia 76ers,Matisse Thybulle,Portland Trail Blazers,W,11/02/2019,16:45,1,5,0.2,1,4,0.25,0,0,,0,0,0,1,2,1,0,2,3,-13,2020,377.0,SG,https://www.basketball-reference.com/players/t/thybuma01.html,22,6-5,201.0,Philadelphia 76ers,regular season
990,990,Philadelphia 76ers,Josh Richardson,Phoenix Suns,L,11/04/2019,38:25,3,11,0.273,1,4,0.25,1,2,0.5,0,3,3,5,0,0,4,4,8,-1,2020,379.0,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200.0,Philadelphia 76ers,regular season
991,991,Philadelphia 76ers,Tobias Harris,Phoenix Suns,L,11/04/2019,37:09,10,20,0.5,1,6,0.16699999999999998,3,5,0.6,0,10,10,2,2,0,2,6,24,-9,2020,373.0,PF,https://www.basketball-reference.com/players/h/harrito02.html,12,6-8,226.0,Philadelphia 76ers,regular season
992,992,Philadelphia 76ers,Ben Simmons,Phoenix Suns,L,11/04/2019,35:37,2,8,0.25,0,0,,2,2,1.0,0,5,5,6,7,0,4,3,6,-2,2020,378.0,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240.0,Philadelphia 76ers,regular season
