,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
138,138,Phoenix Suns,Mikal Bridges,Sacramento Kings,W,10/23/2019,23:12,1,4,0.25,0,2,0.0,3,4,0.75,0,3,3,1,3,0,0,2,5,19.0,2020,390.0,SF,https://www.basketball-reference.com/players/b/bridgmi01.html,25,6-6,209.0,Phoenix Suns,regular season
139,139,Phoenix Suns,Frank Kaminsky,Sacramento Kings,W,10/23/2019,19:24,4,7,0.5710000000000001,0,3,0.0,1,1,1.0,2,2,4,2,0,0,0,0,9,2.0,2020,400.0,C,https://www.basketball-reference.com/players/k/kaminfr01.html,8,7-0,240.0,Phoenix Suns,regular season
140,140,Phoenix Suns,Jevon Carter,Sacramento Kings,W,10/23/2019,18:19,4,7,0.5710000000000001,3,5,0.6,0,0,,0,1,1,3,0,1,1,5,11,14.0,2020,394.0,PG,https://www.basketball-reference.com/players/c/carteje01.html,4,6-1,200.0,Phoenix Suns,regular season
141,141,Phoenix Suns,Tyler Johnson,Sacramento Kings,W,10/23/2019,16:38,4,8,0.5,2,4,0.5,0,0,,0,2,2,2,2,1,2,1,10,10.0,2020,49.0,SG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186.0,Brooklyn Nets,regular season
142,142,Phoenix Suns,Aron Baynes,Sacramento Kings,W,10/23/2019,9:47,2,3,0.667,1,1,1.0,0,0,,0,2,2,1,0,0,2,4,5,7.0,2020,399.0,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260.0,Phoenix Suns,regular season
143,143,Phoenix Suns,Elie Okobo,Sacramento Kings,W,10/23/2019,1:59,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,-1.0,2020,397.0,PG,https://www.basketball-reference.com/players/o/okoboel01.html,2,6-3,190.0,Phoenix Suns,regular season
144,144,Phoenix Suns,Cheick Diallo,Sacramento Kings,W,10/23/2019,1:59,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,2,2,-1.0,2020,398.0,C,https://www.basketball-reference.com/players/d/diallch01.html,14,6-8,219.0,Phoenix Suns,regular season
145,145,Phoenix Suns,Jared Harper,Sacramento Kings,W,10/23/2019,1:59,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.0,2020,338.0,G,https://www.basketball-reference.com/players/h/harpeja01.html,,5-11,175.0,New York Knicks,regular season
254,254,Phoenix Suns,Frank Kaminsky,Denver Nuggets,L,10/25/2019,32:39,4,12,0.33299999999999996,0,3,0.0,11,11,1.0,1,10,11,1,0,0,2,4,19,5.0,2020,400.0,C,https://www.basketball-reference.com/players/k/kaminfr01.html,8,7-0,240.0,Phoenix Suns,regular season
255,255,Phoenix Suns,Tyler Johnson,Denver Nuggets,L,10/25/2019,25:26,4,7,0.5710000000000001,1,2,0.5,0,0,,0,1,1,0,0,0,1,3,9,-4.0,2020,49.0,SG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186.0,Brooklyn Nets,regular season
256,256,Phoenix Suns,Jevon Carter,Denver Nuggets,L,10/25/2019,17:30,2,4,0.5,2,3,0.667,0,0,,1,1,2,1,0,0,1,3,6,0.0,2020,394.0,PG,https://www.basketball-reference.com/players/c/carteje01.html,4,6-1,200.0,Phoenix Suns,regular season
257,257,Phoenix Suns,Mikal Bridges,Denver Nuggets,L,10/25/2019,12:34,1,2,0.5,0,0,,0,0,,0,4,4,0,0,0,0,0,2,6.0,2020,390.0,SF,https://www.basketball-reference.com/players/b/bridgmi01.html,25,6-6,209.0,Phoenix Suns,regular season
258,258,Phoenix Suns,Cheick Diallo,Denver Nuggets,L,10/25/2019,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,3.0,2020,398.0,C,https://www.basketball-reference.com/players/d/diallch01.html,14,6-8,219.0,Phoenix Suns,regular season
415,415,Phoenix Suns,Frank Kaminsky,Los Angeles Clippers,W,10/26/2019,29:27,7,13,0.5379999999999999,3,7,0.429,1,2,0.5,0,8,8,6,0,0,3,4,18,15.0,2020,400.0,C,https://www.basketball-reference.com/players/k/kaminfr01.html,8,7-0,240.0,Phoenix Suns,regular season
416,416,Phoenix Suns,Mikal Bridges,Los Angeles Clippers,W,10/26/2019,25:33,3,5,0.6,1,3,0.33299999999999996,0,1,0.0,1,3,4,0,0,0,1,4,7,-2.0,2020,390.0,SF,https://www.basketball-reference.com/players/b/bridgmi01.html,25,6-6,209.0,Phoenix Suns,regular season
417,417,Phoenix Suns,Tyler Johnson,Los Angeles Clippers,W,10/26/2019,21:05,3,8,0.375,2,6,0.33299999999999996,2,2,1.0,1,1,2,4,0,0,0,4,10,-5.0,2020,49.0,SG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186.0,Brooklyn Nets,regular season
418,418,Phoenix Suns,Cameron Johnson,Los Angeles Clippers,W,10/26/2019,8:39,1,3,0.33299999999999996,1,3,0.33299999999999996,1,2,0.5,1,0,1,0,1,0,1,2,4,-9.0,2020,395.0,PF,https://www.basketball-reference.com/players/j/johnsca02.html,23,6-8,210.0,Phoenix Suns,regular season
419,419,Phoenix Suns,Elie Okobo,Los Angeles Clippers,W,10/26/2019,5:18,2,3,0.667,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,4,-6.0,2020,397.0,PG,https://www.basketball-reference.com/players/o/okoboel01.html,2,6-3,190.0,Phoenix Suns,regular season
