,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
115,115,Portland Trail Blazers,Damian Lillard,Denver Nuggets,L,10/23/2019,37:49,10,21,0.47600000000000003,3,10,0.3,9,10,0.9,1,3,4,8,1,0,3,3,32,0,2020,409.0,PG,https://www.basketball-reference.com/players/l/lillada01.html,0,6-2,195.0,Portland Trail Blazers,regular season
116,116,Portland Trail Blazers,CJ McCollum,Denver Nuggets,L,10/23/2019,35:50,5,18,0.278,2,4,0.5,0,0,,2,1,3,3,1,0,5,3,12,-10,2020,406.0,SG,https://www.basketball-reference.com/players/m/mccolcj01.html,3,6-3,190.0,Portland Trail Blazers,regular season
117,117,Portland Trail Blazers,Rodney Hood,Denver Nuggets,L,10/23/2019,31:10,5,10,0.5,2,5,0.4,1,1,1.0,1,4,5,1,0,0,2,4,13,3,2020,415.0,SF,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208.0,Portland Trail Blazers,regular season
118,118,Portland Trail Blazers,Zach Collins,Denver Nuggets,L,10/23/2019,30:30,4,9,0.444,0,2,0.0,0,0,,1,4,5,0,0,2,2,3,8,2,2020,419.0,PF,https://www.basketball-reference.com/players/c/colliza01.html,33,6-11,250.0,Portland Trail Blazers,regular season
119,119,Portland Trail Blazers,Hassan Whiteside,Denver Nuggets,L,10/23/2019,26:03,6,7,0.857,0,0,,4,4,1.0,5,14,19,0,0,2,4,4,16,0,2020,408.0,C,https://www.basketball-reference.com/players/w/whiteha01.html,21,7-0,265.0,Portland Trail Blazers,regular season
230,230,Portland Trail Blazers,Damian Lillard,Sacramento Kings,W,10/25/2019,34:02,12,20,0.6,3,7,0.429,8,8,1.0,0,5,5,5,3,0,3,4,35,23,2020,409.0,PG,https://www.basketball-reference.com/players/l/lillada01.html,0,6-2,195.0,Portland Trail Blazers,regular season
231,231,Portland Trail Blazers,CJ McCollum,Sacramento Kings,W,10/25/2019,33:44,8,18,0.444,1,4,0.25,2,2,1.0,0,2,2,3,1,0,2,2,19,5,2020,406.0,SG,https://www.basketball-reference.com/players/m/mccolcj01.html,3,6-3,190.0,Portland Trail Blazers,regular season
232,232,Portland Trail Blazers,Zach Collins,Sacramento Kings,W,10/25/2019,31:52,2,5,0.4,1,2,0.5,4,4,1.0,3,1,4,5,0,0,2,4,9,7,2020,419.0,PF,https://www.basketball-reference.com/players/c/colliza01.html,33,6-11,250.0,Portland Trail Blazers,regular season
233,233,Portland Trail Blazers,Rodney Hood,Sacramento Kings,W,10/25/2019,30:23,3,8,0.375,2,4,0.5,0,0,,0,4,4,1,1,1,0,1,8,9,2020,415.0,SF,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208.0,Portland Trail Blazers,regular season
234,234,Portland Trail Blazers,Hassan Whiteside,Sacramento Kings,W,10/25/2019,26:19,9,10,0.9,0,0,,4,6,0.667,2,7,9,3,1,1,2,2,22,23,2020,408.0,C,https://www.basketball-reference.com/players/w/whiteha01.html,21,7-0,265.0,Portland Trail Blazers,regular season
370,370,Portland Trail Blazers,CJ McCollum,Dallas Mavericks,W,10/27/2019,40:59,13,26,0.5,1,4,0.25,8,8,1.0,0,6,6,4,2,0,2,3,35,12,2020,406.0,SG,https://www.basketball-reference.com/players/m/mccolcj01.html,3,6-3,190.0,Portland Trail Blazers,regular season
371,371,Portland Trail Blazers,Damian Lillard,Dallas Mavericks,W,10/27/2019,38:24,10,20,0.5,1,7,0.14300000000000002,7,9,0.778,0,3,3,5,1,1,2,3,28,-1,2020,409.0,PG,https://www.basketball-reference.com/players/l/lillada01.html,0,6-2,195.0,Portland Trail Blazers,regular season
372,372,Portland Trail Blazers,Rodney Hood,Dallas Mavericks,W,10/27/2019,31:41,8,12,0.667,3,3,1.0,1,2,0.5,2,4,6,0,2,1,2,3,20,-9,2020,415.0,SF,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208.0,Portland Trail Blazers,regular season
373,373,Portland Trail Blazers,Hassan Whiteside,Dallas Mavericks,W,10/27/2019,25:41,2,4,0.5,0,0,,2,2,1.0,2,12,14,0,0,1,3,6,6,-4,2020,408.0,C,https://www.basketball-reference.com/players/w/whiteha01.html,21,7-0,265.0,Portland Trail Blazers,regular season
374,374,Portland Trail Blazers,Zach Collins,Dallas Mavericks,W,10/27/2019,24:02,3,5,0.6,2,3,0.667,2,2,1.0,0,3,3,1,0,0,2,4,10,10,2020,419.0,PF,https://www.basketball-reference.com/players/c/colliza01.html,33,6-11,250.0,Portland Trail Blazers,regular season
470,470,Portland Trail Blazers,Damian Lillard,San Antonio Spurs,L,10/28/2019,38:48,9,28,0.321,3,10,0.3,7,8,0.875,0,9,9,7,0,2,1,3,28,4,2020,409.0,PG,https://www.basketball-reference.com/players/l/lillada01.html,0,6-2,195.0,Portland Trail Blazers,regular season
