,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
130,130,Sacramento Kings,Bogdan Bogdanovic,Phoenix Suns,L,10/23/2019,22:04,1,10,0.1,0,3,0.0,0,0,,0,2,2,2,0,0,1,2,2,-24.0,2020,427.0,SG,https://www.basketball-reference.com/players/b/bogdabo01.html,8,6-6,220.0,Sacramento Kings,regular season
131,131,Sacramento Kings,Trevor Ariza,Phoenix Suns,L,10/23/2019,21:13,2,5,0.4,1,2,0.5,2,2,1.0,1,2,3,0,0,0,1,2,7,-9.0,2020,414.0,SF,https://www.basketball-reference.com/players/a/arizatr01.html,8,6-8,215.0,Portland Trail Blazers,regular season
132,132,Sacramento Kings,Cory Joseph,Phoenix Suns,L,10/23/2019,20:53,3,6,0.5,0,1,0.0,4,4,1.0,0,1,1,4,1,1,3,2,10,-12.0,2020,426.0,PG,https://www.basketball-reference.com/players/j/josepco01.html,9,6-3,200.0,Sacramento Kings,regular season
133,133,Sacramento Kings,Nemanja Bjelica,Phoenix Suns,L,10/23/2019,20:40,2,6,0.33299999999999996,1,4,0.25,0,0,,1,3,4,2,2,0,1,0,5,-9.0,2020,425.0,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234.0,Sacramento Kings,regular season
134,134,Sacramento Kings,Richaun Holmes,Phoenix Suns,L,10/23/2019,17:25,0,2,0.0,0,0,,1,2,0.5,1,4,5,0,0,1,1,3,1,-8.0,2020,431.0,C,https://www.basketball-reference.com/players/h/holmeri01.html,22,6-10,235.0,Sacramento Kings,regular season
135,135,Sacramento Kings,Yogi Ferrell,Phoenix Suns,L,10/23/2019,3:59,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,3,-5.0,2020,429.0,PG,https://www.basketball-reference.com/players/f/ferreyo01.html,3,6-0,178.0,Sacramento Kings,regular season
136,136,Sacramento Kings,Caleb Swanigan,Phoenix Suns,L,10/23/2019,1:59,0,0,,0,0,,1,2,0.5,1,1,2,0,0,1,1,1,1,1.0,2020,416.0,PF,https://www.basketball-reference.com/players/s/swanica01.html,50,6-9,260.0,Portland Trail Blazers,regular season
137,137,Sacramento Kings,Wenyen Gabriel,Phoenix Suns,L,10/23/2019,1:59,0,0,,0,0,,1,2,0.5,1,0,1,0,0,0,1,0,1,1.0,2020,417.0,PF,https://www.basketball-reference.com/players/g/gabriwe01.html,35,6-9,200.0,Portland Trail Blazers,regular season
271,271,Sacramento Kings,Bogdan Bogdanovic,Portland Trail Blazers,L,10/25/2019,28:42,5,11,0.455,4,6,0.667,2,3,0.667,0,1,1,3,3,0,2,3,16,-16.0,2020,427.0,SG,https://www.basketball-reference.com/players/b/bogdabo01.html,8,6-6,220.0,Sacramento Kings,regular season
272,272,Sacramento Kings,Trevor Ariza,Portland Trail Blazers,L,10/25/2019,21:13,0,4,0.0,0,3,0.0,0,0,,0,1,1,2,1,0,1,1,0,-12.0,2020,414.0,SF,https://www.basketball-reference.com/players/a/arizatr01.html,8,6-8,215.0,Portland Trail Blazers,regular season
273,273,Sacramento Kings,Richaun Holmes,Portland Trail Blazers,L,10/25/2019,17:14,4,6,0.667,0,0,,2,2,1.0,2,4,6,0,0,2,1,5,10,0.0,2020,431.0,C,https://www.basketball-reference.com/players/h/holmeri01.html,22,6-10,235.0,Sacramento Kings,regular season
274,274,Sacramento Kings,Cory Joseph,Portland Trail Blazers,L,10/25/2019,14:28,1,3,0.33299999999999996,1,2,0.5,2,2,1.0,2,2,4,2,0,0,0,3,5,1.0,2020,426.0,PG,https://www.basketball-reference.com/players/j/josepco01.html,9,6-3,200.0,Sacramento Kings,regular season
275,275,Sacramento Kings,Yogi Ferrell,Portland Trail Blazers,L,10/25/2019,2:34,1,1,1.0,0,0,,0,0,,0,0,0,2,1,0,0,0,2,6.0,2020,429.0,PG,https://www.basketball-reference.com/players/f/ferreyo01.html,3,6-0,178.0,Sacramento Kings,regular season
276,276,Sacramento Kings,Justin James,Portland Trail Blazers,L,10/25/2019,2:34,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,6.0,2020,432.0,SG,https://www.basketball-reference.com/players/j/jamesju01.html,10,6-7,190.0,Sacramento Kings,regular season
277,277,Sacramento Kings,Wenyen Gabriel,Portland Trail Blazers,L,10/25/2019,2:34,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,1,1,0,6.0,2020,417.0,PF,https://www.basketball-reference.com/players/g/gabriwe01.html,35,6-9,200.0,Portland Trail Blazers,regular season
278,278,Sacramento Kings,Caleb Swanigan,Portland Trail Blazers,L,10/25/2019,2:34,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,6.0,2020,416.0,PF,https://www.basketball-reference.com/players/s/swanica01.html,50,6-9,260.0,Portland Trail Blazers,regular season
392,392,Sacramento Kings,Cory Joseph,Utah Jazz,L,10/26/2019,25:01,4,10,0.4,0,0,,0,0,,1,0,1,2,1,0,2,3,8,-10.0,2020,426.0,PG,https://www.basketball-reference.com/players/j/josepco01.html,9,6-3,200.0,Sacramento Kings,regular season
393,393,Sacramento Kings,Bogdan Bogdanovic,Utah Jazz,L,10/26/2019,24:21,3,7,0.429,1,3,0.33299999999999996,3,4,0.75,0,2,2,2,0,0,0,2,10,-18.0,2020,427.0,SG,https://www.basketball-reference.com/players/b/bogdabo01.html,8,6-6,220.0,Sacramento Kings,regular season
394,394,Sacramento Kings,Trevor Ariza,Utah Jazz,L,10/26/2019,23:34,0,2,0.0,0,2,0.0,0,0,,1,4,5,0,1,0,0,2,0,-1.0,2020,414.0,SF,https://www.basketball-reference.com/players/a/arizatr01.html,8,6-8,215.0,Portland Trail Blazers,regular season
395,395,Sacramento Kings,Wenyen Gabriel,Utah Jazz,L,10/26/2019,20:39,3,9,0.33299999999999996,1,4,0.25,1,1,1.0,1,2,3,3,0,0,0,1,8,0.0,2020,417.0,PF,https://www.basketball-reference.com/players/g/gabriwe01.html,35,6-9,200.0,Portland Trail Blazers,regular season
396,396,Sacramento Kings,Richaun Holmes,Utah Jazz,L,10/26/2019,15:17,3,5,0.6,0,0,,0,0,,0,1,1,1,1,0,2,2,6,-6.0,2020,431.0,C,https://www.basketball-reference.com/players/h/holmeri01.html,22,6-10,235.0,Sacramento Kings,regular season
397,397,Sacramento Kings,Yogi Ferrell,Utah Jazz,L,10/26/2019,12:11,2,7,0.28600000000000003,0,2,0.0,3,4,0.75,0,1,1,1,0,0,1,0,7,3.0,2020,429.0,PG,https://www.basketball-reference.com/players/f/ferreyo01.html,3,6-0,178.0,Sacramento Kings,regular season
398,398,Sacramento Kings,Justin James,Utah Jazz,L,10/26/2019,7:25,2,6,0.33299999999999996,0,2,0.0,1,2,0.5,0,1,1,0,0,1,0,0,5,3.0,2020,432.0,SG,https://www.basketball-reference.com/players/j/jamesju01.html,10,6-7,190.0,Sacramento Kings,regular season
399,399,Sacramento Kings,Caleb Swanigan,Utah Jazz,L,10/26/2019,4:42,0,1,0.0,0,0,,0,0,,0,2,2,0,0,1,0,1,0,-2.0,2020,416.0,PF,https://www.basketball-reference.com/players/s/swanica01.html,50,6-9,260.0,Portland Trail Blazers,regular season
580,580,Sacramento Kings,Richaun Holmes,Denver Nuggets,L,10/28/2019,30:23,10,14,0.7140000000000001,0,0,,4,6,0.667,5,8,13,0,0,2,0,5,24,13.0,2020,431.0,C,https://www.basketball-reference.com/players/h/holmeri01.html,22,6-10,235.0,Sacramento Kings,regular season
581,581,Sacramento Kings,Trevor Ariza,Denver Nuggets,L,10/28/2019,22:53,3,5,0.6,3,4,0.75,0,0,,0,5,5,2,1,0,0,0,9,3.0,2020,414.0,SF,https://www.basketball-reference.com/players/a/arizatr01.html,8,6-8,215.0,Portland Trail Blazers,regular season
582,582,Sacramento Kings,Bogdan Bogdanovic,Denver Nuggets,L,10/28/2019,19:06,2,12,0.16699999999999998,1,7,0.14300000000000002,1,2,0.5,0,5,5,6,1,0,1,1,6,-5.0,2020,427.0,SG,https://www.basketball-reference.com/players/b/bogdabo01.html,8,6-6,220.0,Sacramento Kings,regular season
