,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
95,95,San Antonio Spurs,LaMarcus Aldridge,New York Knicks,W,10/23/2019,35:18,8,15,0.5329999999999999,1,1,1.0,5,5,1.0,4,4,8,1,0,2,4,1,22,-3,2020,450.0,C,https://www.basketball-reference.com/players/a/aldrila01.html,12,6-11,250.0,San Antonio Spurs,regular season
96,96,San Antonio Spurs,Bryn Forbes,New York Knicks,W,10/23/2019,32:31,7,12,0.583,3,6,0.5,3,3,1.0,0,5,5,1,0,0,0,2,20,4,2020,446.0,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205.0,San Antonio Spurs,regular season
97,97,San Antonio Spurs,DeMar DeRozan,New York Knicks,W,10/23/2019,31:38,3,10,0.3,0,1,0.0,7,11,0.636,0,4,4,4,0,1,4,3,13,2,2020,440.0,SF,https://www.basketball-reference.com/players/d/derozde01.html,10,6-6,220.0,San Antonio Spurs,regular season
98,98,San Antonio Spurs,Trey Lyles,New York Knicks,W,10/23/2019,24:17,3,4,0.75,0,1,0.0,2,2,1.0,1,10,11,0,0,0,1,4,8,9,2020,447.0,PF,https://www.basketball-reference.com/players/l/lylestr01.html,41,6-9,234.0,San Antonio Spurs,regular season
99,99,San Antonio Spurs,Dejounte Murray,New York Knicks,W,10/23/2019,23:47,7,10,0.7,1,1,1.0,3,3,1.0,0,8,8,6,3,0,4,1,18,9,2020,444.0,PG,https://www.basketball-reference.com/players/m/murrade01.html,5,6-4,180.0,San Antonio Spurs,regular season
325,325,San Antonio Spurs,DeMar DeRozan,Washington Wizards,W,10/26/2019,36:24,11,24,0.45799999999999996,0,0,,4,4,1.0,0,4,4,3,2,1,1,1,26,1,2020,440.0,SF,https://www.basketball-reference.com/players/d/derozde01.html,10,6-6,220.0,San Antonio Spurs,regular season
326,326,San Antonio Spurs,LaMarcus Aldridge,Washington Wizards,W,10/26/2019,33:06,10,17,0.588,2,3,0.667,5,7,0.7140000000000001,3,6,9,3,1,1,3,3,27,5,2020,450.0,C,https://www.basketball-reference.com/players/a/aldrila01.html,12,6-11,250.0,San Antonio Spurs,regular season
327,327,San Antonio Spurs,Bryn Forbes,Washington Wizards,W,10/26/2019,32:02,6,14,0.429,4,9,0.444,0,0,,3,1,4,3,0,0,3,2,16,3,2020,446.0,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205.0,San Antonio Spurs,regular season
328,328,San Antonio Spurs,Dejounte Murray,Washington Wizards,W,10/26/2019,23:02,8,15,0.5329999999999999,0,3,0.0,3,3,1.0,3,7,10,4,2,1,1,1,19,5,2020,444.0,PG,https://www.basketball-reference.com/players/m/murrade01.html,5,6-4,180.0,San Antonio Spurs,regular season
329,329,San Antonio Spurs,Trey Lyles,Washington Wizards,W,10/26/2019,17:40,1,5,0.2,0,0,,0,0,,5,2,7,3,0,0,0,0,2,7,2020,447.0,PF,https://www.basketball-reference.com/players/l/lylestr01.html,41,6-9,234.0,San Antonio Spurs,regular season
475,475,San Antonio Spurs,LaMarcus Aldridge,Portland Trail Blazers,W,10/28/2019,33:44,6,17,0.353,0,1,0.0,3,4,0.75,2,5,7,3,1,5,1,3,15,-3,2020,450.0,C,https://www.basketball-reference.com/players/a/aldrila01.html,12,6-11,250.0,San Antonio Spurs,regular season
476,476,San Antonio Spurs,DeMar DeRozan,Portland Trail Blazers,W,10/28/2019,33:26,10,16,0.625,0,0,,7,9,0.778,1,6,7,0,2,0,5,2,27,2,2020,440.0,SF,https://www.basketball-reference.com/players/d/derozde01.html,10,6-6,220.0,San Antonio Spurs,regular season
477,477,San Antonio Spurs,Bryn Forbes,Portland Trail Blazers,W,10/28/2019,29:05,4,11,0.364,2,6,0.33299999999999996,4,4,1.0,0,7,7,0,0,0,0,2,14,-16,2020,446.0,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205.0,San Antonio Spurs,regular season
478,478,San Antonio Spurs,Trey Lyles,Portland Trail Blazers,W,10/28/2019,24:38,0,2,0.0,0,2,0.0,0,0,,1,7,8,4,0,0,2,2,0,-3,2020,447.0,PF,https://www.basketball-reference.com/players/l/lylestr01.html,41,6-9,234.0,San Antonio Spurs,regular season
