,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
146,146,Atlanta Hawks,DeAndre' Bembry,Detroit Pistons,W,10/24/2019,23:31,4,5,0.8,0,1,0.0,0,0,,1,1,2,3,2,0,0,1,8,11.0,2020,7.0,SG,https://www.basketball-reference.com/players/b/bembrde01.html,95,6-5,210.0,Atlanta Hawks,regular season
147,147,Atlanta Hawks,Jabari Parker,Detroit Pistons,W,10/24/2019,22:41,8,11,0.727,1,2,0.5,1,1,1.0,0,1,1,0,0,0,0,1,18,10.0,2020,437.0,PF,https://www.basketball-reference.com/players/p/parkeja01.html,33,6-8,245.0,Sacramento Kings,regular season
148,148,Atlanta Hawks,Evan Turner,Detroit Pistons,W,10/24/2019,16:48,4,4,1.0,0,0,,1,1,1.0,0,0,0,4,1,0,0,0,9,7.0,2020,302.0,G,https://www.basketball-reference.com/players/t/turneev01.html,,6-6,220.0,Minnesota Timberwolves,regular season
149,149,Atlanta Hawks,Bruno Fernando,Detroit Pistons,W,10/24/2019,14:26,3,6,0.5,1,1,1.0,0,0,,1,2,3,2,0,0,0,2,7,7.0,2020,5.0,C,https://www.basketball-reference.com/players/f/fernabr01.html,24,6-9,240.0,Atlanta Hawks,regular season
150,150,Atlanta Hawks,Kevin Huerter,Detroit Pistons,W,10/24/2019,14:04,0,3,0.0,0,2,0.0,0,0,,0,4,4,5,0,0,3,5,0,-5.0,2020,4.0,SG,https://www.basketball-reference.com/players/h/huertke01.html,3,6-7,190.0,Atlanta Hawks,regular season
151,151,Atlanta Hawks,Vince Carter,Detroit Pistons,W,10/24/2019,10:14,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,1,1,0,10.0,2020,2.0,SF,https://www.basketball-reference.com/players/c/cartevi01.html,15,6-6,220.0,Atlanta Hawks,regular season
322,322,Atlanta Hawks,DeAndre' Bembry,Orlando Magic,W,10/26/2019,25:37,4,9,0.444,0,2,0.0,1,2,0.5,2,5,7,1,1,0,1,3,9,-18.0,2020,7.0,SG,https://www.basketball-reference.com/players/b/bembrde01.html,95,6-5,210.0,Atlanta Hawks,regular season
323,323,Atlanta Hawks,Kevin Huerter,Orlando Magic,W,10/26/2019,20:42,3,7,0.429,2,5,0.4,2,2,1.0,0,2,2,4,0,1,1,1,10,-7.0,2020,4.0,SG,https://www.basketball-reference.com/players/h/huertke01.html,3,6-7,190.0,Atlanta Hawks,regular season
324,324,Atlanta Hawks,Jabari Parker,Orlando Magic,W,10/26/2019,17:46,4,7,0.5710000000000001,1,2,0.5,1,1,1.0,1,3,4,1,0,1,3,3,10,-2.0,2020,437.0,PF,https://www.basketball-reference.com/players/p/parkeja01.html,33,6-8,245.0,Sacramento Kings,regular season
325,325,Atlanta Hawks,Vince Carter,Orlando Magic,W,10/26/2019,11:55,1,3,0.33299999999999996,0,2,0.0,0,0,,0,2,2,1,1,0,0,0,2,16.0,2020,2.0,SF,https://www.basketball-reference.com/players/c/cartevi01.html,15,6-6,220.0,Atlanta Hawks,regular season
326,326,Atlanta Hawks,Evan Turner,Orlando Magic,W,10/26/2019,10:44,0,2,0.0,0,1,0.0,1,2,0.5,0,3,3,1,0,0,1,2,1,-8.0,2020,302.0,G,https://www.basketball-reference.com/players/t/turneev01.html,,6-6,220.0,Minnesota Timberwolves,regular season
327,327,Atlanta Hawks,Damian Jones,Orlando Magic,W,10/26/2019,10:37,2,2,1.0,0,0,,0,0,,0,0,0,0,0,1,0,3,4,-1.0,2020,6.0,C,https://www.basketball-reference.com/players/j/jonesda03.html,30,6-11,245.0,Atlanta Hawks,regular season
328,328,Atlanta Hawks,Bruno Fernando,Orlando Magic,W,10/26/2019,8:57,2,3,0.667,0,1,0.0,0,0,,3,2,5,2,0,0,2,0,4,-5.0,2020,5.0,C,https://www.basketball-reference.com/players/f/fernabr01.html,24,6-9,240.0,Atlanta Hawks,regular season
504,504,Atlanta Hawks,Jabari Parker,Philadelphia 76ers,L,10/28/2019,22:03,2,7,0.28600000000000003,2,3,0.667,0,0,,1,3,4,0,0,0,2,1,6,6.0,2020,437.0,PF,https://www.basketball-reference.com/players/p/parkeja01.html,33,6-8,245.0,Sacramento Kings,regular season
505,505,Atlanta Hawks,DeAndre' Bembry,Philadelphia 76ers,L,10/28/2019,20:19,3,6,0.5,0,0,,1,2,0.5,0,4,4,1,1,0,1,2,7,-14.0,2020,7.0,SG,https://www.basketball-reference.com/players/b/bembrde01.html,95,6-5,210.0,Atlanta Hawks,regular season
