,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
70,70,Boston Celtics,Jayson Tatum,Philadelphia 76ers,L,10/23/2019,37:13,8,22,0.364,4,8,0.5,1,3,0.33299999999999996,1,9,10,2,2,0,4,2,21,-4,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
71,71,Boston Celtics,Gordon Hayward,Philadelphia 76ers,L,10/23/2019,35:11,8,15,0.5329999999999999,0,0,,9,11,0.818,0,5,5,2,0,0,1,4,25,-11,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
72,72,Boston Celtics,Kemba Walker,Philadelphia 76ers,L,10/23/2019,34:15,4,18,0.222,1,6,0.16699999999999998,3,4,0.75,2,0,2,2,0,0,3,4,12,-16,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
73,73,Boston Celtics,Enes Kanter,Philadelphia 76ers,L,10/23/2019,24:58,5,8,0.625,0,1,0.0,2,7,0.28600000000000003,3,3,6,2,0,0,0,3,12,-12,2020,22.0,C,https://www.basketball-reference.com/players/k/kanteen01.html,11,6-10,250.0,Boston Celtics,regular season
74,74,Boston Celtics,Jaylen Brown,Philadelphia 76ers,L,10/23/2019,20:52,3,6,0.5,1,2,0.5,1,3,0.33299999999999996,0,7,7,0,1,0,1,5,8,-12,2020,23.0,SF,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223.0,Boston Celtics,regular season
165,165,Boston Celtics,Jaylen Brown,Toronto Raptors,W,10/25/2019,38:04,11,20,0.55,2,7,0.28600000000000003,1,1,1.0,0,9,9,4,0,2,1,2,25,2,2020,23.0,SF,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223.0,Boston Celtics,regular season
166,166,Boston Celtics,Gordon Hayward,Toronto Raptors,W,10/25/2019,36:54,5,12,0.41700000000000004,3,4,0.75,2,2,1.0,3,5,8,2,0,0,3,2,15,9,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
167,167,Boston Celtics,Kemba Walker,Toronto Raptors,W,10/25/2019,36:13,8,22,0.364,2,8,0.25,4,4,1.0,3,3,6,2,2,2,2,3,22,7,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
168,168,Boston Celtics,Jayson Tatum,Toronto Raptors,W,10/25/2019,35:10,8,22,0.364,4,7,0.5710000000000001,5,5,1.0,3,6,9,4,3,0,0,0,25,9,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
169,169,Boston Celtics,Daniel Theis,Toronto Raptors,W,10/25/2019,14:59,0,7,0.0,0,1,0.0,1,2,0.5,3,3,6,1,0,2,0,3,1,3,2020,20.0,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245.0,Boston Celtics,regular season
280,280,Boston Celtics,Jayson Tatum,New York Knicks,W,10/26/2019,33:32,5,17,0.294,2,7,0.28600000000000003,3,4,0.75,2,7,9,0,3,2,2,3,15,20,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
281,281,Boston Celtics,Kemba Walker,New York Knicks,W,10/26/2019,30:21,11,17,0.647,7,12,0.583,3,4,0.75,3,3,6,4,2,0,0,2,32,13,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
282,282,Boston Celtics,Jaylen Brown,New York Knicks,W,10/26/2019,27:06,6,14,0.429,1,5,0.2,6,8,0.75,1,3,4,2,1,1,2,4,19,20,2020,23.0,SF,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223.0,Boston Celtics,regular season
283,283,Boston Celtics,Gordon Hayward,New York Knicks,W,10/26/2019,26:53,4,10,0.4,1,2,0.5,0,0,,1,5,6,3,1,0,4,4,9,14,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
284,284,Boston Celtics,Robert Williams,New York Knicks,W,10/26/2019,21:44,2,3,0.667,0,0,,0,0,,2,5,7,3,2,1,1,3,4,8,2020,29.0,C,https://www.basketball-reference.com/players/w/williro04.html,44,6-8,237.0,Boston Celtics,regular season
585,585,Boston Celtics,Marcus Smart,Milwaukee Bucks,W,10/30/2019,38:49,7,16,0.43799999999999994,5,11,0.455,0,0,,1,3,4,6,1,0,0,3,19,8,2020,21.0,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220.0,Boston Celtics,regular season
586,586,Boston Celtics,Jayson Tatum,Milwaukee Bucks,W,10/30/2019,38:35,10,22,0.455,4,7,0.5710000000000001,1,2,0.5,1,3,4,2,0,1,1,5,25,16,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
587,587,Boston Celtics,Kemba Walker,Milwaukee Bucks,W,10/30/2019,38:08,7,19,0.368,4,11,0.364,14,15,0.9329999999999999,1,5,6,6,0,0,3,2,32,8,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
588,588,Boston Celtics,Gordon Hayward,Milwaukee Bucks,W,10/30/2019,37:43,9,17,0.529,3,6,0.5,0,0,,0,10,10,7,1,1,2,1,21,5,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
589,589,Boston Celtics,Daniel Theis,Milwaukee Bucks,W,10/30/2019,27:59,5,8,0.625,1,3,0.33299999999999996,0,0,,1,8,9,1,0,1,1,3,11,2,2020,20.0,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245.0,Boston Celtics,regular season
765,765,Boston Celtics,Kemba Walker,New York Knicks,W,11/01/2019,35:37,8,19,0.42100000000000004,3,9,0.33299999999999996,14,14,1.0,0,6,6,5,1,0,3,0,33,4,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
766,766,Boston Celtics,Gordon Hayward,New York Knicks,W,11/01/2019,35:07,5,11,0.455,3,6,0.5,0,1,0.0,0,9,9,4,2,0,2,0,13,2,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
767,767,Boston Celtics,Jayson Tatum,New York Knicks,W,11/01/2019,33:46,9,17,0.529,4,8,0.5,2,2,1.0,1,5,6,3,0,0,2,4,24,12,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
768,768,Boston Celtics,Marcus Smart,New York Knicks,W,11/01/2019,30:11,3,9,0.33299999999999996,1,3,0.33299999999999996,1,2,0.5,0,3,3,3,3,0,2,4,8,1,2020,21.0,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220.0,Boston Celtics,regular season
769,769,Boston Celtics,Daniel Theis,New York Knicks,W,11/01/2019,26:53,2,3,0.667,0,0,,1,1,1.0,1,7,8,0,0,4,1,3,5,12,2020,20.0,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245.0,Boston Celtics,regular season
1020,1020,Boston Celtics,Marcus Smart,Cleveland Cavaliers,W,11/05/2019,34:41,2,6,0.33299999999999996,2,6,0.33299999999999996,2,3,0.667,0,5,5,4,1,0,1,2,8,8,2020,21.0,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220.0,Boston Celtics,regular season
1021,1021,Boston Celtics,Jayson Tatum,Cleveland Cavaliers,W,11/05/2019,34:25,9,16,0.563,0,5,0.0,0,0,,0,7,7,1,1,2,4,1,18,9,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
1022,1022,Boston Celtics,Kemba Walker,Cleveland Cavaliers,W,11/05/2019,33:38,8,19,0.42100000000000004,6,8,0.75,3,4,0.75,1,7,8,3,1,2,4,2,25,0,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
1023,1023,Boston Celtics,Gordon Hayward,Cleveland Cavaliers,W,11/05/2019,33:36,17,20,0.85,1,4,0.25,4,4,1.0,1,6,7,8,0,0,2,2,39,12,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
1024,1024,Boston Celtics,Daniel Theis,Cleveland Cavaliers,W,11/05/2019,30:02,2,7,0.28600000000000003,0,1,0.0,1,2,0.5,0,9,9,1,0,5,1,4,5,8,2020,20.0,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245.0,Boston Celtics,regular season
1160,1160,Boston Celtics,Jaylen Brown,Charlotte Hornets,W,11/07/2019,32:07,5,9,0.556,0,2,0.0,2,2,1.0,0,5,5,1,1,0,2,1,12,13,2020,23.0,SF,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223.0,Boston Celtics,regular season
1161,1161,Boston Celtics,Gordon Hayward,Charlotte Hornets,W,11/07/2019,29:11,9,16,0.563,1,5,0.2,1,1,1.0,1,9,10,6,1,0,0,1,20,20,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
1162,1162,Boston Celtics,Kemba Walker,Charlotte Hornets,W,11/07/2019,29:11,4,12,0.33299999999999996,3,9,0.33299999999999996,3,3,1.0,0,2,2,6,1,0,2,0,14,20,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
1163,1163,Boston Celtics,Jayson Tatum,Charlotte Hornets,W,11/07/2019,28:53,8,17,0.47100000000000003,4,6,0.667,3,4,0.75,2,7,9,1,2,1,1,0,23,13,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
1164,1164,Boston Celtics,Daniel Theis,Charlotte Hornets,W,11/07/2019,19:51,2,8,0.25,0,1,0.0,1,2,0.5,3,4,7,2,0,2,1,4,5,5,2020,20.0,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245.0,Boston Celtics,regular season
1310,1310,Boston Celtics,Jayson Tatum,San Antonio Spurs,W,11/09/2019,33:55,6,13,0.462,2,6,0.33299999999999996,5,6,0.833,1,6,7,4,3,0,2,3,19,23,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
1311,1311,Boston Celtics,Kemba Walker,San Antonio Spurs,W,11/09/2019,32:28,9,20,0.45,4,10,0.4,4,4,1.0,2,3,5,8,1,1,0,2,26,21,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
1312,1312,Boston Celtics,Jaylen Brown,San Antonio Spurs,W,11/09/2019,32:04,10,18,0.556,1,3,0.33299999999999996,9,10,0.9,1,6,7,3,1,0,0,3,30,21,2020,23.0,SF,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223.0,Boston Celtics,regular season
1313,1313,Boston Celtics,Daniel Theis,San Antonio Spurs,W,11/09/2019,22:40,3,4,0.75,1,2,0.5,1,1,1.0,1,5,6,2,1,1,2,4,8,18,2020,20.0,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245.0,Boston Celtics,regular season
1314,1314,Boston Celtics,Gordon Hayward,San Antonio Spurs,W,11/09/2019,14:49,4,9,0.444,1,3,0.33299999999999996,0,0,,0,2,2,1,1,1,1,1,9,15,2020,25.0,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225.0,Boston Celtics,regular season
1455,1455,Boston Celtics,Jaylen Brown,Dallas Mavericks,W,11/11/2019,38:09,9,16,0.563,2,4,0.5,5,7,0.7140000000000001,3,8,11,3,0,0,1,4,25,12,2020,23.0,SF,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223.0,Boston Celtics,regular season
1456,1456,Boston Celtics,Marcus Smart,Dallas Mavericks,W,11/11/2019,36:33,6,9,0.667,4,7,0.5710000000000001,1,1,1.0,1,0,1,6,0,1,2,1,17,13,2020,21.0,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220.0,Boston Celtics,regular season
1457,1457,Boston Celtics,Jayson Tatum,Dallas Mavericks,W,11/11/2019,34:54,1,18,0.055999999999999994,0,3,0.0,3,4,0.75,3,5,8,4,1,0,1,3,5,16,2020,19.0,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210.0,Boston Celtics,regular season
1458,1458,Boston Celtics,Kemba Walker,Dallas Mavericks,W,11/11/2019,33:07,9,17,0.529,8,14,0.5710000000000001,3,4,0.75,0,5,5,5,0,1,3,1,29,18,2020,24.0,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184.0,Boston Celtics,regular season
1459,1459,Boston Celtics,Daniel Theis,Dallas Mavericks,W,11/11/2019,21:52,4,4,1.0,0,0,,3,4,0.75,0,5,5,3,1,1,0,5,11,27,2020,20.0,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245.0,Boston Celtics,regular season
