,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
40,40,Cleveland Cavaliers,Kevin Love,Orlando Magic,L,10/23/2019,35:57,4,9,0.444,0,1,0.0,3,4,0.75,1,17,18,3,1,0,2,2,11,-15,2020,91.0,PF,https://www.basketball-reference.com/players/l/loveke01.html,0,6-8,251.0,Cleveland Cavaliers,regular season
41,41,Cleveland Cavaliers,Tristan Thompson,Orlando Magic,L,10/23/2019,33:15,8,11,0.727,0,0,,0,0,,2,9,11,1,0,1,1,2,16,0,2020,89.0,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254.0,Cleveland Cavaliers,regular season
42,42,Cleveland Cavaliers,Darius Garland,Orlando Magic,L,10/23/2019,31:32,3,9,0.33299999999999996,2,4,0.5,0,0,,1,1,2,5,1,0,3,0,8,-7,2020,88.0,PG,https://www.basketball-reference.com/players/g/garlada01.html,10,6-1,192.0,Cleveland Cavaliers,regular season
43,43,Cleveland Cavaliers,Collin Sexton,Orlando Magic,L,10/23/2019,29:54,5,15,0.33299999999999996,3,8,0.375,3,4,0.75,1,1,2,2,0,0,3,1,16,-4,2020,86.0,SG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190.0,Cleveland Cavaliers,regular season
44,44,Cleveland Cavaliers,Cedi Osman,Orlando Magic,L,10/23/2019,28:59,5,9,0.556,3,6,0.5,0,0,,0,3,3,2,2,0,2,1,13,6,2020,87.0,SF,https://www.basketball-reference.com/players/o/osmande01.html,16,6-7,230.0,Cleveland Cavaliers,regular season
305,305,Cleveland Cavaliers,Tristan Thompson,Indiana Pacers,W,10/26/2019,34:42,11,16,0.688,1,2,0.5,2,2,1.0,5,8,13,0,0,3,0,2,25,23,2020,89.0,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254.0,Cleveland Cavaliers,regular season
306,306,Cleveland Cavaliers,Kevin Love,Indiana Pacers,W,10/26/2019,33:06,5,8,0.625,3,5,0.6,8,9,0.889,0,13,13,9,2,0,4,3,21,13,2020,91.0,PF,https://www.basketball-reference.com/players/l/loveke01.html,0,6-8,251.0,Cleveland Cavaliers,regular season
307,307,Cleveland Cavaliers,Collin Sexton,Indiana Pacers,W,10/26/2019,30:23,6,14,0.429,2,3,0.667,4,6,0.667,2,3,5,3,0,0,2,1,18,10,2020,86.0,SG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190.0,Cleveland Cavaliers,regular season
308,308,Cleveland Cavaliers,Darius Garland,Indiana Pacers,W,10/26/2019,29:23,5,12,0.41700000000000004,2,5,0.4,0,0,,1,0,1,4,1,0,4,2,12,0,2020,88.0,PG,https://www.basketball-reference.com/players/g/garlada01.html,10,6-1,192.0,Cleveland Cavaliers,regular season
309,309,Cleveland Cavaliers,Cedi Osman,Indiana Pacers,W,10/26/2019,27:35,0,3,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,3,1,9,2020,87.0,SF,https://www.basketball-reference.com/players/o/osmande01.html,16,6-7,230.0,Cleveland Cavaliers,regular season
