,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
85,85,Dallas Mavericks,Luka Doncic,Washington Wizards,W,10/23/2019,33:31,12,19,0.632,4,9,0.444,6,8,0.75,1,8,9,3,2,0,6,4,34,0,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
86,86,Dallas Mavericks,Kristaps Porzingis,Washington Wizards,W,10/23/2019,29:11,7,16,0.43799999999999994,3,7,0.429,6,7,0.857,0,4,4,2,1,1,4,2,23,3,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
87,87,Dallas Mavericks,Maxi Kleber,Washington Wizards,W,10/23/2019,23:34,0,1,0.0,0,1,0.0,0,0,,1,7,8,1,0,3,3,4,0,-3,2020,102.0,C,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240.0,Dallas Mavericks,regular season
88,88,Dallas Mavericks,Delon Wright,Washington Wizards,W,10/23/2019,21:28,1,2,0.5,1,1,1.0,2,2,1.0,0,4,4,3,1,0,0,1,5,1,2020,103.0,SG,https://www.basketball-reference.com/players/w/wrighde01.html,55,6-5,185.0,Dallas Mavericks,regular season
89,89,Dallas Mavericks,Courtney Lee,Washington Wizards,W,10/23/2019,16:02,2,5,0.4,0,3,0.0,0,0,,0,1,1,0,0,0,0,2,4,-4,2020,114.0,SG,https://www.basketball-reference.com/players/l/leeco01.html,1,6-5,215.0,Dallas Mavericks,regular season
200,200,Dallas Mavericks,Luka Doncic,New Orleans Pelicans,W,10/25/2019,37:41,10,19,0.526,3,9,0.33299999999999996,2,2,1.0,1,9,10,10,2,0,3,1,25,12,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
201,201,Dallas Mavericks,Kristaps Porzingis,New Orleans Pelicans,W,10/25/2019,29:04,8,17,0.47100000000000003,3,5,0.6,5,8,0.625,0,4,4,3,0,5,3,5,24,-3,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
202,202,Dallas Mavericks,Jalen Brunson,New Orleans Pelicans,W,10/25/2019,28:45,6,11,0.545,2,5,0.4,0,0,,4,4,8,2,0,0,0,0,14,4,2020,110.0,PG,https://www.basketball-reference.com/players/b/brunsja01.html,13,6-1,190.0,Dallas Mavericks,regular season
203,203,Dallas Mavericks,Dorian Finney-Smith,New Orleans Pelicans,W,10/25/2019,21:39,3,8,0.375,0,4,0.0,1,4,0.25,3,3,6,2,1,0,1,1,7,5,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
204,204,Dallas Mavericks,Courtney Lee,New Orleans Pelicans,W,10/25/2019,5:44,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-9,2020,114.0,SG,https://www.basketball-reference.com/players/l/leeco01.html,1,6-5,215.0,Dallas Mavericks,regular season
375,375,Dallas Mavericks,Luka Doncic,Portland Trail Blazers,L,10/27/2019,37:42,8,22,0.364,2,11,0.182,11,14,0.7859999999999999,1,11,12,9,3,0,4,4,29,5,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
376,376,Dallas Mavericks,Kristaps Porzingis,Portland Trail Blazers,L,10/27/2019,34:23,11,23,0.478,3,10,0.3,7,10,0.7,3,6,9,5,0,2,0,4,32,-7,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
377,377,Dallas Mavericks,Jalen Brunson,Portland Trail Blazers,L,10/27/2019,26:31,1,6,0.16699999999999998,1,4,0.25,1,1,1.0,0,2,2,2,0,0,0,2,4,6,2020,110.0,PG,https://www.basketball-reference.com/players/b/brunsja01.html,13,6-1,190.0,Dallas Mavericks,regular season
378,378,Dallas Mavericks,Maxi Kleber,Portland Trail Blazers,L,10/27/2019,24:31,5,10,0.5,2,6,0.33299999999999996,2,2,1.0,2,4,6,3,0,1,1,4,14,2,2020,102.0,C,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240.0,Dallas Mavericks,regular season
379,379,Dallas Mavericks,Delon Wright,Portland Trail Blazers,L,10/27/2019,22:58,3,4,0.75,2,2,1.0,0,0,,0,2,2,5,0,0,2,1,8,-9,2020,103.0,SG,https://www.basketball-reference.com/players/w/wrighde01.html,55,6-5,185.0,Dallas Mavericks,regular season
520,520,Dallas Mavericks,Kristaps Porzingis,Denver Nuggets,W,10/29/2019,32:58,4,14,0.28600000000000003,1,8,0.125,1,1,1.0,2,12,14,3,0,2,2,1,10,-3,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
521,521,Dallas Mavericks,Luka Doncic,Denver Nuggets,W,10/29/2019,32:30,3,12,0.25,1,6,0.16699999999999998,5,8,0.625,2,2,4,5,2,0,4,1,12,-17,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
522,522,Dallas Mavericks,Seth Curry,Denver Nuggets,W,10/29/2019,25:16,4,8,0.5,2,6,0.33299999999999996,0,0,,2,0,2,3,1,0,0,1,10,-13,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
523,523,Dallas Mavericks,Dorian Finney-Smith,Denver Nuggets,W,10/29/2019,23:28,5,7,0.7140000000000001,2,2,1.0,0,0,,1,0,1,0,0,0,0,3,12,-2,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
524,524,Dallas Mavericks,Dwight Powell,Denver Nuggets,W,10/29/2019,13:34,1,2,0.5,0,0,,2,4,0.5,2,2,4,0,0,0,1,3,4,-5,2020,112.0,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240.0,Dallas Mavericks,regular season
785,785,Dallas Mavericks,Luka Doncic,Los Angeles Lakers,L,11/01/2019,38:08,10,23,0.435,4,9,0.444,7,8,0.875,1,12,13,15,0,1,6,3,31,-4,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
786,786,Dallas Mavericks,Kristaps Porzingis,Los Angeles Lakers,L,11/01/2019,37:25,6,16,0.375,1,3,0.33299999999999996,3,6,0.5,2,7,9,0,0,0,2,5,16,-13,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
787,787,Dallas Mavericks,Dorian Finney-Smith,Los Angeles Lakers,L,11/01/2019,31:30,3,8,0.375,1,5,0.2,0,0,,5,5,10,1,3,0,4,4,7,-12,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
788,788,Dallas Mavericks,Dwight Powell,Los Angeles Lakers,L,11/01/2019,25:04,5,8,0.625,1,2,0.5,3,4,0.75,2,3,5,0,0,0,3,2,14,-1,2020,112.0,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240.0,Dallas Mavericks,regular season
789,789,Dallas Mavericks,Seth Curry,Los Angeles Lakers,L,11/01/2019,22:50,1,5,0.2,1,4,0.25,1,1,1.0,0,2,2,1,1,0,2,0,4,-7,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
930,930,Dallas Mavericks,Luka Doncic,Cleveland Cavaliers,W,11/03/2019,33:33,9,17,0.529,5,10,0.5,6,6,1.0,4,10,14,15,0,0,5,2,29,15,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
931,931,Dallas Mavericks,Kristaps Porzingis,Cleveland Cavaliers,W,11/03/2019,31:08,7,14,0.5,4,6,0.667,0,0,,0,9,9,0,1,6,3,4,18,1,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
932,932,Dallas Mavericks,Jalen Brunson,Cleveland Cavaliers,W,11/03/2019,30:19,6,11,0.545,2,6,0.33299999999999996,0,0,,1,1,2,6,0,0,1,3,14,7,2020,110.0,PG,https://www.basketball-reference.com/players/b/brunsja01.html,13,6-1,190.0,Dallas Mavericks,regular season
933,933,Dallas Mavericks,Dwight Powell,Cleveland Cavaliers,W,11/03/2019,27:16,4,7,0.5710000000000001,0,1,0.0,1,2,0.5,1,3,4,0,1,0,2,1,9,1,2020,112.0,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240.0,Dallas Mavericks,regular season
934,934,Dallas Mavericks,Seth Curry,Cleveland Cavaliers,W,11/03/2019,22:02,4,7,0.5710000000000001,3,5,0.6,2,2,1.0,1,0,1,4,0,0,0,3,13,6,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
1135,1135,Dallas Mavericks,Luka Doncic,Orlando Magic,W,11/06/2019,37:26,10,21,0.47600000000000003,1,7,0.14300000000000002,6,7,0.857,2,5,7,7,0,0,6,3,27,6,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
1136,1136,Dallas Mavericks,Dwight Powell,Orlando Magic,W,11/06/2019,33:56,5,8,0.625,0,0,,2,2,1.0,4,4,8,2,1,0,1,4,12,-1,2020,112.0,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240.0,Dallas Mavericks,regular season
1137,1137,Dallas Mavericks,Kristaps Porzingis,Orlando Magic,W,11/06/2019,33:45,4,14,0.28600000000000003,1,5,0.2,1,2,0.5,1,7,8,1,0,0,2,1,10,-3,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
1138,1138,Dallas Mavericks,Dorian Finney-Smith,Orlando Magic,W,11/06/2019,28:33,1,3,0.33299999999999996,1,2,0.5,1,2,0.5,2,4,6,0,1,0,2,1,4,-5,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
1139,1139,Dallas Mavericks,Seth Curry,Orlando Magic,W,11/06/2019,6:42,1,2,0.5,0,1,0.0,3,5,0.6,0,0,0,0,1,1,1,0,5,-6,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
1265,1265,Dallas Mavericks,Kristaps Porzingis,New York Knicks,L,11/08/2019,35:35,11,22,0.5,4,8,0.5,2,3,0.667,0,9,9,0,0,5,1,6,28,-4,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
1266,1266,Dallas Mavericks,Luka Doncic,New York Knicks,L,11/08/2019,35:13,13,26,0.5,3,11,0.273,9,9,1.0,1,13,14,10,0,0,8,5,38,-5,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
1267,1267,Dallas Mavericks,Dwight Powell,New York Knicks,L,11/08/2019,27:15,0,1,0.0,0,0,,1,2,0.5,2,3,5,0,1,0,0,3,1,2,2020,112.0,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240.0,Dallas Mavericks,regular season
1268,1268,Dallas Mavericks,Dorian Finney-Smith,New York Knicks,L,11/08/2019,21:42,1,4,0.25,1,4,0.25,0,0,,1,2,3,1,0,0,0,1,3,-3,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
1269,1269,Dallas Mavericks,Courtney Lee,New York Knicks,L,11/08/2019,4:39,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,4,2020,114.0,SG,https://www.basketball-reference.com/players/l/leeco01.html,1,6-5,215.0,Dallas Mavericks,regular season
1340,1340,Dallas Mavericks,Luka Doncic,Memphis Grizzlies,W,11/09/2019,28:41,9,16,0.563,2,6,0.33299999999999996,4,5,0.8,3,11,14,8,2,0,2,0,24,1,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
1341,1341,Dallas Mavericks,Seth Curry,Memphis Grizzlies,W,11/09/2019,24:50,4,12,0.33299999999999996,3,7,0.429,5,5,1.0,0,1,1,1,0,0,2,3,16,-4,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
1342,1342,Dallas Mavericks,Dorian Finney-Smith,Memphis Grizzlies,W,11/09/2019,24:20,5,9,0.556,1,4,0.25,0,0,,2,1,3,1,1,1,2,1,11,-4,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
1343,1343,Dallas Mavericks,Maxi Kleber,Memphis Grizzlies,W,11/09/2019,23:33,4,7,0.5710000000000001,3,5,0.6,0,0,,0,4,4,1,0,1,0,1,11,2,2020,102.0,C,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240.0,Dallas Mavericks,regular season
1344,1344,Dallas Mavericks,Boban Marjanovic,Memphis Grizzlies,W,11/09/2019,16:20,3,5,0.6,0,0,,3,3,1.0,2,3,5,2,1,1,2,1,9,5,2020,111.0,C,https://www.basketball-reference.com/players/m/marjabo01.html,51,7-4,290.0,Dallas Mavericks,regular season
1450,1450,Dallas Mavericks,Luka Doncic,Boston Celtics,L,11/11/2019,33:47,11,21,0.524,3,10,0.3,9,10,0.9,0,6,6,9,0,0,1,2,34,-17,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
1451,1451,Dallas Mavericks,Maxi Kleber,Boston Celtics,L,11/11/2019,32:44,4,10,0.4,4,8,0.5,3,4,0.75,5,3,8,2,0,1,0,2,15,-13,2020,102.0,C,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240.0,Dallas Mavericks,regular season
1452,1452,Dallas Mavericks,Dorian Finney-Smith,Boston Celtics,L,11/11/2019,26:03,4,9,0.444,1,5,0.2,0,0,,0,4,4,1,0,0,2,2,9,-9,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
1453,1453,Dallas Mavericks,Seth Curry,Boston Celtics,L,11/11/2019,21:28,1,6,0.16699999999999998,0,4,0.0,0,0,,0,1,1,1,0,0,1,4,2,-10,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
1454,1454,Dallas Mavericks,Kristaps Porzingis,Boston Celtics,L,11/11/2019,19:50,1,11,0.091,1,4,0.25,1,1,1.0,0,5,5,1,0,1,1,5,4,-15,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
1680,1680,Dallas Mavericks,Luka Doncic,New York Knicks,L,11/14/2019,35:32,10,23,0.435,3,12,0.25,10,13,0.769,1,9,10,11,3,1,3,1,33,-3,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
1681,1681,Dallas Mavericks,Kristaps Porzingis,New York Knicks,L,11/14/2019,33:04,7,17,0.41200000000000003,1,5,0.2,5,5,1.0,4,7,11,1,1,3,2,1,20,2,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
1682,1682,Dallas Mavericks,Dwight Powell,New York Knicks,L,11/14/2019,29:22,5,9,0.556,1,1,1.0,1,1,1.0,2,2,4,2,0,0,0,1,12,5,2020,112.0,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240.0,Dallas Mavericks,regular season
1683,1683,Dallas Mavericks,Dorian Finney-Smith,New York Knicks,L,11/14/2019,23:21,3,4,0.75,1,2,0.5,0,2,0.0,0,2,2,1,1,1,1,2,7,-4,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
1684,1684,Dallas Mavericks,Seth Curry,New York Knicks,L,11/14/2019,23:15,1,5,0.2,0,4,0.0,0,0,,1,1,2,1,0,0,0,3,2,3,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
1845,1845,Dallas Mavericks,Maxi Kleber,Toronto Raptors,W,11/16/2019,38:20,4,10,0.4,2,8,0.25,0,0,,0,6,6,2,0,1,0,2,10,7,2020,102.0,C,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240.0,Dallas Mavericks,regular season
1846,1846,Dallas Mavericks,Kristaps Porzingis,Toronto Raptors,W,11/16/2019,35:43,7,20,0.35,1,7,0.14300000000000002,5,6,0.833,6,9,15,2,0,1,1,2,20,6,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
1847,1847,Dallas Mavericks,Luka Doncic,Toronto Raptors,W,11/16/2019,35:37,5,14,0.35700000000000004,1,5,0.2,15,19,0.789,3,12,15,7,2,0,7,1,26,14,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
1848,1848,Dallas Mavericks,Seth Curry,Toronto Raptors,W,11/16/2019,32:41,5,7,0.7140000000000001,3,5,0.6,2,2,1.0,1,5,6,5,1,1,2,2,15,1,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
1849,1849,Dallas Mavericks,Dorian Finney-Smith,Toronto Raptors,W,11/16/2019,31:36,4,11,0.364,1,5,0.2,1,2,0.5,1,3,4,2,0,1,1,2,10,12,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
1985,1985,Dallas Mavericks,Dorian Finney-Smith,San Antonio Spurs,W,11/18/2019,35:22,8,10,0.8,3,4,0.75,3,4,0.75,2,3,5,3,1,1,1,2,22,4,2020,105.0,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220.0,Dallas Mavericks,regular season
1986,1986,Dallas Mavericks,Luka Doncic,San Antonio Spurs,W,11/18/2019,35:15,14,27,0.519,5,13,0.385,9,13,0.6920000000000001,2,9,11,12,0,0,5,5,42,11,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
1987,1987,Dallas Mavericks,Kristaps Porzingis,San Antonio Spurs,W,11/18/2019,31:33,6,14,0.429,4,9,0.444,2,4,0.5,2,8,10,1,0,0,2,4,18,9,2020,109.0,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240.0,Dallas Mavericks,regular season
1988,1988,Dallas Mavericks,Seth Curry,San Antonio Spurs,W,11/18/2019,26:33,3,6,0.5,1,3,0.33299999999999996,0,0,,0,1,1,4,0,0,0,0,7,15,2020,107.0,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185.0,Dallas Mavericks,regular season
1989,1989,Dallas Mavericks,Dwight Powell,San Antonio Spurs,W,11/18/2019,25:27,1,2,0.5,0,0,,0,0,,0,4,4,1,0,0,2,4,2,8,2020,112.0,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240.0,Dallas Mavericks,regular season
2105,2105,Dallas Mavericks,Luka Doncic,Golden State Warriors,W,11/20/2019,25:30,11,18,0.611,6,10,0.6,7,8,0.875,1,9,10,11,4,0,5,3,35,45,2020,108.0,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230.0,Dallas Mavericks,regular season
