,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
120,120,Denver Nuggets,Jerami Grant,Portland Trail Blazers,W,10/23/2019,20:49,3,4,0.75,2,2,1.0,1,2,0.5,1,1,2,1,0,0,1,1,9,8.0,2020,122.0,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210.0,Denver Nuggets,regular season
121,121,Denver Nuggets,Mason Plumlee,Portland Trail Blazers,W,10/23/2019,19:28,2,4,0.5,0,0,,1,2,0.5,3,1,4,5,1,0,0,2,5,-8.0,2020,123.0,C,https://www.basketball-reference.com/players/p/plumlma01.html,7-24,6-11,254.0,Denver Nuggets,regular season
122,122,Denver Nuggets,Torrey Craig,Portland Trail Blazers,W,10/23/2019,16:02,4,6,0.667,2,3,0.667,0,0,,1,5,6,2,1,1,1,4,10,2.0,2020,126.0,SF,https://www.basketball-reference.com/players/c/craigto01.html,3,6-7,221.0,Denver Nuggets,regular season
123,123,Denver Nuggets,Monte Morris,Portland Trail Blazers,W,10/23/2019,14:11,2,6,0.33299999999999996,0,0,,2,2,1.0,0,1,1,3,0,0,1,0,6,-1.0,2020,121.0,PG,https://www.basketball-reference.com/players/m/morrimo01.html,11,6-2,183.0,Denver Nuggets,regular season
124,124,Denver Nuggets,Malik Beasley,Portland Trail Blazers,W,10/23/2019,13:23,2,6,0.33299999999999996,2,4,0.5,0,0,,0,1,1,1,1,0,2,2,6,5.0,2020,296.0,SG,https://www.basketball-reference.com/players/b/beaslma01.html,5,6-4,187.0,Minnesota Timberwolves,regular season
259,259,Denver Nuggets,Jerami Grant,Phoenix Suns,W,10/25/2019,31:29,5,11,0.455,1,5,0.2,2,3,0.667,1,4,5,0,0,0,2,4,13,-5.0,2020,122.0,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210.0,Denver Nuggets,regular season
260,260,Denver Nuggets,Malik Beasley,Phoenix Suns,W,10/25/2019,28:43,7,11,0.636,2,4,0.5,1,1,1.0,2,2,4,1,1,0,1,2,17,-8.0,2020,296.0,SG,https://www.basketball-reference.com/players/b/beaslma01.html,5,6-4,187.0,Minnesota Timberwolves,regular season
261,261,Denver Nuggets,Torrey Craig,Phoenix Suns,W,10/25/2019,22:59,0,4,0.0,0,3,0.0,0,0,,1,4,5,0,0,4,1,4,0,-13.0,2020,126.0,SF,https://www.basketball-reference.com/players/c/craigto01.html,3,6-7,221.0,Denver Nuggets,regular season
262,262,Denver Nuggets,Monte Morris,Phoenix Suns,W,10/25/2019,12:23,0,6,0.0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-2.0,2020,121.0,PG,https://www.basketball-reference.com/players/m/morrimo01.html,11,6-2,183.0,Denver Nuggets,regular season
263,263,Denver Nuggets,Mason Plumlee,Phoenix Suns,W,10/25/2019,11:56,0,2,0.0,0,0,,2,3,0.667,0,5,5,1,0,1,1,3,2,-3.0,2020,123.0,C,https://www.basketball-reference.com/players/p/plumlma01.html,7-24,6-11,254.0,Denver Nuggets,regular season
575,575,Denver Nuggets,Jerami Grant,Sacramento Kings,W,10/28/2019,23:58,2,9,0.222,1,5,0.2,4,4,1.0,2,1,3,3,0,0,1,2,9,7.0,2020,122.0,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210.0,Denver Nuggets,regular season
576,576,Denver Nuggets,Malik Beasley,Sacramento Kings,W,10/28/2019,19:36,2,6,0.33299999999999996,2,5,0.4,2,2,1.0,0,1,1,0,3,1,0,0,8,6.0,2020,296.0,SG,https://www.basketball-reference.com/players/b/beaslma01.html,5,6-4,187.0,Minnesota Timberwolves,regular season
577,577,Denver Nuggets,Mason Plumlee,Sacramento Kings,W,10/28/2019,18:40,5,6,0.833,0,0,,0,0,,5,2,7,3,0,1,0,2,10,10.0,2020,123.0,C,https://www.basketball-reference.com/players/p/plumlma01.html,7-24,6-11,254.0,Denver Nuggets,regular season
578,578,Denver Nuggets,Torrey Craig,Sacramento Kings,W,10/28/2019,18:12,1,8,0.125,0,2,0.0,0,0,,3,5,8,1,0,2,0,0,2,3.0,2020,126.0,SF,https://www.basketball-reference.com/players/c/craigto01.html,3,6-7,221.0,Denver Nuggets,regular season
579,579,Denver Nuggets,Monte Morris,Sacramento Kings,W,10/28/2019,16:57,2,8,0.25,1,2,0.5,1,1,1.0,0,2,2,2,0,0,2,1,6,2.0,2020,121.0,PG,https://www.basketball-reference.com/players/m/morrimo01.html,11,6-2,183.0,Denver Nuggets,regular season
614,614,Denver Nuggets,Jerami Grant,Dallas Mavericks,L,10/29/2019,16:50,0,5,0.0,0,4,0.0,0,0,,1,2,3,1,1,0,1,3,0,-18.0,2020,122.0,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210.0,Denver Nuggets,regular season
615,615,Denver Nuggets,Mason Plumlee,Dallas Mavericks,L,10/29/2019,14:59,2,3,0.667,0,0,,3,6,0.5,1,3,4,3,0,0,0,0,7,-18.0,2020,123.0,C,https://www.basketball-reference.com/players/p/plumlma01.html,7-24,6-11,254.0,Denver Nuggets,regular season
