,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
110,110,Denver Nuggets,Gary Harris,Portland Trail Blazers,W,10/23/2019,35:14,3,11,0.273,1,5,0.2,1,1,1.0,0,3,3,0,2,0,5,5,8,5,2020,127.0,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210.0,Denver Nuggets,regular season
111,111,Denver Nuggets,Jamal Murray,Portland Trail Blazers,W,10/23/2019,33:47,4,14,0.28600000000000003,3,6,0.5,3,4,0.75,1,4,5,6,1,0,2,1,14,9,2020,124.0,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215.0,Denver Nuggets,regular season
112,112,Denver Nuggets,Paul Millsap,Portland Trail Blazers,W,10/23/2019,31:46,3,8,0.375,3,4,0.75,2,2,1.0,0,5,5,2,3,2,2,3,11,4,2020,129.0,PF,https://www.basketball-reference.com/players/m/millspa01.html,4,6-7,257.0,Denver Nuggets,regular season
113,113,Denver Nuggets,Will Barton,Portland Trail Blazers,W,10/23/2019,31:26,3,8,0.375,2,3,0.667,11,12,0.917,1,4,5,2,2,1,1,1,19,2,2020,125.0,SF,https://www.basketball-reference.com/players/b/bartowi01.html,5,6-5,181.0,Denver Nuggets,regular season
114,114,Denver Nuggets,Nikola Jokic,Portland Trail Blazers,W,10/23/2019,23:54,8,14,0.5710000000000001,3,5,0.6,1,2,0.5,4,9,13,2,0,0,4,4,20,14,2020,120.0,C,https://www.basketball-reference.com/players/j/jokicni01.html,15,7-0,284.0,Denver Nuggets,regular season
225,225,Denver Nuggets,Jamal Murray,Phoenix Suns,W,10/25/2019,40:37,8,19,0.42100000000000004,2,5,0.4,9,11,0.818,1,6,7,3,1,1,3,4,27,3,2020,124.0,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215.0,Denver Nuggets,regular season
226,226,Denver Nuggets,Nikola Jokic,Phoenix Suns,W,10/25/2019,40:32,8,18,0.444,0,2,0.0,7,9,0.778,3,11,14,12,1,2,5,4,23,8,2020,120.0,C,https://www.basketball-reference.com/players/j/jokicni01.html,15,7-0,284.0,Denver Nuggets,regular season
227,227,Denver Nuggets,Gary Harris,Phoenix Suns,W,10/25/2019,34:08,4,9,0.444,1,2,0.5,4,5,0.8,0,3,3,0,2,0,1,3,13,7,2020,127.0,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210.0,Denver Nuggets,regular season
228,228,Denver Nuggets,Paul Millsap,Phoenix Suns,W,10/25/2019,21:34,3,6,0.5,0,2,0.0,2,2,1.0,0,2,2,2,1,1,0,2,8,5,2020,129.0,PF,https://www.basketball-reference.com/players/m/millspa01.html,4,6-7,257.0,Denver Nuggets,regular season
229,229,Denver Nuggets,Will Barton,Phoenix Suns,W,10/25/2019,20:39,1,6,0.16699999999999998,1,4,0.25,2,2,1.0,0,0,0,0,1,3,0,0,5,13,2020,125.0,SF,https://www.basketball-reference.com/players/b/bartowi01.html,5,6-5,181.0,Denver Nuggets,regular season
490,490,Denver Nuggets,Jamal Murray,Sacramento Kings,W,10/28/2019,30:58,6,14,0.429,2,7,0.28600000000000003,4,4,1.0,1,3,4,3,1,0,2,3,18,7,2020,124.0,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215.0,Denver Nuggets,regular season
491,491,Denver Nuggets,Gary Harris,Sacramento Kings,W,10/28/2019,29:12,5,9,0.556,3,4,0.75,4,4,1.0,0,4,4,2,1,0,1,1,17,0,2020,127.0,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210.0,Denver Nuggets,regular season
