,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
155,155,Golden State Warriors,D'Angelo Russell,Los Angeles Clippers,L,10/24/2019,33:15,6,16,0.375,4,8,0.5,4,4,1.0,0,0,0,8,0,0,1,2,20,-35,2020,299.0,PG,https://www.basketball-reference.com/players/r/russeda01.html,0,6-4,193.0,Minnesota Timberwolves,regular season
156,156,Golden State Warriors,Glenn Robinson,Los Angeles Clippers,L,10/24/2019,30:14,5,10,0.5,1,4,0.25,2,2,1.0,2,3,5,2,0,0,0,3,13,-22,2020,,,,,,,,regular season
157,157,Golden State Warriors,Stephen Curry,Los Angeles Clippers,L,10/24/2019,29:48,8,20,0.4,2,11,0.182,5,5,1.0,1,3,4,4,1,0,8,3,23,-19,2020,165.0,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185.0,Golden State Warriors,regular season
158,158,Golden State Warriors,Draymond Green,Los Angeles Clippers,L,10/24/2019,28:25,3,6,0.5,1,2,0.5,4,4,1.0,0,4,4,3,1,0,0,3,11,-35,2020,159.0,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230.0,Golden State Warriors,regular season
159,159,Golden State Warriors,Kevon Looney,Los Angeles Clippers,L,10/24/2019,10:27,1,4,0.25,1,1,1.0,0,0,,5,4,9,1,0,0,1,3,3,-4,2020,160.0,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222.0,Golden State Warriors,regular season
350,350,Golden State Warriors,Stephen Curry,Oklahoma City Thunder,L,10/27/2019,30:08,7,18,0.389,2,9,0.222,7,7,1.0,2,6,8,5,0,0,2,0,23,-30,2020,165.0,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185.0,Golden State Warriors,regular season
351,351,Golden State Warriors,Draymond Green,Oklahoma City Thunder,L,10/27/2019,23:57,4,9,0.444,1,4,0.25,1,1,1.0,0,5,5,2,2,0,1,2,10,-23,2020,159.0,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230.0,Golden State Warriors,regular season
352,352,Golden State Warriors,Marquese Chriss,Oklahoma City Thunder,L,10/27/2019,23:10,3,7,0.429,0,1,0.0,4,6,0.667,2,2,4,3,4,0,3,3,10,-28,2020,155.0,PF,https://www.basketball-reference.com/players/c/chrisma01.html,32,6-9,240.0,Golden State Warriors,regular season
353,353,Golden State Warriors,D'Angelo Russell,Oklahoma City Thunder,L,10/27/2019,22:23,3,10,0.3,0,1,0.0,0,0,,0,1,1,2,0,0,2,2,6,-23,2020,299.0,PG,https://www.basketball-reference.com/players/r/russeda01.html,0,6-4,193.0,Minnesota Timberwolves,regular season
354,354,Golden State Warriors,Glenn Robinson,Oklahoma City Thunder,L,10/27/2019,20:46,1,7,0.14300000000000002,0,3,0.0,1,2,0.5,4,2,6,0,2,0,2,1,3,-29,2020,,,,,,,,regular season
450,450,Golden State Warriors,Draymond Green,New Orleans Pelicans,W,10/28/2019,33:53,7,12,0.583,0,1,0.0,2,3,0.667,3,14,17,10,2,0,4,1,16,36,2020,159.0,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230.0,Golden State Warriors,regular season
451,451,Golden State Warriors,D'Angelo Russell,New Orleans Pelicans,W,10/28/2019,33:39,9,21,0.429,3,11,0.273,3,6,0.5,1,6,7,8,0,0,3,1,24,12,2020,299.0,PG,https://www.basketball-reference.com/players/r/russeda01.html,0,6-4,193.0,Minnesota Timberwolves,regular season
452,452,Golden State Warriors,Stephen Curry,New Orleans Pelicans,W,10/28/2019,31:00,9,17,0.529,4,10,0.4,4,4,1.0,1,2,3,11,3,0,1,5,26,32,2020,165.0,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185.0,Golden State Warriors,regular season
453,453,Golden State Warriors,Glenn Robinson,New Orleans Pelicans,W,10/28/2019,30:58,5,13,0.385,0,1,0.0,2,2,1.0,4,5,9,2,1,1,0,0,12,30,2020,,,,,,,,regular season
454,454,Golden State Warriors,Jordan Poole,New Orleans Pelicans,W,10/28/2019,26:26,4,10,0.4,3,5,0.6,2,2,1.0,0,1,1,0,2,0,1,5,13,-21,2020,156.0,SG,https://www.basketball-reference.com/players/p/poolejo01.html,3,6-4,194.0,Golden State Warriors,regular season
645,645,Golden State Warriors,Eric Paschall,Phoenix Suns,L,10/30/2019,37:33,7,9,0.778,0,0,,6,6,1.0,1,2,3,0,1,2,0,2,20,19,2020,154.0,PF,https://www.basketball-reference.com/players/p/pascher01.html,7,6-6,255.0,Golden State Warriors,regular season
646,646,Golden State Warriors,Glenn Robinson,Phoenix Suns,L,10/30/2019,31:03,6,10,0.6,1,2,0.5,4,4,1.0,0,2,2,1,1,1,2,3,17,-7,2020,,,,,,,,regular season
647,647,Golden State Warriors,D'Angelo Russell,Phoenix Suns,L,10/30/2019,29:48,5,12,0.41700000000000004,1,4,0.25,4,8,0.5,1,6,7,6,0,0,3,1,15,-28,2020,299.0,PG,https://www.basketball-reference.com/players/r/russeda01.html,0,6-4,193.0,Minnesota Timberwolves,regular season
648,648,Golden State Warriors,Draymond Green,Phoenix Suns,L,10/30/2019,23:45,2,8,0.25,0,2,0.0,0,2,0.0,0,5,5,4,1,0,1,2,4,-30,2020,159.0,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230.0,Golden State Warriors,regular season
649,649,Golden State Warriors,Stephen Curry,Phoenix Suns,L,10/30/2019,21:09,3,11,0.273,1,7,0.14300000000000002,2,2,1.0,0,5,5,6,1,2,4,2,9,-13,2020,165.0,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185.0,Golden State Warriors,regular season
805,805,Golden State Warriors,Draymond Green,San Antonio Spurs,L,11/01/2019,34:26,2,7,0.28600000000000003,2,4,0.5,0,0,,1,7,8,7,1,0,1,3,6,-16,2020,159.0,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230.0,Golden State Warriors,regular season
806,806,Golden State Warriors,D'Angelo Russell,San Antonio Spurs,L,11/01/2019,33:02,9,24,0.375,3,11,0.273,9,10,0.9,0,3,3,8,0,1,1,1,30,-5,2020,299.0,PG,https://www.basketball-reference.com/players/r/russeda01.html,0,6-4,193.0,Minnesota Timberwolves,regular season
807,807,Golden State Warriors,Jordan Poole,San Antonio Spurs,L,11/01/2019,28:37,7,13,0.5379999999999999,4,7,0.5710000000000001,2,2,1.0,0,0,0,1,0,0,1,3,20,-8,2020,156.0,SG,https://www.basketball-reference.com/players/p/poolejo01.html,3,6-4,194.0,Golden State Warriors,regular season
808,808,Golden State Warriors,Glenn Robinson,San Antonio Spurs,L,11/01/2019,26:40,2,2,1.0,0,0,,0,0,,2,2,4,1,0,0,0,2,4,1,2020,,,,,,,,regular season
809,809,Golden State Warriors,Willie Cauley-Stein,San Antonio Spurs,L,11/01/2019,17:01,3,7,0.429,0,0,,0,0,,0,5,5,0,1,0,0,2,6,-4,2020,115.0,C,https://www.basketball-reference.com/players/c/caulewi01.html,33,7-0,240.0,Dallas Mavericks,regular season
