,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
145,145,Houston Rockets,P.J. Tucker,Milwaukee Bucks,L,10/24/2019,38:21,6,10,0.6,5,8,0.625,0,0,,2,5,7,0,1,0,2,5,17,-5,2020,167.0,PF,https://www.basketball-reference.com/players/t/tuckepj01.html,17,6-5,245.0,Houston Rockets,regular season
146,146,Houston Rockets,James Harden,Milwaukee Bucks,L,10/24/2019,36:26,2,13,0.154,1,8,0.125,14,14,1.0,2,5,7,14,1,1,7,5,19,-3,2020,169.0,SG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220.0,Houston Rockets,regular season
147,147,Houston Rockets,Russell Westbrook,Milwaukee Bucks,L,10/24/2019,32:52,7,17,0.41200000000000003,3,7,0.429,7,11,0.636,4,12,16,7,2,1,3,3,24,0,2020,172.0,PG,https://www.basketball-reference.com/players/w/westbru01.html,0,6-3,200.0,Houston Rockets,regular season
148,148,Houston Rockets,Clint Capela,Milwaukee Bucks,L,10/24/2019,30:54,5,10,0.5,0,0,,3,6,0.5,0,12,12,0,1,3,0,4,13,2,2020,14.0,C,https://www.basketball-reference.com/players/c/capelca01.html,,6-10,240.0,Atlanta Hawks,regular season
149,149,Houston Rockets,Danuel House,Milwaukee Bucks,L,10/24/2019,26:04,2,6,0.33299999999999996,2,4,0.5,2,2,1.0,0,2,2,3,1,1,1,2,8,10,2020,171.0,SF,https://www.basketball-reference.com/players/h/houseda01.html,4,6-6,220.0,Houston Rockets,regular season
315,315,Houston Rockets,P.J. Tucker,New Orleans Pelicans,W,10/26/2019,38:16,6,9,0.667,2,3,0.667,2,2,1.0,2,3,5,3,1,1,2,3,16,16,2020,167.0,PF,https://www.basketball-reference.com/players/t/tuckepj01.html,17,6-5,245.0,Houston Rockets,regular season
316,316,Houston Rockets,James Harden,New Orleans Pelicans,W,10/26/2019,36:05,8,29,0.276,2,18,0.111,11,12,0.917,0,4,4,5,1,0,8,3,29,7,2020,169.0,SG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220.0,Houston Rockets,regular season
317,317,Houston Rockets,Russell Westbrook,New Orleans Pelicans,W,10/26/2019,33:35,9,17,0.529,1,3,0.33299999999999996,9,10,0.9,0,10,10,13,1,0,4,3,28,-7,2020,172.0,PG,https://www.basketball-reference.com/players/w/westbru01.html,0,6-3,200.0,Houston Rockets,regular season
318,318,Houston Rockets,Danuel House,New Orleans Pelicans,W,10/26/2019,30:06,4,6,0.667,4,5,0.8,3,3,1.0,1,7,8,0,0,1,0,1,15,0,2020,171.0,SF,https://www.basketball-reference.com/players/h/houseda01.html,4,6-6,220.0,Houston Rockets,regular season
319,319,Houston Rockets,Clint Capela,New Orleans Pelicans,W,10/26/2019,24:35,7,9,0.778,0,0,,1,1,1.0,2,4,6,2,1,2,2,5,15,2,2020,14.0,C,https://www.basketball-reference.com/players/c/capelca01.html,,6-10,240.0,Atlanta Hawks,regular season
