,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
34,34,Indiana Pacers,Edmond Sumner,Detroit Pistons,L,10/23/2019,21:53,3,6,0.5,0,0,,0,0,,1,0,1,2,3,0,1,4,6,-23.0,2020,196.0,PG,https://www.basketball-reference.com/players/s/sumneed01.html,5,6-4,196.0,Indiana Pacers,regular season
35,35,Indiana Pacers,Justin Holiday,Detroit Pistons,L,10/23/2019,14:34,0,2,0.0,0,1,0.0,0,0,,0,0,0,2,1,0,0,3,0,-8.0,2020,185.0,SG,https://www.basketball-reference.com/players/h/holidju01.html,8,6-6,180.0,Indiana Pacers,regular season
36,36,Indiana Pacers,T.J. McConnell,Detroit Pistons,L,10/23/2019,13:25,2,4,0.5,0,0,,0,0,,0,3,3,3,0,1,1,2,4,-2.0,2020,186.0,PG,https://www.basketball-reference.com/players/m/mccontj01.html,9,6-1,190.0,Indiana Pacers,regular season
37,37,Indiana Pacers,Doug McDermott,Detroit Pistons,L,10/23/2019,11:00,2,4,0.5,2,3,0.667,0,0,,0,0,0,1,0,0,1,0,6,-4.0,2020,187.0,PF,https://www.basketball-reference.com/players/m/mcderdo01.html,20,6-7,225.0,Indiana Pacers,regular season
38,38,Indiana Pacers,Aaron Holiday,Detroit Pistons,L,10/23/2019,6:44,0,6,0.0,0,1,0.0,0,0,,0,1,1,2,1,0,1,2,0,-1.0,2020,189.0,PG,https://www.basketball-reference.com/players/h/holidaa01.html,3,6-0,185.0,Indiana Pacers,regular season
39,39,Indiana Pacers,T.J. Leaf,Detroit Pistons,L,10/23/2019,3:22,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.0,2020,197.0,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222.0,Indiana Pacers,regular season
360,360,Indiana Pacers,Justin Holiday,Cleveland Cavaliers,L,10/26/2019,24:07,4,10,0.4,2,7,0.28600000000000003,0,0,,2,3,5,2,2,0,0,5,10,-1.0,2020,185.0,SG,https://www.basketball-reference.com/players/h/holidju01.html,8,6-6,180.0,Indiana Pacers,regular season
361,361,Indiana Pacers,T.J. McConnell,Cleveland Cavaliers,L,10/26/2019,20:48,1,6,0.16699999999999998,0,1,0.0,0,0,,1,3,4,5,2,0,3,0,2,-3.0,2020,186.0,PG,https://www.basketball-reference.com/players/m/mccontj01.html,9,6-1,190.0,Indiana Pacers,regular season
362,362,Indiana Pacers,T.J. Leaf,Cleveland Cavaliers,L,10/26/2019,18:03,1,5,0.2,1,2,0.5,2,2,1.0,2,1,3,2,0,0,2,2,5,11.0,2020,197.0,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222.0,Indiana Pacers,regular season
363,363,Indiana Pacers,Doug McDermott,Cleveland Cavaliers,L,10/26/2019,12:17,1,5,0.2,1,3,0.33299999999999996,0,0,,0,2,2,0,0,1,1,1,3,4.0,2020,187.0,PF,https://www.basketball-reference.com/players/m/mcderdo01.html,20,6-7,225.0,Indiana Pacers,regular season
364,364,Indiana Pacers,Goga Bitadze,Cleveland Cavaliers,L,10/26/2019,4:26,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.0,2020,193.0,C,https://www.basketball-reference.com/players/b/bitadgo01.html,88,6-11,250.0,Indiana Pacers,regular season
479,479,Indiana Pacers,Justin Holiday,Detroit Pistons,L,10/28/2019,22:49,2,5,0.4,2,4,0.5,0,0,,0,6,6,1,1,2,1,3,6,-9.0,2020,185.0,SG,https://www.basketball-reference.com/players/h/holidju01.html,8,6-6,180.0,Indiana Pacers,regular season
480,480,Indiana Pacers,Doug McDermott,Detroit Pistons,L,10/28/2019,13:53,0,2,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,1,2,0,0.0,2020,187.0,PF,https://www.basketball-reference.com/players/m/mcderdo01.html,20,6-7,225.0,Indiana Pacers,regular season
481,481,Indiana Pacers,T.J. McConnell,Detroit Pistons,L,10/28/2019,13:21,3,7,0.429,0,0,,0,0,,1,2,3,3,1,0,1,1,6,-1.0,2020,186.0,PG,https://www.basketball-reference.com/players/m/mccontj01.html,9,6-1,190.0,Indiana Pacers,regular season
482,482,Indiana Pacers,T.J. Leaf,Detroit Pistons,L,10/28/2019,11:56,3,5,0.6,0,0,,0,0,,1,2,3,0,0,0,0,1,6,-7.0,2020,197.0,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222.0,Indiana Pacers,regular season
665,665,Indiana Pacers,Doug McDermott,Brooklyn Nets,W,10/30/2019,32:07,2,4,0.5,2,3,0.667,0,0,,0,4,4,0,0,0,0,4,6,1.0,2020,187.0,PF,https://www.basketball-reference.com/players/m/mcderdo01.html,20,6-7,225.0,Indiana Pacers,regular season
