,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
15,15,Los Angeles Clippers,Kawhi Leonard,Los Angeles Lakers,W,10/22/2019,31:33,10,19,0.526,1,5,0.2,9,10,0.9,1,5,6,5,2,1,6,5,30,5,2020,207.0,SF,https://www.basketball-reference.com/players/l/leonaka01.html,2,6-7,225.0,Los Angeles Clippers,regular season
16,16,Los Angeles Clippers,Patrick Beverley,Los Angeles Lakers,W,10/22/2019,31:22,1,7,0.14300000000000002,0,5,0.0,0,0,,2,8,10,6,0,1,2,4,2,13,2020,210.0,PG,https://www.basketball-reference.com/players/b/beverpa01.html,21,6-1,180.0,Los Angeles Clippers,regular season
17,17,Los Angeles Clippers,Landry Shamet,Los Angeles Lakers,W,10/22/2019,26:26,3,8,0.375,2,4,0.5,0,0,,0,3,3,2,0,0,0,1,8,-1,2020,209.0,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190.0,Los Angeles Clippers,regular season
18,18,Los Angeles Clippers,Patrick Patterson,Los Angeles Lakers,W,10/22/2019,17:29,1,3,0.33299999999999996,1,3,0.33299999999999996,1,2,0.5,1,2,3,0,0,0,0,2,4,-2,2020,206.0,PF,https://www.basketball-reference.com/players/p/pattepa01.html,54,6-8,235.0,Los Angeles Clippers,regular season
19,19,Los Angeles Clippers,Ivica Zubac,Los Angeles Lakers,W,10/22/2019,9:38,4,4,1.0,0,0,,0,0,,1,0,1,0,0,0,0,2,8,-5,2020,202.0,C,https://www.basketball-reference.com/players/z/zubaciv01.html,40,7-0,240.0,Los Angeles Clippers,regular season
150,150,Los Angeles Clippers,Landry Shamet,Golden State Warriors,W,10/24/2019,33:56,4,5,0.8,3,4,0.75,0,0,,0,0,0,3,0,1,1,2,11,15,2020,209.0,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190.0,Los Angeles Clippers,regular season
151,151,Los Angeles Clippers,Patrick Beverley,Golden State Warriors,W,10/24/2019,28:14,2,4,0.5,1,3,0.33299999999999996,0,0,,0,4,4,3,5,0,2,3,5,20,2020,210.0,PG,https://www.basketball-reference.com/players/b/beverpa01.html,21,6-1,180.0,Los Angeles Clippers,regular season
152,152,Los Angeles Clippers,Patrick Patterson,Golden State Warriors,W,10/24/2019,28:10,7,13,0.5379999999999999,6,10,0.6,0,0,,0,3,3,1,0,0,1,3,20,30,2020,206.0,PF,https://www.basketball-reference.com/players/p/pattepa01.html,54,6-8,235.0,Los Angeles Clippers,regular season
153,153,Los Angeles Clippers,Kawhi Leonard,Golden State Warriors,W,10/24/2019,21:26,9,17,0.529,1,3,0.33299999999999996,2,4,0.5,0,5,5,9,0,0,1,0,21,27,2020,207.0,SF,https://www.basketball-reference.com/players/l/leonaka01.html,2,6-7,225.0,Los Angeles Clippers,regular season
154,154,Los Angeles Clippers,Ivica Zubac,Golden State Warriors,W,10/24/2019,17:52,4,5,0.8,0,0,,8,9,0.889,1,9,10,1,0,2,1,2,16,22,2020,202.0,C,https://www.basketball-reference.com/players/z/zubaciv01.html,40,7-0,240.0,Los Angeles Clippers,regular season
