,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
65,65,Miami Heat,Justise Winslow,Memphis Grizzlies,W,10/23/2019,36:58,10,21,0.47600000000000003,1,2,0.5,6,9,0.667,2,5,7,7,1,1,3,2,27,22,2020,252.0,F,https://www.basketball-reference.com/players/w/winslju01.html,,6-6,222.0,Memphis Grizzlies,regular season
66,66,Miami Heat,Tyler Herro,Memphis Grizzlies,W,10/23/2019,33:54,6,14,0.429,1,2,0.5,1,1,1.0,0,8,8,1,2,0,1,2,14,10,2020,261.0,SG,https://www.basketball-reference.com/players/h/herroty01.html,14,6-5,195.0,Miami Heat,regular season
67,67,Miami Heat,Kendrick Nunn,Memphis Grizzlies,W,10/23/2019,26:31,10,18,0.556,1,2,0.5,3,3,1.0,0,2,2,3,2,0,1,5,24,27,2020,256.0,SG,https://www.basketball-reference.com/players/n/nunnke01.html,25,6-2,190.0,Miami Heat,regular season
68,68,Miami Heat,Bam Adebayo,Memphis Grizzlies,W,10/23/2019,24:03,3,7,0.429,0,0,,8,10,0.8,4,7,11,3,1,0,5,3,14,10,2020,255.0,PF,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255.0,Miami Heat,regular season
69,69,Miami Heat,Meyers Leonard,Memphis Grizzlies,W,10/23/2019,18:41,0,2,0.0,0,2,0.0,0,0,,0,3,3,0,1,0,0,4,0,-6,2020,262.0,C,https://www.basketball-reference.com/players/l/leoname01.html,0,7-0,260.0,Miami Heat,regular season
250,250,Miami Heat,Justise Winslow,Milwaukee Bucks,W,10/26/2019,40:40,4,16,0.25,0,2,0.0,2,6,0.33299999999999996,4,9,13,7,1,0,3,4,10,16,2020,252.0,F,https://www.basketball-reference.com/players/w/winslju01.html,,6-6,222.0,Memphis Grizzlies,regular season
251,251,Miami Heat,Bam Adebayo,Milwaukee Bucks,W,10/26/2019,38:28,5,9,0.556,0,1,0.0,9,12,0.75,2,11,13,8,0,1,3,2,19,-2,2020,255.0,PF,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255.0,Miami Heat,regular season
252,252,Miami Heat,Tyler Herro,Milwaukee Bucks,W,10/26/2019,32:20,6,16,0.375,2,7,0.28600000000000003,0,0,,0,5,5,0,0,0,3,3,14,-9,2020,261.0,SG,https://www.basketball-reference.com/players/h/herroty01.html,14,6-5,195.0,Miami Heat,regular season
253,253,Miami Heat,Kendrick Nunn,Milwaukee Bucks,W,10/26/2019,28:31,8,17,0.47100000000000003,2,8,0.25,0,0,,0,4,4,5,2,1,1,6,18,-3,2020,256.0,SG,https://www.basketball-reference.com/players/n/nunnke01.html,25,6-2,190.0,Miami Heat,regular season
254,254,Miami Heat,Meyers Leonard,Milwaukee Bucks,W,10/26/2019,23:30,3,4,0.75,2,2,1.0,0,0,,1,6,7,0,1,0,1,3,8,-8,2020,262.0,C,https://www.basketball-reference.com/players/l/leoname01.html,0,7-0,260.0,Miami Heat,regular season
380,380,Miami Heat,Justise Winslow,Minnesota Timberwolves,L,10/27/2019,42:42,8,17,0.47100000000000003,2,3,0.667,2,2,1.0,1,7,8,6,1,2,4,4,20,-1,2020,252.0,F,https://www.basketball-reference.com/players/w/winslju01.html,,6-6,222.0,Memphis Grizzlies,regular season
381,381,Miami Heat,Kendrick Nunn,Minnesota Timberwolves,L,10/27/2019,40:14,9,17,0.529,5,9,0.556,2,2,1.0,0,4,4,2,2,0,4,1,25,-4,2020,256.0,SG,https://www.basketball-reference.com/players/n/nunnke01.html,25,6-2,190.0,Miami Heat,regular season
