,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
99,99,New York Knicks,Elfrid Payton,San Antonio Spurs,L,10/23/2019,26:03,4,9,0.444,1,2,0.5,2,2,1.0,0,2,2,8,5,0,0,5,11,14.0,2020,330.0,PG,https://www.basketball-reference.com/players/p/paytoel01.html,6,6-3,195.0,New York Knicks,regular season
100,100,New York Knicks,Kevin Knox,San Antonio Spurs,L,10/23/2019,21:10,5,9,0.556,3,4,0.75,0,0,,0,5,5,0,0,0,1,5,13,-11.0,2020,323.0,SF,https://www.basketball-reference.com/players/k/knoxke01.html,20,6-7,215.0,New York Knicks,regular season
101,101,New York Knicks,Taj Gibson,San Antonio Spurs,L,10/23/2019,14:55,1,5,0.2,0,1,0.0,0,0,,2,2,4,0,0,0,2,2,2,-4.0,2020,325.0,C,https://www.basketball-reference.com/players/g/gibsota01.html,67,6-9,232.0,New York Knicks,regular season
102,102,New York Knicks,Wayne Ellington,San Antonio Spurs,L,10/23/2019,12:56,1,4,0.25,1,4,0.25,0,0,,0,1,1,1,0,1,2,1,3,-13.0,2020,331.0,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207.0,New York Knicks,regular season
103,103,New York Knicks,Dennis Smith,San Antonio Spurs,L,10/23/2019,10:20,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,0,0,0,3,2,-3.0,2020,,,,,,,,regular season
104,104,New York Knicks,Frank Ntilikina,San Antonio Spurs,L,10/23/2019,2:54,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,2,1,0,-6.0,2020,327.0,PG,https://www.basketball-reference.com/players/n/ntilila01.html,11,6-4,200.0,New York Knicks,regular season
209,209,New York Knicks,Kevin Knox,Brooklyn Nets,L,10/25/2019,28:40,5,8,0.625,4,4,1.0,2,2,1.0,0,1,1,2,1,0,0,3,16,2.0,2020,323.0,SF,https://www.basketball-reference.com/players/k/knoxke01.html,20,6-7,215.0,New York Knicks,regular season
210,210,New York Knicks,Allonzo Trier,Brooklyn Nets,L,10/25/2019,23:25,6,7,0.857,3,4,0.75,7,11,0.636,0,3,3,2,1,1,4,5,22,-3.0,2020,,,,,,,,regular season
211,211,New York Knicks,Taj Gibson,Brooklyn Nets,L,10/25/2019,13:59,1,2,0.5,0,0,,0,0,,1,3,4,2,1,0,1,2,2,-2.0,2020,325.0,C,https://www.basketball-reference.com/players/g/gibsota01.html,67,6-9,232.0,New York Knicks,regular season
212,212,New York Knicks,Wayne Ellington,Brooklyn Nets,L,10/25/2019,11:14,3,4,0.75,3,4,0.75,0,0,,0,2,2,0,0,0,2,0,9,5.0,2020,331.0,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207.0,New York Knicks,regular season
213,213,New York Knicks,Bobby Portis,Brooklyn Nets,L,10/25/2019,9:57,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,2,2,2,0.0,2020,322.0,C,https://www.basketball-reference.com/players/p/portibo01.html,1,6-10,250.0,New York Knicks,regular season
214,214,New York Knicks,Dennis Smith,Brooklyn Nets,L,10/25/2019,4:31,0,4,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,1,0,0,1,-8.0,2020,,,,,,,,regular season
337,337,New York Knicks,Bobby Portis,Boston Celtics,L,10/26/2019,27:17,3,10,0.3,0,4,0.0,2,2,1.0,2,9,11,1,0,1,2,5,8,-14.0,2020,322.0,C,https://www.basketball-reference.com/players/p/portibo01.html,1,6-10,250.0,New York Knicks,regular season
338,338,New York Knicks,Kevin Knox,Boston Celtics,L,10/26/2019,25:40,2,7,0.28600000000000003,0,3,0.0,3,6,0.5,0,8,8,0,0,0,1,1,7,-28.0,2020,323.0,SF,https://www.basketball-reference.com/players/k/knoxke01.html,20,6-7,215.0,New York Knicks,regular season
339,339,New York Knicks,Allonzo Trier,Boston Celtics,L,10/26/2019,20:50,0,4,0.0,0,4,0.0,2,2,1.0,0,1,1,1,0,0,1,3,2,-25.0,2020,,,,,,,,regular season
340,340,New York Knicks,Dennis Smith,Boston Celtics,L,10/26/2019,11:21,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,1,0,2,3,0,-15.0,2020,,,,,,,,regular season
