,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
125,125,Phoenix Suns,Deandre Ayton,Sacramento Kings,W,10/23/2019,33:24,9,14,0.643,0,0,,0,0,,3,8,11,0,1,4,0,2,18,25,2020,401.0,C,https://www.basketball-reference.com/players/a/aytonde01.html,22,6-11,250.0,Phoenix Suns,regular season
126,126,Phoenix Suns,Devin Booker,Sacramento Kings,W,10/23/2019,32:18,10,17,0.588,2,4,0.5,0,1,0.0,0,2,2,10,1,0,3,5,22,25,2020,391.0,SG,https://www.basketball-reference.com/players/b/bookede01.html,1,6-5,206.0,Phoenix Suns,regular season
127,127,Phoenix Suns,Kelly Oubre,Sacramento Kings,W,10/23/2019,30:04,8,17,0.47100000000000003,1,6,0.16699999999999998,4,4,1.0,2,7,9,1,1,2,2,1,21,19,2020,,,,,,,,regular season
128,128,Phoenix Suns,Ricky Rubio,Sacramento Kings,W,10/23/2019,29:41,4,12,0.33299999999999996,0,2,0.0,3,4,0.75,2,4,6,11,4,0,4,2,11,15,2020,393.0,PG,https://www.basketball-reference.com/players/r/rubiori01.html,11,6-3,190.0,Phoenix Suns,regular season
129,129,Phoenix Suns,Dario Saric,Sacramento Kings,W,10/23/2019,21:16,2,7,0.28600000000000003,1,4,0.25,2,2,1.0,0,4,4,0,1,1,0,1,7,12,2020,392.0,PF,https://www.basketball-reference.com/players/s/saricda01.html,20,6-10,225.0,Phoenix Suns,regular season
220,220,Phoenix Suns,Devin Booker,Denver Nuggets,L,10/25/2019,41:24,6,21,0.28600000000000003,1,8,0.125,5,6,0.833,0,5,5,7,0,1,3,5,18,0,2020,391.0,SG,https://www.basketball-reference.com/players/b/bookede01.html,1,6-5,206.0,Phoenix Suns,regular season
221,221,Phoenix Suns,Kelly Oubre,Denver Nuggets,L,10/25/2019,36:55,7,12,0.583,3,5,0.6,6,6,1.0,2,6,8,2,2,0,2,6,23,-11,2020,,,,,,,,regular season
222,222,Phoenix Suns,Ricky Rubio,Denver Nuggets,L,10/25/2019,35:31,1,7,0.14300000000000002,0,1,0.0,7,7,1.0,0,8,8,9,3,0,5,6,9,-1,2020,393.0,PG,https://www.basketball-reference.com/players/r/rubiori01.html,11,6-3,190.0,Phoenix Suns,regular season
223,223,Phoenix Suns,Dario Saric,Denver Nuggets,L,10/25/2019,31:26,3,11,0.273,0,3,0.0,0,0,,2,6,8,2,0,0,1,2,6,-6,2020,392.0,PF,https://www.basketball-reference.com/players/s/saricda01.html,20,6-10,225.0,Phoenix Suns,regular season
224,224,Phoenix Suns,Aron Baynes,Denver Nuggets,L,10/25/2019,29:23,6,10,0.6,1,3,0.33299999999999996,2,2,1.0,4,3,7,3,0,0,1,6,15,3,2020,399.0,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260.0,Phoenix Suns,regular season
345,345,Phoenix Suns,Devin Booker,Los Angeles Clippers,W,10/26/2019,38:27,10,20,0.5,3,6,0.5,7,8,0.875,1,5,6,8,0,0,4,5,30,12,2020,391.0,SG,https://www.basketball-reference.com/players/b/bookede01.html,1,6-5,206.0,Phoenix Suns,regular season
