,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
120,120,Sacramento Kings,Buddy Hield,Phoenix Suns,L,10/23/2019,31:10,10,19,0.526,6,12,0.5,2,2,1.0,2,3,5,2,0,0,5,2,28,-15,2020,423.0,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220.0,Sacramento Kings,regular season
121,121,Sacramento Kings,Harrison Barnes,Phoenix Suns,L,10/23/2019,30:10,5,11,0.455,1,3,0.33299999999999996,1,3,0.33299999999999996,0,6,6,1,1,0,4,3,12,-20,2020,424.0,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225.0,Sacramento Kings,regular season
122,122,Sacramento Kings,Marvin Bagley,Phoenix Suns,L,10/23/2019,27:42,6,16,0.375,0,0,,2,4,0.5,4,6,10,0,1,1,1,1,14,-21,2020,,,,,,,,regular season
123,123,Sacramento Kings,De'Aaron Fox,Phoenix Suns,L,10/23/2019,26:33,3,7,0.429,0,1,0.0,2,4,0.5,0,1,1,5,0,0,5,5,8,-17,2020,428.0,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185.0,Sacramento Kings,regular season
124,124,Sacramento Kings,Dewayne Dedmon,Phoenix Suns,L,10/23/2019,14:13,1,3,0.33299999999999996,0,1,0.0,1,1,1.0,1,5,6,1,0,1,2,3,3,-7,2020,12.0,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245.0,Atlanta Hawks,regular season
235,235,Sacramento Kings,De'Aaron Fox,Portland Trail Blazers,L,10/25/2019,34:07,7,18,0.389,3,5,0.6,11,14,0.7859999999999999,0,6,6,5,0,0,3,3,28,-16,2020,428.0,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185.0,Sacramento Kings,regular season
236,236,Sacramento Kings,Harrison Barnes,Portland Trail Blazers,L,10/25/2019,33:29,5,10,0.5,2,3,0.667,1,1,1.0,3,2,5,1,1,0,0,0,13,-14,2020,424.0,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225.0,Sacramento Kings,regular season
237,237,Sacramento Kings,Buddy Hield,Portland Trail Blazers,L,10/25/2019,31:39,7,18,0.389,4,11,0.364,3,3,1.0,1,4,5,1,0,0,3,3,21,-8,2020,423.0,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220.0,Sacramento Kings,regular season
238,238,Sacramento Kings,Nemanja Bjelica,Portland Trail Blazers,L,10/25/2019,27:58,3,5,0.6,1,2,0.5,2,2,1.0,2,5,7,1,1,0,2,2,9,0,2020,425.0,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234.0,Sacramento Kings,regular season
239,239,Sacramento Kings,Dewayne Dedmon,Portland Trail Blazers,L,10/25/2019,20:54,3,9,0.33299999999999996,0,4,0.0,0,0,,3,5,8,0,1,0,4,5,6,-9,2020,12.0,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245.0,Atlanta Hawks,regular season
330,330,Sacramento Kings,Dewayne Dedmon,Utah Jazz,L,10/26/2019,28:01,3,8,0.375,2,5,0.4,3,3,1.0,2,4,6,0,0,1,7,3,11,-24,2020,12.0,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245.0,Atlanta Hawks,regular season
331,331,Sacramento Kings,Harrison Barnes,Utah Jazz,L,10/26/2019,21:56,3,5,0.6,0,0,,1,1,1.0,0,3,3,1,1,0,0,1,7,-32,2020,424.0,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225.0,Sacramento Kings,regular season
332,332,Sacramento Kings,De'Aaron Fox,Utah Jazz,L,10/26/2019,20:00,3,9,0.33299999999999996,1,3,0.33299999999999996,2,2,1.0,0,1,1,5,1,0,3,1,9,-27,2020,428.0,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185.0,Sacramento Kings,regular season
333,333,Sacramento Kings,Buddy Hield,Utah Jazz,L,10/26/2019,20:00,1,7,0.14300000000000002,1,3,0.33299999999999996,0,0,,0,2,2,0,0,0,1,0,3,-29,2020,423.0,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220.0,Sacramento Kings,regular season
334,334,Sacramento Kings,Nemanja Bjelica,Utah Jazz,L,10/26/2019,16:53,3,5,0.6,1,2,0.5,0,0,,1,2,3,1,0,0,1,3,7,-17,2020,425.0,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234.0,Sacramento Kings,regular season
495,495,Sacramento Kings,De'Aaron Fox,Denver Nuggets,L,10/28/2019,36:18,7,17,0.41200000000000003,3,9,0.33299999999999996,3,6,0.5,0,3,3,9,1,0,3,2,20,2,2020,428.0,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185.0,Sacramento Kings,regular season
496,496,Sacramento Kings,Nemanja Bjelica,Denver Nuggets,L,10/28/2019,34:48,4,11,0.364,4,6,0.667,0,0,,3,3,6,3,1,3,1,3,12,-10,2020,425.0,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234.0,Sacramento Kings,regular season
497,497,Sacramento Kings,Buddy Hield,Denver Nuggets,L,10/28/2019,33:52,2,13,0.154,1,6,0.16699999999999998,0,0,,1,3,4,4,1,2,5,5,5,-11,2020,423.0,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220.0,Sacramento Kings,regular season
498,498,Sacramento Kings,Harrison Barnes,Denver Nuggets,L,10/28/2019,32:20,5,12,0.41700000000000004,0,4,0.0,2,2,1.0,2,6,8,0,0,0,0,0,12,0,2020,424.0,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225.0,Sacramento Kings,regular season
499,499,Sacramento Kings,Dewayne Dedmon,Denver Nuggets,L,10/28/2019,16:54,2,6,0.33299999999999996,0,1,0.0,0,0,,3,0,3,0,1,1,1,4,4,-18,2020,12.0,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245.0,Atlanta Hawks,regular season
625,625,Sacramento Kings,Harrison Barnes,Charlotte Hornets,L,10/30/2019,40:28,10,18,0.556,1,4,0.25,1,2,0.5,1,6,7,1,3,0,1,1,22,1,2020,424.0,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225.0,Sacramento Kings,regular season
626,626,Sacramento Kings,Buddy Hield,Charlotte Hornets,L,10/30/2019,37:40,8,22,0.364,7,16,0.43799999999999994,0,0,,0,1,1,4,2,0,2,4,23,-7,2020,423.0,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220.0,Sacramento Kings,regular season
627,627,Sacramento Kings,De'Aaron Fox,Charlotte Hornets,L,10/30/2019,36:16,6,16,0.375,1,5,0.2,3,3,1.0,1,6,7,10,2,1,5,3,16,2,2020,428.0,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185.0,Sacramento Kings,regular season
628,628,Sacramento Kings,Richaun Holmes,Charlotte Hornets,L,10/30/2019,35:17,8,10,0.8,0,0,,1,2,0.5,4,5,9,2,2,3,4,4,17,3,2020,431.0,C,https://www.basketball-reference.com/players/h/holmeri01.html,22,6-10,235.0,Sacramento Kings,regular season
629,629,Sacramento Kings,Nemanja Bjelica,Charlotte Hornets,L,10/30/2019,24:48,5,6,0.833,1,2,0.5,0,0,,1,3,4,0,1,0,1,3,11,-6,2020,425.0,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234.0,Sacramento Kings,regular season
795,795,Sacramento Kings,De'Aaron Fox,Utah Jazz,W,11/01/2019,36:49,8,17,0.47100000000000003,0,1,0.0,9,12,0.75,2,3,5,4,0,1,3,2,25,7,2020,428.0,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185.0,Sacramento Kings,regular season
796,796,Sacramento Kings,Harrison Barnes,Utah Jazz,W,11/01/2019,31:29,6,13,0.462,1,3,0.33299999999999996,0,0,,4,2,6,3,3,0,2,2,13,-10,2020,424.0,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225.0,Sacramento Kings,regular season
797,797,Sacramento Kings,Buddy Hield,Utah Jazz,W,11/01/2019,29:45,9,16,0.563,0,5,0.0,0,0,,1,4,5,1,1,0,4,3,18,9,2020,423.0,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220.0,Sacramento Kings,regular season
798,798,Sacramento Kings,Nemanja Bjelica,Utah Jazz,W,11/01/2019,25:48,4,8,0.5,3,6,0.5,0,0,,1,5,6,3,1,0,1,2,11,14,2020,425.0,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234.0,Sacramento Kings,regular season
799,799,Sacramento Kings,Richaun Holmes,Utah Jazz,W,11/01/2019,20:15,4,6,0.667,0,0,,0,0,,1,1,2,1,2,0,1,4,8,-12,2020,431.0,C,https://www.basketball-reference.com/players/h/holmeri01.html,22,6-10,235.0,Sacramento Kings,regular season
910,910,Sacramento Kings,Harrison Barnes,New York Knicks,W,11/03/2019,39:35,6,12,0.5,3,7,0.429,4,4,1.0,0,4,4,1,1,1,0,2,19,28,2020,424.0,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225.0,Sacramento Kings,regular season
911,911,Sacramento Kings,De'Aaron Fox,New York Knicks,W,11/03/2019,34:47,8,18,0.444,1,3,0.33299999999999996,7,10,0.7,0,2,2,6,1,1,3,5,24,17,2020,428.0,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185.0,Sacramento Kings,regular season
