,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
87,87,Washington Wizards,Davis Bertans,Dallas Mavericks,L,10/23/2019,28:47,2,8,0.25,2,6,0.33299999999999996,1,1,1.0,0,4,4,0,1,0,1,5,7,-17.0,2020,495.0,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225.0,Washington Wizards,regular season
88,88,Washington Wizards,Jordan McRae,Dallas Mavericks,L,10/23/2019,23:08,4,9,0.444,1,3,0.33299999999999996,2,2,1.0,0,5,5,3,0,0,1,2,11,-7.0,2020,152.0,SG,https://www.basketball-reference.com/players/m/mcraejo01.html,52,6-5,179.0,Detroit Pistons,regular season
89,89,Washington Wizards,Chris Chiozza,Dallas Mavericks,L,10/23/2019,19:29,2,5,0.4,2,3,0.667,0,0,,0,3,3,3,1,1,2,4,6,-3.0,2020,45.0,PG,https://www.basketball-reference.com/players/c/chiozch01.html,4,5-11,175.0,Brooklyn Nets,regular season
90,90,Washington Wizards,Moritz Wagner,Dallas Mavericks,L,10/23/2019,16:38,4,5,0.8,3,4,0.75,2,2,1.0,1,1,2,0,0,0,5,6,13,5.0,2020,498.0,C,https://www.basketball-reference.com/players/w/wagnemo01.html,21,6-11,245.0,Washington Wizards,regular season
91,91,Washington Wizards,Admiral Schofield,Dallas Mavericks,L,10/23/2019,16:14,0,3,0.0,0,3,0.0,0,0,,0,0,0,1,0,0,0,1,0,-7.0,2020,500.0,SF,https://www.basketball-reference.com/players/s/schofad01.html,1,6-5,241.0,Washington Wizards,regular season
92,92,Washington Wizards,Garrison Mathews,Dallas Mavericks,L,10/23/2019,0:37,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,3.0,2020,505.0,SG,https://www.basketball-reference.com/players/m/mathega01.html,24,6-5,215.0,Washington Wizards,regular season
93,93,Washington Wizards,Justin Robinson,Dallas Mavericks,L,10/23/2019,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3.0,2020,,,,,,,,regular season
242,242,Washington Wizards,Davis Bertans,Oklahoma City Thunder,W,10/25/2019,27:28,5,12,0.41700000000000004,3,9,0.33299999999999996,0,0,,0,3,3,2,1,0,2,3,13,16.0,2020,495.0,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225.0,Washington Wizards,regular season
243,243,Washington Wizards,Moritz Wagner,Oklahoma City Thunder,W,10/25/2019,16:33,4,7,0.5710000000000001,1,2,0.5,1,2,0.5,1,6,7,0,0,1,5,1,10,9.0,2020,498.0,C,https://www.basketball-reference.com/players/w/wagnemo01.html,21,6-11,245.0,Washington Wizards,regular season
244,244,Washington Wizards,Chris Chiozza,Oklahoma City Thunder,W,10/25/2019,15:13,0,4,0.0,0,1,0.0,0,0,,0,1,1,4,1,1,1,2,0,5.0,2020,45.0,PG,https://www.basketball-reference.com/players/c/chiozch01.html,4,5-11,175.0,Brooklyn Nets,regular season
245,245,Washington Wizards,Garrison Mathews,Oklahoma City Thunder,W,10/25/2019,13:04,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,3,0,5.0,2020,505.0,SG,https://www.basketball-reference.com/players/m/mathega01.html,24,6-5,215.0,Washington Wizards,regular season
246,246,Washington Wizards,Admiral Schofield,Oklahoma City Thunder,W,10/25/2019,10:14,2,2,1.0,1,1,1.0,2,2,1.0,2,3,5,0,0,0,0,0,7,3.0,2020,500.0,SF,https://www.basketball-reference.com/players/s/schofad01.html,1,6-5,241.0,Washington Wizards,regular season
382,382,Washington Wizards,Davis Bertans,San Antonio Spurs,L,10/26/2019,32:29,7,7,1.0,5,5,1.0,4,5,0.8,0,2,2,1,0,1,0,0,23,-6.0,2020,495.0,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225.0,Washington Wizards,regular season
383,383,Washington Wizards,Isaiah Thomas,San Antonio Spurs,L,10/26/2019,19:37,6,14,0.429,4,10,0.4,0,0,,0,3,3,5,0,0,2,2,16,2.0,2020,,,,,,,,regular season
384,384,Washington Wizards,Moritz Wagner,San Antonio Spurs,L,10/26/2019,17:35,4,7,0.5710000000000001,1,3,0.33299999999999996,0,0,,1,3,4,1,0,3,2,4,9,4.0,2020,498.0,C,https://www.basketball-reference.com/players/w/wagnemo01.html,21,6-11,245.0,Washington Wizards,regular season
385,385,Washington Wizards,Admiral Schofield,San Antonio Spurs,L,10/26/2019,8:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2.0,2020,500.0,SF,https://www.basketball-reference.com/players/s/schofad01.html,1,6-5,241.0,Washington Wizards,regular season
716,716,Washington Wizards,Davis Bertans,Houston Rockets,L,10/30/2019,26:57,7,10,0.7,6,9,0.667,1,1,1.0,0,3,3,2,0,0,0,4,21,4.0,2020,495.0,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225.0,Washington Wizards,regular season
717,717,Washington Wizards,Isaiah Thomas,Houston Rockets,L,10/30/2019,24:21,6,11,0.545,2,4,0.5,3,3,1.0,1,1,2,10,1,0,5,5,17,7.0,2020,,,,,,,,regular season
