,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,New Orleans Pelicans,,Jrue Holiday,Toronto Raptors,L,10/22/2019,41:05,6,15,.400,1,6,.167,0,2,.000,2,2,4,6,0,2,5,2,13,-14
1,New Orleans Pelicans,,Brandon Ingram,Toronto Raptors,L,10/22/2019,35:06,8,19,.421,2,5,.400,4,4,1.000,0,5,5,5,1,2,2,4,22,-19
2,New Orleans Pelicans,,J.J. Redick,Toronto Raptors,L,10/22/2019,27:03,6,9,.667,4,6,.667,0,0,,0,2,2,1,0,0,3,3,16,-14
3,New Orleans Pelicans,,Lonzo Ball,Toronto Raptors,L,10/22/2019,24:50,2,7,.286,2,3,.667,2,2,1.000,0,5,5,5,0,0,1,2,8,-7
4,New Orleans Pelicans,,Derrick Favors,Toronto Raptors,L,10/22/2019,20:46,3,6,.500,0,0,,0,0,,1,6,7,2,0,1,1,5,6,-12
5,Toronto Raptors,,Kyle Lowry,New Orleans Pelicans,W,10/22/2019,44:59,4,15,.267,3,11,.273,11,13,.846,1,4,5,6,2,0,4,4,22,-1
6,Toronto Raptors,,Fred VanVleet,New Orleans Pelicans,W,10/22/2019,44:21,12,18,.667,5,7,.714,5,6,.833,0,5,5,7,2,0,2,0,34,+18
7,Toronto Raptors,,Pascal Siakam,New Orleans Pelicans,W,10/22/2019,38:09,11,26,.423,2,5,.400,10,11,.909,6,12,18,5,0,1,4,6,34,+5
8,Toronto Raptors,,OG Anunoby,New Orleans Pelicans,W,10/22/2019,35:48,5,12,.417,1,4,.250,0,1,.000,3,4,7,0,0,2,1,3,11,+12
9,Toronto Raptors,,Marc Gasol,New Orleans Pelicans,W,10/22/2019,31:55,2,9,.222,1,4,.250,1,1,1.000,1,3,4,1,0,0,0,5,6,-2
10,Los Angeles Lakers,,Anthony Davis,Los Angeles Clippers,L,10/22/2019,37:22,8,21,.381,0,2,.000,9,14,.643,3,6,9,5,1,2,3,3,25,+3
11,Los Angeles Lakers,,LeBron James,Los Angeles Clippers,L,10/22/2019,36:00,7,19,.368,1,5,.200,3,4,.750,1,9,10,8,1,1,5,3,18,-8
12,Los Angeles Lakers,,Danny Green,Los Angeles Clippers,L,10/22/2019,32:20,10,14,.714,7,9,.778,1,1,1.000,1,6,7,0,2,1,0,3,28,+7
13,Los Angeles Lakers,,Avery Bradley,Los Angeles Clippers,L,10/22/2019,24:02,3,7,.429,2,5,.400,0,0,,0,3,3,0,0,0,2,3,8,-1
14,Los Angeles Lakers,,JaVale McGee,Los Angeles Clippers,L,10/22/2019,17:20,2,3,.667,0,0,,0,0,,1,1,2,0,0,2,1,0,4,0
15,Los Angeles Clippers,,Kawhi Leonard,Los Angeles Lakers,W,10/22/2019,31:33,10,19,.526,1,5,.200,9,10,.900,1,5,6,5,2,1,6,5,30,+5
16,Los Angeles Clippers,,Patrick Beverley,Los Angeles Lakers,W,10/22/2019,31:22,1,7,.143,0,5,.000,0,0,,2,8,10,6,0,1,2,4,2,+13
17,Los Angeles Clippers,,Landry Shamet,Los Angeles Lakers,W,10/22/2019,26:26,3,8,.375,2,4,.500,0,0,,0,3,3,2,0,0,0,1,8,-1
18,Los Angeles Clippers,,Patrick Patterson,Los Angeles Lakers,W,10/22/2019,17:29,1,3,.333,1,3,.333,1,2,.500,1,2,3,0,0,0,0,2,4,-2
19,Los Angeles Clippers,,Ivica Zubac,Los Angeles Lakers,W,10/22/2019,9:38,4,4,1.000,0,0,,0,0,,1,0,1,0,0,0,0,2,8,-5
