,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,New Orleans Pelicans,,Jrue Holiday,Toronto Raptors,L,10/22/2019,41:05,6,15,.400,1,6,.167,0,2,.000,2,2,4,6,0,2,5,2,13,-14
1,New Orleans Pelicans,,Brandon Ingram,Toronto Raptors,L,10/22/2019,35:06,8,19,.421,2,5,.400,4,4,1.000,0,5,5,5,1,2,2,4,22,-19
2,New Orleans Pelicans,,J.J. Redick,Toronto Raptors,L,10/22/2019,27:03,6,9,.667,4,6,.667,0,0,,0,2,2,1,0,0,3,3,16,-14
3,New Orleans Pelicans,,Lonzo Ball,Toronto Raptors,L,10/22/2019,24:50,2,7,.286,2,3,.667,2,2,1.000,0,5,5,5,0,0,1,2,8,-7
4,New Orleans Pelicans,,Derrick Favors,Toronto Raptors,L,10/22/2019,20:46,3,6,.500,0,0,,0,0,,1,6,7,2,0,1,1,5,6,-12
5,Toronto Raptors,,Kyle Lowry,New Orleans Pelicans,W,10/22/2019,44:59,4,15,.267,3,11,.273,11,13,.846,1,4,5,6,2,0,4,4,22,-1
6,Toronto Raptors,,Fred VanVleet,New Orleans Pelicans,W,10/22/2019,44:21,12,18,.667,5,7,.714,5,6,.833,0,5,5,7,2,0,2,0,34,+18
7,Toronto Raptors,,Pascal Siakam,New Orleans Pelicans,W,10/22/2019,38:09,11,26,.423,2,5,.400,10,11,.909,6,12,18,5,0,1,4,6,34,+5
8,Toronto Raptors,,OG Anunoby,New Orleans Pelicans,W,10/22/2019,35:48,5,12,.417,1,4,.250,0,1,.000,3,4,7,0,0,2,1,3,11,+12
9,Toronto Raptors,,Marc Gasol,New Orleans Pelicans,W,10/22/2019,31:55,2,9,.222,1,4,.250,1,1,1.000,1,3,4,1,0,0,0,5,6,-2
10,New Orleans Pelicans,,Josh Hart,Toronto Raptors,L,10/22/2019,28:10,4,9,.444,3,5,.600,4,4,1.000,4,6,10,1,0,1,1,4,15,-1
11,New Orleans Pelicans,,Nicolò Melli,Toronto Raptors,L,10/22/2019,19:37,5,7,.714,4,5,.800,0,0,,2,3,5,2,0,0,2,1,14,+11
12,New Orleans Pelicans,,Kenrich Williams,Toronto Raptors,L,10/22/2019,18:02,0,4,.000,0,2,.000,3,3,1.000,3,3,6,3,1,2,1,5,3,+11
13,New Orleans Pelicans,,Frank Jackson,Toronto Raptors,L,10/22/2019,13:51,3,6,.500,1,3,.333,2,2,1.000,0,0,0,1,0,0,1,3,9,+7
14,New Orleans Pelicans,,Jahlil Okafor,Toronto Raptors,L,10/22/2019,12:29,3,3,1.000,0,0,,2,3,.667,2,0,2,0,0,1,1,3,8,-7
15,New Orleans Pelicans,,E'Twaun Moore,Toronto Raptors,L,10/22/2019,12:06,2,7,.286,1,3,.333,0,0,,1,2,3,2,0,0,0,0,5,-1
16,New Orleans Pelicans,,Nickeil Alexander-Walker,Toronto Raptors,L,10/22/2019,11:55,1,10,.100,1,7,.143,0,0,,1,3,4,2,2,0,1,2,3,+6
17,Toronto Raptors,,Norman Powell,New Orleans Pelicans,W,10/22/2019,28:38,2,7,.286,1,5,.200,0,0,,1,7,8,2,0,0,2,2,5,+2
18,Toronto Raptors,,Serge Ibaka,New Orleans Pelicans,W,10/22/2019,26:00,4,10,.400,0,1,.000,5,6,.833,2,3,5,0,1,0,3,2,13,+6
19,Toronto Raptors,,Terence Davis,New Orleans Pelicans,W,10/22/2019,15:10,2,6,.333,1,3,.333,0,0,,2,3,5,2,2,0,0,2,5,0
