,name,positions,player_url,number,height,weight,team,Year
0,De'Andre Hunter,SF,https://www.basketball-reference.com/players/h/huntede01.html,12,6-7,225,Atlanta Hawks,2020
1,Trae Young,PG,https://www.basketball-reference.com/players/y/youngtr01.html,11,6-1,180,Atlanta Hawks,2020
2,Vince Carter,SF,https://www.basketball-reference.com/players/c/cartevi01.html,15,6-6,220,Atlanta Hawks,2020
3,Cam Reddish,SF,https://www.basketball-reference.com/players/r/reddica01.html,22,6-8,218,Atlanta Hawks,2020
4,Kevin Huerter,SG,https://www.basketball-reference.com/players/h/huertke01.html,3,6-7,190,Atlanta Hawks,2020
5,Bruno Fernando,C,https://www.basketball-reference.com/players/f/fernabr01.html,24,6-9,240,Atlanta Hawks,2020
6,Damian Jones,C,https://www.basketball-reference.com/players/j/jonesda03.html,30,6-11,245,Atlanta Hawks,2020
7,DeAndre' Bembry,SG,https://www.basketball-reference.com/players/b/bembrde01.html,95,6-5,210,Atlanta Hawks,2020
8,John Collins,PF,https://www.basketball-reference.com/players/c/collijo01.html,20,6-9,235,Atlanta Hawks,2020
9,Brandon Goodwin,PG,https://www.basketball-reference.com/players/g/goodwbr01.html,0,6-0,180,Atlanta Hawks,2020
10,Jeff Teague,PG,https://www.basketball-reference.com/players/t/teaguje01.html,00,6-3,195,Atlanta Hawks,2020
11,Treveon Graham,SG,https://www.basketball-reference.com/players/g/grahatr01.html,2,6-5,219,Atlanta Hawks,2020
12,Dewayne Dedmon,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,2020
13,Charlie Brown,SG,https://www.basketball-reference.com/players/b/brownch02.html,4,6-6,199,Atlanta Hawks,2020
14,Clint Capela,C,https://www.basketball-reference.com/players/c/capelca01.html,,6-10,240,Atlanta Hawks,2020
15,Skal Labissiere,F,https://www.basketball-reference.com/players/l/labissk01.html,,6-10,235,Atlanta Hawks,2020
16,Brad Wanamaker,PG,https://www.basketball-reference.com/players/w/wanambr01.html,9,6-3,210,Boston Celtics,2020
17,Grant Williams,PF,https://www.basketball-reference.com/players/w/willigr01.html,12,6-6,236,Boston Celtics,2020
18,Semi Ojeleye,PF,https://www.basketball-reference.com/players/o/ojelese01.html,37,6-6,240,Boston Celtics,2020
19,Jayson Tatum,PF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210,Boston Celtics,2020
20,Daniel Theis,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245,Boston Celtics,2020
21,Marcus Smart,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220,Boston Celtics,2020
22,Enes Kanter,C,https://www.basketball-reference.com/players/k/kanteen01.html,11,6-10,250,Boston Celtics,2020
23,Jaylen Brown,SF,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223,Boston Celtics,2020
24,Kemba Walker,PG,https://www.basketball-reference.com/players/w/walkeke02.html,8,6-0,184,Boston Celtics,2020
25,Gordon Hayward,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225,Boston Celtics,2020
26,Javonte Green,SF,https://www.basketball-reference.com/players/g/greenja02.html,43,6-4,205,Boston Celtics,2020
