,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Thu, Oct 24, 2019",10/24/2019,Detroit Pistons,W,117,100,1,0,W 1,regular season
1,2,"Sat, Oct 26, 2019",10/26/2019,Orlando Magic,W,103,99,2,0,W 2,regular season
2,3,"Mon, Oct 28, 2019",10/28/2019,Philadelphia 76ers,L,103,105,2,1,L 1,regular season
3,4,"Tue, Oct 29, 2019",10/29/2019,Miami Heat,L,97,112,2,2,L 2,regular season
4,5,"Thu, Oct 31, 2019",10/31/2019,Miami Heat,L,97,106,2,3,L 3,regular season
5,6,"Tue, Nov 5, 2019",11/05/2019,San Antonio Spurs,W,108,100,3,3,W 1,regular season
6,7,"Wed, Nov 6, 2019",11/06/2019,Chicago Bulls,L,93,113,3,4,L 1,regular season
7,8,"Fri, Nov 8, 2019",11/08/2019,Sacramento Kings,L,109,121,3,5,L 2,regular season
8,9,"Sun, Nov 10, 2019",11/10/2019,Portland Trail Blazers,L,113,124,3,6,L 3,regular season
9,10,"Tue, Nov 12, 2019",11/12/2019,Denver Nuggets,W,125,121,4,6,W 1,regular season
10,11,"Thu, Nov 14, 2019",11/14/2019,Phoenix Suns,L,112,128,4,7,L 1,regular season
11,12,"Sat, Nov 16, 2019",11/16/2019,Los Angeles Clippers,L,101,150,4,8,L 2,regular season
12,13,"Sun, Nov 17, 2019",11/17/2019,Los Angeles Lakers,L,101,122,4,9,L 3,regular season
13,14,"Wed, Nov 20, 2019",11/20/2019,Milwaukee Bucks,L,127,135,4,10,L 4,regular season
14,15,"Fri, Nov 22, 2019",11/22/2019,Detroit Pistons,L,103,128,4,11,L 5,regular season
15,16,"Sat, Nov 23, 2019",11/23/2019,Toronto Raptors,L,116,119,4,12,L 6,regular season
16,17,"Mon, Nov 25, 2019",11/25/2019,Minnesota Timberwolves,L,113,125,4,13,L 7,regular season
17,18,"Wed, Nov 27, 2019",11/27/2019,Milwaukee Bucks,L,102,111,4,14,L 8,regular season
18,19,"Fri, Nov 29, 2019",11/29/2019,Indiana Pacers,L,104,105,4,15,L 9,regular season
19,20,"Sat, Nov 30, 2019",11/30/2019,Houston Rockets,L,111,158,4,16,L 10,regular season
20,21,"Mon, Dec 2, 2019",12/02/2019,Golden State Warriors,W,104,79,5,16,W 1,regular season
21,22,"Wed, Dec 4, 2019",12/04/2019,Brooklyn Nets,L,118,130,5,17,L 1,regular season
22,23,"Sun, Dec 8, 2019",12/08/2019,Charlotte Hornets,W,122,107,6,17,W 1,regular season
23,24,"Tue, Dec 10, 2019",12/10/2019,Miami Heat,L,121,135,6,18,L 1,regular season
24,25,"Wed, Dec 11, 2019",12/11/2019,Chicago Bulls,L,102,136,6,19,L 2,regular season
25,26,"Fri, Dec 13, 2019",12/13/2019,Indiana Pacers,L,100,110,6,20,L 3,regular season
26,27,"Sun, Dec 15, 2019",12/15/2019,Los Angeles Lakers,L,96,101,6,21,L 4,regular season
27,28,"Tue, Dec 17, 2019",12/17/2019,New York Knicks,L,120,143,6,22,L 5,regular season
28,29,"Thu, Dec 19, 2019",12/19/2019,Utah Jazz,L,106,111,6,23,L 6,regular season
29,30,"Sat, Dec 21, 2019",12/21/2019,Brooklyn Nets,L,112,122,6,24,L 7,regular season
30,31,"Mon, Dec 23, 2019",12/23/2019,Cleveland Cavaliers,L,118,121,6,25,L 8,regular season
31,32,"Fri, Dec 27, 2019",12/27/2019,Milwaukee Bucks,L,86,112,6,26,L 9,regular season
32,33,"Sat, Dec 28, 2019",12/28/2019,Chicago Bulls,L,81,116,6,27,L 10,regular season
33,34,"Mon, Dec 30, 2019",12/30/2019,Orlando Magic,W,101,93,7,27,W 1,regular season
34,35,"Fri, Jan 3, 2020",01/03/2020,Boston Celtics,L,106,109,7,28,L 1,regular season
35,36,"Sat, Jan 4, 2020",01/04/2020,Indiana Pacers,W,116,111,8,28,W 1,regular season
36,37,"Mon, Jan 6, 2020",01/06/2020,Denver Nuggets,L,115,123,8,29,L 1,regular season
37,38,"Wed, Jan 8, 2020",01/08/2020,Houston Rockets,L,115,122,8,30,L 2,regular season
38,39,"Fri, Jan 10, 2020",01/10/2020,Washington Wizards,L,101,111,8,31,L 3,regular season
39,40,"Sun, Jan 12, 2020",01/12/2020,Brooklyn Nets,L,86,108,8,32,L 4,regular season
40,41,"Tue, Jan 14, 2020",01/14/2020,Phoenix Suns,W,123,110,9,32,W 1,regular season
41,42,"Fri, Jan 17, 2020",01/17/2020,San Antonio Spurs,W,121,120,10,32,W 2,regular season
42,43,"Sat, Jan 18, 2020",01/18/2020,Detroit Pistons,L,103,136,10,33,L 1,regular season
43,44,"Mon, Jan 20, 2020",01/20/2020,Toronto Raptors,L,117,122,10,34,L 2,regular season
44,45,"Wed, Jan 22, 2020",01/22/2020,Los Angeles Clippers,W,102,95,11,34,W 1,regular season
45,46,"Fri, Jan 24, 2020",01/24/2020,Oklahoma City Thunder,L,111,140,11,35,L 1,regular season
46,47,"Sun, Jan 26, 2020",01/26/2020,Washington Wizards,W,152,133,12,35,W 1,regular season
47,48,"Tue, Jan 28, 2020",01/28/2020,Toronto Raptors,L,114,130,12,36,L 1,regular season
48,49,"Thu, Jan 30, 2020",01/30/2020,Philadelphia 76ers,W,127,117,13,36,W 1,regular season
49,50,"Sat, Feb 1, 2020",02/01/2020,Dallas Mavericks,L,100,123,13,37,L 1,regular season
50,51,"Mon, Feb 3, 2020",02/03/2020,Boston Celtics,L,115,123,13,38,L 2,regular season
51,52,"Wed, Feb 5, 2020",02/05/2020,Minnesota Timberwolves,W,127,120,14,38,W 1,regular season
52,53,"Fri, Feb 7, 2020",02/07/2020,Boston Celtics,L,107,112,14,39,L 1,regular season
53,54,"Sun, Feb 9, 2020",02/09/2020,New York Knicks,W,140,135,15,39,W 1,regular season
54,55,"Mon, Feb 10, 2020",02/10/2020,Orlando Magic,L,126,135,15,40,L 1,regular season
55,56,"Wed, Feb 12, 2020",02/12/2020,Cleveland Cavaliers,L,105,127,15,41,L 2,regular season
56,57,"Thu, Feb 20, 2020",02/20/2020,Miami Heat,W,129,124,16,41,W 1,regular season
57,58,"Sat, Feb 22, 2020",02/22/2020,Dallas Mavericks,W,111,107,17,41,W 2,regular season
58,59,"Mon, Feb 24, 2020",02/24/2020,Philadelphia 76ers,L,112,129,17,42,L 1,regular season
59,60,"Wed, Feb 26, 2020",02/26/2020,Orlando Magic,L,120,130,17,43,L 2,regular season
60,61,"Fri, Feb 28, 2020",02/28/2020,Brooklyn Nets,W,141,118,18,43,W 1,regular season
61,62,"Sat, Feb 29, 2020",02/29/2020,Portland Trail Blazers,W,129,117,19,43,W 2,regular season
62,63,"Mon, Mar 2, 2020",03/02/2020,Memphis Grizzlies,L,88,127,19,44,L 1,regular season
63,64,"Fri, Mar 6, 2020",03/06/2020,Washington Wizards,L,112,118,19,45,L 2,regular season
64,65,"Sat, Mar 7, 2020",03/07/2020,Memphis Grizzlies,L,101,118,19,46,L 3,regular season
65,66,"Mon, Mar 9, 2020",03/09/2020,Charlotte Hornets,W,143,138,20,46,W 1,regular season
66,67,"Wed, Mar 11, 2020",03/11/2020,New York Knicks,L,131,136,20,47,L 1,regular season
