,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Philadelphia 76ers,L,93,107,0,1,L 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,Toronto Raptors,W,112,106,1,1,W 1,regular season
2,3,"Sat, Oct 26, 2019",10/26/2019,New York Knicks,W,118,95,2,1,W 2,regular season
3,4,"Wed, Oct 30, 2019",10/30/2019,Milwaukee Bucks,W,116,105,3,1,W 3,regular season
4,5,"Fri, Nov 1, 2019",11/01/2019,New York Knicks,W,104,102,4,1,W 4,regular season
5,6,"Tue, Nov 5, 2019",11/05/2019,Cleveland Cavaliers,W,119,113,5,1,W 5,regular season
6,7,"Thu, Nov 7, 2019",11/07/2019,Charlotte Hornets,W,108,87,6,1,W 6,regular season
7,8,"Sat, Nov 9, 2019",11/09/2019,San Antonio Spurs,W,135,115,7,1,W 7,regular season
8,9,"Mon, Nov 11, 2019",11/11/2019,Dallas Mavericks,W,116,106,8,1,W 8,regular season
9,10,"Wed, Nov 13, 2019",11/13/2019,Washington Wizards,W,140,133,9,1,W 9,regular season
10,11,"Fri, Nov 15, 2019",11/15/2019,Golden State Warriors,W,105,100,10,1,W 10,regular season
11,12,"Sun, Nov 17, 2019",11/17/2019,Sacramento Kings,L,99,100,10,2,L 1,regular season
12,13,"Mon, Nov 18, 2019",11/18/2019,Phoenix Suns,W,99,85,11,2,W 1,regular season
13,14,"Wed, Nov 20, 2019",11/20/2019,Los Angeles Clippers,L,104,107,11,3,L 1,regular season
14,15,"Fri, Nov 22, 2019",11/22/2019,Denver Nuggets,L,92,96,11,4,L 2,regular season
15,16,"Mon, Nov 25, 2019",11/25/2019,Sacramento Kings,W,103,102,12,4,W 1,regular season
16,17,"Wed, Nov 27, 2019",11/27/2019,Brooklyn Nets,W,121,110,13,4,W 2,regular season
17,18,"Fri, Nov 29, 2019",11/29/2019,Brooklyn Nets,L,107,112,13,5,L 1,regular season
18,19,"Sun, Dec 1, 2019",12/01/2019,New York Knicks,W,113,104,14,5,W 1,regular season
19,20,"Wed, Dec 4, 2019",12/04/2019,Miami Heat,W,112,93,15,5,W 2,regular season
20,21,"Fri, Dec 6, 2019",12/06/2019,Denver Nuggets,W,108,95,16,5,W 3,regular season
21,22,"Mon, Dec 9, 2019",12/09/2019,Cleveland Cavaliers,W,110,88,17,5,W 4,regular season
22,23,"Wed, Dec 11, 2019",12/11/2019,Indiana Pacers,L,117,122,17,6,L 1,regular season
23,24,"Thu, Dec 12, 2019",12/12/2019,Philadelphia 76ers,L,109,115,17,7,L 2,regular season
24,25,"Wed, Dec 18, 2019",12/18/2019,Dallas Mavericks,W,109,103,18,7,W 1,regular season
25,26,"Fri, Dec 20, 2019",12/20/2019,Detroit Pistons,W,114,93,19,7,W 2,regular season
26,27,"Sun, Dec 22, 2019",12/22/2019,Charlotte Hornets,W,119,93,20,7,W 3,regular season
27,28,"Wed, Dec 25, 2019",12/25/2019,Toronto Raptors,W,118,102,21,7,W 4,regular season
28,29,"Fri, Dec 27, 2019",12/27/2019,Cleveland Cavaliers,W,129,117,22,7,W 5,regular season
29,30,"Sat, Dec 28, 2019",12/28/2019,Toronto Raptors,L,97,113,22,8,L 1,regular season
30,31,"Tue, Dec 31, 2019",12/31/2019,Charlotte Hornets,W,109,92,23,8,W 1,regular season
31,32,"Fri, Jan 3, 2020",01/03/2020,Atlanta Hawks,W,109,106,24,8,W 2,regular season
32,33,"Sat, Jan 4, 2020",01/04/2020,Chicago Bulls,W,111,104,25,8,W 3,regular season
33,34,"Mon, Jan 6, 2020",01/06/2020,Washington Wizards,L,94,99,25,9,L 1,regular season
34,35,"Wed, Jan 8, 2020",01/08/2020,San Antonio Spurs,L,114,129,25,10,L 2,regular season
35,36,"Thu, Jan 9, 2020",01/09/2020,Philadelphia 76ers,L,98,109,25,11,L 3,regular season
36,37,"Sat, Jan 11, 2020",01/11/2020,New Orleans Pelicans,W,140,105,26,11,W 1,regular season
37,38,"Mon, Jan 13, 2020",01/13/2020,Chicago Bulls,W,113,101,27,11,W 2,regular season
38,39,"Wed, Jan 15, 2020",01/15/2020,Detroit Pistons,L,103,116,27,12,L 1,regular season
