,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Minnesota Timberwolves,L,126,127,0,1,L 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,New York Knicks,W,113,109,1,1,W 1,regular season
2,3,"Sun, Oct 27, 2019",10/27/2019,Memphis Grizzlies,L,133,134,1,2,L 1,regular season
3,4,"Wed, Oct 30, 2019",10/30/2019,Indiana Pacers,L,108,118,1,3,L 2,regular season
4,5,"Fri, Nov 1, 2019",11/01/2019,Houston Rockets,W,123,116,2,3,W 1,regular season
5,6,"Sat, Nov 2, 2019",11/02/2019,Detroit Pistons,L,109,113,2,4,L 1,regular season
6,7,"Mon, Nov 4, 2019",11/04/2019,New Orleans Pelicans,W,135,125,3,4,W 1,regular season
7,8,"Fri, Nov 8, 2019",11/08/2019,Portland Trail Blazers,W,119,115,4,4,W 2,regular season
8,9,"Sun, Nov 10, 2019",11/10/2019,Phoenix Suns,L,112,138,4,5,L 1,regular season
9,10,"Tue, Nov 12, 2019",11/12/2019,Utah Jazz,L,114,119,4,6,L 2,regular season
10,11,"Thu, Nov 14, 2019",11/14/2019,Denver Nuggets,L,93,101,4,7,L 3,regular season
11,12,"Sat, Nov 16, 2019",11/16/2019,Chicago Bulls,W,117,111,5,7,W 1,regular season
12,13,"Mon, Nov 18, 2019",11/18/2019,Indiana Pacers,L,86,115,5,8,L 1,regular season
13,14,"Wed, Nov 20, 2019",11/20/2019,Charlotte Hornets,W,101,91,6,8,W 1,regular season
14,15,"Fri, Nov 22, 2019",11/22/2019,Sacramento Kings,W,116,97,7,8,W 2,regular season
15,16,"Sun, Nov 24, 2019",11/24/2019,New York Knicks,W,103,101,8,8,W 3,regular season
16,17,"Mon, Nov 25, 2019",11/25/2019,Cleveland Cavaliers,W,108,106,9,8,W 4,regular season
17,18,"Wed, Nov 27, 2019",11/27/2019,Boston Celtics,L,110,121,9,9,L 1,regular season
18,19,"Fri, Nov 29, 2019",11/29/2019,Boston Celtics,W,112,107,10,9,W 1,regular season
19,20,"Sun, Dec 1, 2019",12/01/2019,Miami Heat,L,106,109,10,10,L 1,regular season
20,21,"Wed, Dec 4, 2019",12/04/2019,Atlanta Hawks,W,130,118,11,10,W 1,regular season
21,22,"Fri, Dec 6, 2019",12/06/2019,Charlotte Hornets,W,111,104,12,10,W 2,regular season
22,23,"Sun, Dec 8, 2019",12/08/2019,Denver Nuggets,W,105,102,13,10,W 3,regular season
23,24,"Wed, Dec 11, 2019",12/11/2019,Charlotte Hornets,L,108,113,13,11,L 1,regular season
24,25,"Sat, Dec 14, 2019",12/14/2019,Toronto Raptors,L,102,110,13,12,L 2,regular season
25,26,"Sun, Dec 15, 2019",12/15/2019,Philadelphia 76ers,W,109,89,14,12,W 1,regular season
