,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Portland Trail Blazers,W,108,100,1,0,W 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,Phoenix Suns,W,108,107,2,0,W 2,regular season
2,3,"Mon, Oct 28, 2019",10/28/2019,Sacramento Kings,W,101,94,3,0,W 3,regular season
3,4,"Tue, Oct 29, 2019",10/29/2019,Dallas Mavericks,L,106,109,3,1,L 1,regular season
4,5,"Thu, Oct 31, 2019",10/31/2019,New Orleans Pelicans,L,107,122,3,2,L 2,regular season
5,6,"Sat, Nov 2, 2019",11/02/2019,Orlando Magic,W,91,87,4,2,W 1,regular season
6,7,"Tue, Nov 5, 2019",11/05/2019,Miami Heat,W,109,89,5,2,W 2,regular season
7,8,"Fri, Nov 8, 2019",11/08/2019,Philadelphia 76ers,W,100,97,6,2,W 3,regular season
8,9,"Sun, Nov 10, 2019",11/10/2019,Minnesota Timberwolves,W,100,98,7,2,W 4,regular season
9,10,"Tue, Nov 12, 2019",11/12/2019,Atlanta Hawks,L,121,125,7,3,L 1,regular season
10,11,"Thu, Nov 14, 2019",11/14/2019,Brooklyn Nets,W,101,93,8,3,W 1,regular season
11,12,"Sun, Nov 17, 2019",11/17/2019,Memphis Grizzlies,W,131,114,9,3,W 2,regular season
12,13,"Wed, Nov 20, 2019",11/20/2019,Houston Rockets,W,105,95,10,3,W 3,regular season
13,14,"Fri, Nov 22, 2019",11/22/2019,Boston Celtics,W,96,92,11,3,W 4,regular season
14,15,"Sun, Nov 24, 2019",11/24/2019,Phoenix Suns,W,116,104,12,3,W 5,regular season
15,16,"Tue, Nov 26, 2019",11/26/2019,Washington Wizards,W,117,104,13,3,W 6,regular season
16,17,"Sat, Nov 30, 2019",11/30/2019,Sacramento Kings,L,97,100,13,4,L 1,regular season
17,18,"Tue, Dec 3, 2019",12/03/2019,Los Angeles Lakers,L,96,105,13,5,L 2,regular season
18,19,"Thu, Dec 5, 2019",12/05/2019,New York Knicks,W,129,92,14,5,W 1,regular season
19,20,"Fri, Dec 6, 2019",12/06/2019,Boston Celtics,L,95,108,14,6,L 1,regular season
20,21,"Sun, Dec 8, 2019",12/08/2019,Brooklyn Nets,L,102,105,14,7,L 2,regular season
21,22,"Tue, Dec 10, 2019",12/10/2019,Philadelphia 76ers,L,92,97,14,8,L 3,regular season
22,23,"Thu, Dec 12, 2019",12/12/2019,Portland Trail Blazers,W,114,99,15,8,W 1,regular season
23,24,"Sat, Dec 14, 2019",12/14/2019,Oklahoma City Thunder,W,110,102,16,8,W 2,regular season
24,25,"Sun, Dec 15, 2019",12/15/2019,New York Knicks,W,111,105,17,8,W 3,regular season
25,26,"Wed, Dec 18, 2019",12/18/2019,Orlando Magic,W,113,104,18,8,W 4,regular season
