,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Thu, Oct 24, 2019",10/24/2019,Milwaukee Bucks,L,111,117,0,1,L 1,regular season
1,2,"Sat, Oct 26, 2019",10/26/2019,New Orleans Pelicans,W,126,123,1,1,W 1,regular season
2,3,"Mon, Oct 28, 2019",10/28/2019,Oklahoma City Thunder,W,116,112,2,1,W 2,regular season
3,4,"Wed, Oct 30, 2019",10/30/2019,Washington Wizards,W,159,158,3,1,W 3,regular season
4,5,"Fri, Nov 1, 2019",11/01/2019,Brooklyn Nets,L,116,123,3,2,L 1,regular season
5,6,"Sun, Nov 3, 2019",11/03/2019,Miami Heat,L,100,129,3,3,L 2,regular season
6,7,"Mon, Nov 4, 2019",11/04/2019,Memphis Grizzlies,W,107,100,4,3,W 1,regular season
7,8,"Wed, Nov 6, 2019",11/06/2019,Golden State Warriors,W,129,112,5,3,W 2,regular season
8,9,"Sat, Nov 9, 2019",11/09/2019,Chicago Bulls,W,117,94,6,3,W 3,regular season
9,10,"Mon, Nov 11, 2019",11/11/2019,New Orleans Pelicans,W,122,116,7,3,W 4,regular season
10,11,"Wed, Nov 13, 2019",11/13/2019,Los Angeles Clippers,W,102,93,8,3,W 5,regular season
11,12,"Fri, Nov 15, 2019",11/15/2019,Indiana Pacers,W,111,102,9,3,W 6,regular season
12,13,"Sat, Nov 16, 2019",11/16/2019,Minnesota Timberwolves,W,125,105,10,3,W 7,regular season
13,14,"Mon, Nov 18, 2019",11/18/2019,Portland Trail Blazers,W,132,108,11,3,W 8,regular season
14,15,"Wed, Nov 20, 2019",11/20/2019,Denver Nuggets,L,95,105,11,4,L 1,regular season
15,16,"Fri, Nov 22, 2019",11/22/2019,Los Angeles Clippers,L,119,122,11,5,L 2,regular season
16,17,"Sun, Nov 24, 2019",11/24/2019,Dallas Mavericks,L,123,137,11,6,L 3,regular season
17,18,"Wed, Nov 27, 2019",11/27/2019,Miami Heat,W,117,108,12,6,W 1,regular season
18,19,"Sat, Nov 30, 2019",11/30/2019,Atlanta Hawks,W,158,111,13,6,W 2,regular season
19,20,"Tue, Dec 3, 2019",12/03/2019,San Antonio Spurs,L,133,135,13,7,L 1,regular season
20,21,"Thu, Dec 5, 2019",12/05/2019,Toronto Raptors,W,119,109,14,7,W 1,regular season
21,22,"Sat, Dec 7, 2019",12/07/2019,Phoenix Suns,W,115,109,15,7,W 2,regular season
22,23,"Mon, Dec 9, 2019",12/09/2019,Sacramento Kings,L,118,119,15,8,L 1,regular season
23,24,"Wed, Dec 11, 2019",12/11/2019,Cleveland Cavaliers,W,116,110,16,8,W 1,regular season
24,25,"Fri, Dec 13, 2019",12/13/2019,Orlando Magic,W,130,107,17,8,W 2,regular season
25,26,"Sat, Dec 14, 2019",12/14/2019,Detroit Pistons,L,107,115,17,9,L 1,regular season
26,27,"Mon, Dec 16, 2019",12/16/2019,San Antonio Spurs,W,109,107,18,9,W 1,regular season
