,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Miami Heat,L,101,120,0,1,L 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,Chicago Bulls,L,102,110,0,2,L 2,regular season
2,3,"Sun, Oct 27, 2019",10/27/2019,Brooklyn Nets,W,134,133,1,2,W 1,regular season
3,4,"Tue, Oct 29, 2019",10/29/2019,Los Angeles Lakers,L,91,120,1,3,L 1,regular season
4,5,"Sat, Nov 2, 2019",11/02/2019,Phoenix Suns,L,105,114,1,4,L 2,regular season
5,6,"Mon, Nov 4, 2019",11/04/2019,Houston Rockets,L,100,107,1,5,L 3,regular season
6,7,"Wed, Nov 6, 2019",11/06/2019,Minnesota Timberwolves,W,137,121,2,5,W 1,regular season
7,8,"Fri, Nov 8, 2019",11/08/2019,Orlando Magic,L,86,118,2,6,L 1,regular season
8,9,"Sat, Nov 9, 2019",11/09/2019,Dallas Mavericks,L,122,138,2,7,L 2,regular season
9,10,"Mon, Nov 11, 2019",11/11/2019,San Antonio Spurs,W,113,109,3,7,W 1,regular season
10,11,"Wed, Nov 13, 2019",11/13/2019,Charlotte Hornets,W,119,117,4,7,W 2,regular season
11,12,"Fri, Nov 15, 2019",11/15/2019,Utah Jazz,W,107,106,5,7,W 3,regular season
12,13,"Sun, Nov 17, 2019",11/17/2019,Denver Nuggets,L,114,131,5,8,L 1,regular season
13,14,"Tue, Nov 19, 2019",11/19/2019,Golden State Warriors,L,95,114,5,9,L 2,regular season
14,15,"Sat, Nov 23, 2019",11/23/2019,Los Angeles Lakers,L,108,109,5,10,L 3,regular season
15,16,"Mon, Nov 25, 2019",11/25/2019,Indiana Pacers,L,114,126,5,11,L 4,regular season
16,17,"Wed, Nov 27, 2019",11/27/2019,Los Angeles Clippers,L,119,121,5,12,L 5,regular season
17,18,"Fri, Nov 29, 2019",11/29/2019,Utah Jazz,L,94,103,5,13,L 6,regular season
18,19,"Sun, Dec 1, 2019",12/01/2019,Minnesota Timberwolves,W,115,107,6,13,W 1,regular season
19,20,"Mon, Dec 2, 2019",12/02/2019,Indiana Pacers,L,104,117,6,14,L 1,regular season
20,21,"Wed, Dec 4, 2019",12/04/2019,Chicago Bulls,L,99,106,6,15,L 2,regular season
21,22,"Sat, Dec 7, 2019",12/07/2019,Utah Jazz,L,112,126,6,16,L 3,regular season
22,23,"Mon, Dec 9, 2019",12/09/2019,Golden State Warriors,W,110,102,7,16,W 1,regular season
23,24,"Wed, Dec 11, 2019",12/11/2019,Phoenix Suns,W,115,108,8,16,W 2,regular season
24,25,"Fri, Dec 13, 2019",12/13/2019,Milwaukee Bucks,L,114,127,8,17,L 1,regular season
25,26,"Sat, Dec 14, 2019",12/14/2019,Washington Wizards,W,128,111,9,17,W 1,regular season
26,27,"Mon, Dec 16, 2019",12/16/2019,Miami Heat,W,118,111,10,17,W 2,regular season
27,28,"Wed, Dec 18, 2019",12/18/2019,Oklahoma City Thunder,L,122,126,10,18,L 1,regular season
28,29,"Fri, Dec 20, 2019",12/20/2019,Cleveland Cavaliers,L,107,114,10,19,L 2,regular season
29,30,"Sat, Dec 21, 2019",12/21/2019,Sacramento Kings,W,119,115,11,19,W 1,regular season
30,31,"Mon, Dec 23, 2019",12/23/2019,San Antonio Spurs,L,115,145,11,20,L 1,regular season
31,32,"Thu, Dec 26, 2019",12/26/2019,Oklahoma City Thunder,W,110,97,12,20,W 1,regular season
32,33,"Sat, Dec 28, 2019",12/28/2019,Denver Nuggets,L,110,119,12,21,L 1,regular season
33,34,"Sun, Dec 29, 2019",12/29/2019,Charlotte Hornets,W,117,104,13,21,W 1,regular season
34,35,"Thu, Jan 2, 2020",01/02/2020,Sacramento Kings,L,123,128,13,22,L 1,regular season
35,36,"Sat, Jan 4, 2020",01/04/2020,Los Angeles Clippers,W,140,114,14,22,W 1,regular season
36,37,"Sun, Jan 5, 2020",01/05/2020,Phoenix Suns,W,121,114,15,22,W 2,regular season
37,38,"Tue, Jan 7, 2020",01/07/2020,Minnesota Timberwolves,W,119,112,16,22,W 3,regular season
38,39,"Fri, Jan 10, 2020",01/10/2020,San Antonio Spurs,W,134,121,17,22,W 4,regular season
39,40,"Sun, Jan 12, 2020",01/12/2020,Golden State Warriors,W,122,102,18,22,W 5,regular season
40,41,"Tue, Jan 14, 2020",01/14/2020,Houston Rockets,W,121,110,19,22,W 6,regular season
41,42,"Fri, Jan 17, 2020",01/17/2020,Cleveland Cavaliers,W,113,109,20,22,W 7,regular season
42,43,"Mon, Jan 20, 2020",01/20/2020,New Orleans Pelicans,L,116,126,20,23,L 1,regular season
43,44,"Wed, Jan 22, 2020",01/22/2020,Boston Celtics,L,95,119,20,24,L 2,regular season
44,45,"Fri, Jan 24, 2020",01/24/2020,Detroit Pistons,W,125,112,21,24,W 1,regular season
45,46,"Sun, Jan 26, 2020",01/26/2020,Phoenix Suns,W,114,109,22,24,W 2,regular season
46,47,"Tue, Jan 28, 2020",01/28/2020,Denver Nuggets,W,104,96,23,24,W 3,regular season
47,48,"Wed, Jan 29, 2020",01/29/2020,New York Knicks,W,127,106,24,24,W 4,regular season
48,49,"Fri, Jan 31, 2020",01/31/2020,New Orleans Pelicans,L,111,139,24,25,L 1,regular season
49,50,"Mon, Feb 3, 2020",02/03/2020,Detroit Pistons,W,96,82,25,25,W 1,regular season
50,51,"Wed, Feb 5, 2020",02/05/2020,Dallas Mavericks,W,121,107,26,25,W 2,regular season
51,52,"Fri, Feb 7, 2020",02/07/2020,Philadelphia 76ers,L,107,119,26,26,L 1,regular season
52,53,"Sun, Feb 9, 2020",02/09/2020,Washington Wizards,W,106,99,27,26,W 1,regular season
