,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Memphis Grizzlies,W,120,101,1,0,W 1,regular season
1,2,"Sat, Oct 26, 2019",10/26/2019,Milwaukee Bucks,W,131,126,2,0,W 2,regular season
2,3,"Sun, Oct 27, 2019",10/27/2019,Minnesota Timberwolves,L,109,116,2,1,L 1,regular season
3,4,"Tue, Oct 29, 2019",10/29/2019,Atlanta Hawks,W,112,97,3,1,W 1,regular season
4,5,"Thu, Oct 31, 2019",10/31/2019,Atlanta Hawks,W,106,97,4,1,W 2,regular season
5,6,"Sun, Nov 3, 2019",11/03/2019,Houston Rockets,W,129,100,5,1,W 3,regular season
6,7,"Tue, Nov 5, 2019",11/05/2019,Denver Nuggets,L,89,109,5,2,L 1,regular season
7,8,"Thu, Nov 7, 2019",11/07/2019,Phoenix Suns,W,124,108,6,2,W 1,regular season
8,9,"Fri, Nov 8, 2019",11/08/2019,Los Angeles Lakers,L,80,95,6,3,L 1,regular season
9,10,"Tue, Nov 12, 2019",11/12/2019,Detroit Pistons,W,117,108,7,3,W 1,regular season
10,11,"Thu, Nov 14, 2019",11/14/2019,Cleveland Cavaliers,W,108,97,8,3,W 2,regular season
11,12,"Sat, Nov 16, 2019",11/16/2019,New Orleans Pelicans,W,109,94,9,3,W 3,regular season
12,13,"Wed, Nov 20, 2019",11/20/2019,Cleveland Cavaliers,W,124,100,10,3,W 4,regular season
13,14,"Fri, Nov 22, 2019",11/22/2019,Chicago Bulls,W,116,108,11,3,W 5,regular season
14,15,"Sat, Nov 23, 2019",11/23/2019,Philadelphia 76ers,L,86,113,11,4,L 1,regular season
15,16,"Mon, Nov 25, 2019",11/25/2019,Charlotte Hornets,W,117,100,12,4,W 1,regular season
16,17,"Wed, Nov 27, 2019",11/27/2019,Houston Rockets,L,108,117,12,5,L 1,regular season
17,18,"Fri, Nov 29, 2019",11/29/2019,Golden State Warriors,W,122,105,13,5,W 1,regular season
18,19,"Sun, Dec 1, 2019",12/01/2019,Brooklyn Nets,W,109,106,14,5,W 2,regular season
19,20,"Tue, Dec 3, 2019",12/03/2019,Toronto Raptors,W,121,110,15,5,W 3,regular season
20,21,"Wed, Dec 4, 2019",12/04/2019,Boston Celtics,L,93,112,15,6,L 1,regular season
21,22,"Fri, Dec 6, 2019",12/06/2019,Washington Wizards,W,112,103,16,6,W 1,regular season
22,23,"Sun, Dec 8, 2019",12/08/2019,Chicago Bulls,W,110,105,17,6,W 2,regular season
23,24,"Tue, Dec 10, 2019",12/10/2019,Atlanta Hawks,W,135,121,18,6,W 3,regular season
24,25,"Fri, Dec 13, 2019",12/13/2019,Los Angeles Lakers,L,110,113,18,7,L 1,regular season
25,26,"Sat, Dec 14, 2019",12/14/2019,Dallas Mavericks,W,122,118,19,7,W 1,regular season
26,27,"Mon, Dec 16, 2019",12/16/2019,Memphis Grizzlies,L,111,118,19,8,L 1,regular season
27,28,"Wed, Dec 18, 2019",12/18/2019,Philadelphia 76ers,W,108,104,20,8,W 1,regular season
28,29,"Fri, Dec 20, 2019",12/20/2019,New York Knicks,W,129,114,21,8,W 2,regular season
29,30,"Mon, Dec 23, 2019",12/23/2019,Utah Jazz,W,107,104,22,8,W 3,regular season
30,31,"Fri, Dec 27, 2019",12/27/2019,Indiana Pacers,W,113,112,23,8,W 4,regular season
31,32,"Sat, Dec 28, 2019",12/28/2019,Philadelphia 76ers,W,117,116,24,8,W 5,regular season
32,33,"Mon, Dec 30, 2019",12/30/2019,Washington Wizards,L,105,123,24,9,L 1,regular season
33,34,"Thu, Jan 2, 2020",01/02/2020,Toronto Raptors,W,84,76,25,9,W 1,regular season
34,35,"Fri, Jan 3, 2020",01/03/2020,Orlando Magic,L,85,105,25,10,L 1,regular season
35,36,"Sun, Jan 5, 2020",01/05/2020,Portland Trail Blazers,W,122,111,26,10,W 1,regular season
36,37,"Wed, Jan 8, 2020",01/08/2020,Indiana Pacers,W,122,108,27,10,W 2,regular season
37,38,"Fri, Jan 10, 2020",01/10/2020,Brooklyn Nets,L,113,117,27,11,L 1,regular season
38,39,"Sun, Jan 12, 2020",01/12/2020,New York Knicks,L,121,124,27,12,L 2,regular season
39,40,"Wed, Jan 15, 2020",01/15/2020,San Antonio Spurs,W,106,100,28,12,W 1,regular season
40,41,"Fri, Jan 17, 2020",01/17/2020,Oklahoma City Thunder,W,115,108,29,12,W 2,regular season
41,42,"Sun, Jan 19, 2020",01/19/2020,San Antonio Spurs,L,102,107,29,13,L 1,regular season
