,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Thu, Oct 24, 2019",10/24/2019,Houston Rockets,W,117,111,1,0,W 1,regular season
1,2,"Sat, Oct 26, 2019",10/26/2019,Miami Heat,L,126,131,1,1,L 1,regular season
2,3,"Mon, Oct 28, 2019",10/28/2019,Cleveland Cavaliers,W,129,112,2,1,W 1,regular season
3,4,"Wed, Oct 30, 2019",10/30/2019,Boston Celtics,L,105,116,2,2,L 1,regular season
4,5,"Fri, Nov 1, 2019",11/01/2019,Orlando Magic,W,123,91,3,2,W 1,regular season
5,6,"Sat, Nov 2, 2019",11/02/2019,Toronto Raptors,W,115,105,4,2,W 2,regular season
6,7,"Mon, Nov 4, 2019",11/04/2019,Minnesota Timberwolves,W,134,106,5,2,W 3,regular season
7,8,"Wed, Nov 6, 2019",11/06/2019,Los Angeles Clippers,W,129,124,6,2,W 4,regular season
8,9,"Fri, Nov 8, 2019",11/08/2019,Utah Jazz,L,100,103,6,3,L 1,regular season
9,10,"Sun, Nov 10, 2019",11/10/2019,Oklahoma City Thunder,W,121,119,7,3,W 1,regular season
10,11,"Thu, Nov 14, 2019",11/14/2019,Chicago Bulls,W,124,115,8,3,W 2,regular season
11,12,"Sat, Nov 16, 2019",11/16/2019,Indiana Pacers,W,102,83,9,3,W 3,regular season
12,13,"Mon, Nov 18, 2019",11/18/2019,Chicago Bulls,W,115,101,10,3,W 4,regular season
13,14,"Wed, Nov 20, 2019",11/20/2019,Atlanta Hawks,W,135,127,11,3,W 5,regular season
14,15,"Thu, Nov 21, 2019",11/21/2019,Portland Trail Blazers,W,137,129,12,3,W 6,regular season
15,16,"Sat, Nov 23, 2019",11/23/2019,Detroit Pistons,W,104,90,13,3,W 7,regular season
16,17,"Mon, Nov 25, 2019",11/25/2019,Utah Jazz,W,122,118,14,3,W 8,regular season
17,18,"Wed, Nov 27, 2019",11/27/2019,Atlanta Hawks,W,111,102,15,3,W 9,regular season
