,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Brooklyn Nets,W,127,126,1,0,W 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,Charlotte Hornets,W,121,99,2,0,W 2,regular season
2,3,"Sun, Oct 27, 2019",10/27/2019,Miami Heat,W,116,109,3,0,W 3,regular season
3,4,"Wed, Oct 30, 2019",10/30/2019,Philadelphia 76ers,L,95,117,3,1,L 1,regular season
4,5,"Sat, Nov 2, 2019",11/02/2019,Washington Wizards,W,131,109,4,1,W 1,regular season
5,6,"Mon, Nov 4, 2019",11/04/2019,Milwaukee Bucks,L,106,134,4,2,L 1,regular season
6,7,"Wed, Nov 6, 2019",11/06/2019,Memphis Grizzlies,L,121,137,4,3,L 2,regular season
7,8,"Fri, Nov 8, 2019",11/08/2019,Golden State Warriors,W,125,119,5,3,W 1,regular season
8,9,"Sun, Nov 10, 2019",11/10/2019,Denver Nuggets,L,98,100,5,4,L 1,regular season
9,10,"Mon, Nov 11, 2019",11/11/2019,Detroit Pistons,W,120,114,6,4,W 1,regular season
10,11,"Wed, Nov 13, 2019",11/13/2019,San Antonio Spurs,W,129,114,7,4,W 2,regular season
11,12,"Fri, Nov 15, 2019",11/15/2019,Washington Wizards,L,116,137,7,5,L 1,regular season
12,13,"Sat, Nov 16, 2019",11/16/2019,Houston Rockets,L,105,125,7,6,L 2,regular season
13,14,"Mon, Nov 18, 2019",11/18/2019,Utah Jazz,W,112,102,8,6,W 1,regular season
14,15,"Wed, Nov 20, 2019",11/20/2019,Utah Jazz,L,95,103,8,7,L 1,regular season
15,16,"Sat, Nov 23, 2019",11/23/2019,Phoenix Suns,L,98,100,8,8,L 2,regular season
16,17,"Mon, Nov 25, 2019",11/25/2019,Atlanta Hawks,W,125,113,9,8,W 1,regular season
17,18,"Wed, Nov 27, 2019",11/27/2019,San Antonio Spurs,W,113,101,10,8,W 2,regular season
18,19,"Sun, Dec 1, 2019",12/01/2019,Memphis Grizzlies,L,107,115,10,9,L 1,regular season
19,20,"Wed, Dec 4, 2019",12/04/2019,Dallas Mavericks,L,114,121,10,10,L 2,regular season
20,21,"Fri, Dec 6, 2019",12/06/2019,Oklahoma City Thunder,L,127,139,10,11,L 3,regular season
21,22,"Sun, Dec 8, 2019",12/08/2019,Los Angeles Lakers,L,125,142,10,12,L 4,regular season
22,23,"Mon, Dec 9, 2019",12/09/2019,Phoenix Suns,L,109,125,10,13,L 5,regular season
23,24,"Wed, Dec 11, 2019",12/11/2019,Utah Jazz,L,116,127,10,14,L 6,regular season
24,25,"Fri, Dec 13, 2019",12/13/2019,Los Angeles Clippers,L,117,124,10,15,L 7,regular season
25,26,"Wed, Dec 18, 2019",12/18/2019,New Orleans Pelicans,L,99,107,10,16,L 8,regular season
26,27,"Fri, Dec 20, 2019",12/20/2019,Denver Nuggets,L,100,109,10,17,L 9,regular season
27,28,"Sat, Dec 21, 2019",12/21/2019,Portland Trail Blazers,L,106,113,10,18,L 10,regular season
28,29,"Mon, Dec 23, 2019",12/23/2019,Golden State Warriors,L,104,113,10,19,L 11,regular season
29,30,"Thu, Dec 26, 2019",12/26/2019,Sacramento Kings,W,105,104,11,19,W 1,regular season
30,31,"Sat, Dec 28, 2019",12/28/2019,Cleveland Cavaliers,L,88,94,11,20,L 1,regular season
31,32,"Mon, Dec 30, 2019",12/30/2019,Brooklyn Nets,W,122,115,12,20,W 1,regular season
32,33,"Wed, Jan 1, 2020",01/01/2020,Milwaukee Bucks,L,104,106,12,21,L 1,regular season
33,34,"Thu, Jan 2, 2020",01/02/2020,Golden State Warriors,W,99,84,13,21,W 1,regular season
34,35,"Sun, Jan 5, 2020",01/05/2020,Cleveland Cavaliers,W,118,103,14,21,W 2,regular season
35,36,"Tue, Jan 7, 2020",01/07/2020,Memphis Grizzlies,L,112,119,14,22,L 1,regular season
36,37,"Thu, Jan 9, 2020",01/09/2020,Portland Trail Blazers,W,116,102,15,22,W 1,regular season
37,38,"Sat, Jan 11, 2020",01/11/2020,Houston Rockets,L,109,139,15,23,L 1,regular season
38,39,"Mon, Jan 13, 2020",01/13/2020,Oklahoma City Thunder,L,104,117,15,24,L 2,regular season
39,40,"Wed, Jan 15, 2020",01/15/2020,Indiana Pacers,L,99,104,15,25,L 3,regular season
40,41,"Fri, Jan 17, 2020",01/17/2020,Indiana Pacers,L,114,116,15,26,L 4,regular season
41,42,"Sat, Jan 18, 2020",01/18/2020,Toronto Raptors,L,112,122,15,27,L 5,regular season
42,43,"Mon, Jan 20, 2020",01/20/2020,Denver Nuggets,L,100,107,15,28,L 6,regular season
43,44,"Wed, Jan 22, 2020",01/22/2020,Chicago Bulls,L,110,117,15,29,L 7,regular season
44,45,"Fri, Jan 24, 2020",01/24/2020,Houston Rockets,L,124,131,15,30,L 8,regular season
45,46,"Sat, Jan 25, 2020",01/25/2020,Oklahoma City Thunder,L,104,113,15,31,L 9,regular season
46,47,"Mon, Jan 27, 2020",01/27/2020,Sacramento Kings,L,129,133,15,32,L 10,regular season
47,48,"Sat, Feb 1, 2020",02/01/2020,Los Angeles Clippers,L,106,118,15,33,L 11,regular season
48,49,"Mon, Feb 3, 2020",02/03/2020,Sacramento Kings,L,109,113,15,34,L 12,regular season
49,50,"Wed, Feb 5, 2020",02/05/2020,Atlanta Hawks,L,120,127,15,35,L 13,regular season
50,51,"Sat, Feb 8, 2020",02/08/2020,Los Angeles Clippers,W,142,115,16,35,W 1,regular season
51,52,"Mon, Feb 10, 2020",02/10/2020,Toronto Raptors,L,126,137,16,36,L 1,regular season
52,53,"Wed, Feb 12, 2020",02/12/2020,Charlotte Hornets,L,108,115,16,37,L 2,regular season
53,54,"Fri, Feb 21, 2020",02/21/2020,Boston Celtics,L,117,127,16,38,L 3,regular season
54,55,"Sun, Feb 23, 2020",02/23/2020,Denver Nuggets,L,116,128,16,39,L 4,regular season
55,56,"Mon, Feb 24, 2020",02/24/2020,Dallas Mavericks,L,123,139,16,40,L 5,regular season
56,57,"Wed, Feb 26, 2020",02/26/2020,Miami Heat,W,129,126,17,40,W 1,regular season
57,58,"Fri, Feb 28, 2020",02/28/2020,Orlando Magic,L,125,136,17,41,L 1,regular season
58,59,"Sun, Mar 1, 2020",03/01/2020,Dallas Mavericks,L,91,111,17,42,L 2,regular season
59,60,"Tue, Mar 3, 2020",03/03/2020,New Orleans Pelicans,W,139,134,18,42,W 1,regular season
60,61,"Wed, Mar 4, 2020",03/04/2020,Chicago Bulls,W,115,108,19,42,W 2,regular season
61,62,"Fri, Mar 6, 2020",03/06/2020,Orlando Magic,L,118,132,19,43,L 1,regular season
62,63,"Sun, Mar 8, 2020",03/08/2020,New Orleans Pelicans,L,107,120,19,44,L 2,regular season
63,64,"Tue, Mar 10, 2020",03/10/2020,Houston Rockets,L,111,117,19,45,L 3,regular season
