,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Utah Jazz,L,95,100,0,1,L 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,Washington Wizards,L,85,97,0,2,L 2,regular season
2,3,"Sun, Oct 27, 2019",10/27/2019,Golden State Warriors,W,120,92,1,2,W 1,regular season
3,4,"Mon, Oct 28, 2019",10/28/2019,Houston Rockets,L,112,116,1,3,L 1,regular season
4,5,"Wed, Oct 30, 2019",10/30/2019,Portland Trail Blazers,L,99,102,1,4,L 2,regular season
5,6,"Sat, Nov 2, 2019",11/02/2019,New Orleans Pelicans,W,115,104,2,4,W 1,regular season
6,7,"Tue, Nov 5, 2019",11/05/2019,Orlando Magic,W,102,94,3,4,W 2,regular season
7,8,"Thu, Nov 7, 2019",11/07/2019,San Antonio Spurs,L,112,121,3,5,L 1,regular season
8,9,"Sat, Nov 9, 2019",11/09/2019,Golden State Warriors,W,114,108,4,5,W 1,regular season
9,10,"Sun, Nov 10, 2019",11/10/2019,Milwaukee Bucks,L,119,121,4,6,L 1,regular season
10,11,"Tue, Nov 12, 2019",11/12/2019,Indiana Pacers,L,85,111,4,7,L 2,regular season
11,12,"Fri, Nov 15, 2019",11/15/2019,Philadelphia 76ers,W,127,119,5,7,W 1,regular season
12,13,"Mon, Nov 18, 2019",11/18/2019,Los Angeles Clippers,L,88,90,5,8,L 1,regular season
13,14,"Tue, Nov 19, 2019",11/19/2019,Los Angeles Lakers,L,107,112,5,9,L 2,regular season
14,15,"Fri, Nov 22, 2019",11/22/2019,Los Angeles Lakers,L,127,130,5,10,L 3,regular season
15,16,"Mon, Nov 25, 2019",11/25/2019,Golden State Warriors,W,100,97,6,10,W 1,regular season
16,17,"Wed, Nov 27, 2019",11/27/2019,Portland Trail Blazers,L,119,136,6,11,L 1,regular season
17,18,"Fri, Nov 29, 2019",11/29/2019,New Orleans Pelicans,W,109,104,7,11,W 1,regular season
18,19,"Sun, Dec 1, 2019",12/01/2019,New Orleans Pelicans,W,107,104,8,11,W 2,regular season
19,20,"Wed, Dec 4, 2019",12/04/2019,Indiana Pacers,L,100,107,8,12,L 1,regular season
20,21,"Fri, Dec 6, 2019",12/06/2019,Minnesota Timberwolves,W,139,127,9,12,W 1,regular season
21,22,"Sun, Dec 8, 2019",12/08/2019,Portland Trail Blazers,W,108,96,10,12,W 2,regular season
22,23,"Mon, Dec 9, 2019",12/09/2019,Utah Jazz,W,104,90,11,12,W 3,regular season
23,24,"Wed, Dec 11, 2019",12/11/2019,Sacramento Kings,L,93,94,11,13,L 1,regular season
24,25,"Sat, Dec 14, 2019",12/14/2019,Denver Nuggets,L,102,110,11,14,L 2,regular season
25,26,"Mon, Dec 16, 2019",12/16/2019,Chicago Bulls,W,109,106,12,14,W 1,regular season
26,27,"Wed, Dec 18, 2019",12/18/2019,Memphis Grizzlies,W,126,122,13,14,W 2,regular season
27,28,"Fri, Dec 20, 2019",12/20/2019,Phoenix Suns,W,126,108,14,14,W 3,regular season
28,29,"Sun, Dec 22, 2019",12/22/2019,Los Angeles Clippers,W,118,112,15,14,W 4,regular season
29,30,"Thu, Dec 26, 2019",12/26/2019,Memphis Grizzlies,L,97,110,15,15,L 1,regular season
30,31,"Fri, Dec 27, 2019",12/27/2019,Charlotte Hornets,W,104,102,16,15,W 1,regular season
31,32,"Sun, Dec 29, 2019",12/29/2019,Toronto Raptors,W,98,97,17,15,W 2,regular season
32,33,"Tue, Dec 31, 2019",12/31/2019,Dallas Mavericks,W,106,101,18,15,W 3,regular season
33,34,"Thu, Jan 2, 2020",01/02/2020,San Antonio Spurs,W,109,103,19,15,W 4,regular season
34,35,"Sat, Jan 4, 2020",01/04/2020,Cleveland Cavaliers,W,121,106,20,15,W 5,regular season
35,36,"Mon, Jan 6, 2020",01/06/2020,Philadelphia 76ers,L,113,120,20,16,L 1,regular season
36,37,"Tue, Jan 7, 2020",01/07/2020,Brooklyn Nets,W,111,103,21,16,W 1,regular season
37,38,"Thu, Jan 9, 2020",01/09/2020,Houston Rockets,W,113,92,22,16,W 2,regular season
38,39,"Sat, Jan 11, 2020",01/11/2020,Los Angeles Lakers,L,110,125,22,17,L 1,regular season
39,40,"Mon, Jan 13, 2020",01/13/2020,Minnesota Timberwolves,W,117,104,23,17,W 1,regular season
40,41,"Wed, Jan 15, 2020",01/15/2020,Toronto Raptors,L,121,130,23,18,L 1,regular season
41,42,"Fri, Jan 17, 2020",01/17/2020,Miami Heat,L,108,115,23,19,L 2,regular season
42,43,"Sat, Jan 18, 2020",01/18/2020,Portland Trail Blazers,W,119,106,24,19,W 1,regular season
43,44,"Mon, Jan 20, 2020",01/20/2020,Houston Rockets,W,112,107,25,19,W 2,regular season
44,45,"Wed, Jan 22, 2020",01/22/2020,Orlando Magic,W,120,114,26,19,W 3,regular season
45,46,"Fri, Jan 24, 2020",01/24/2020,Atlanta Hawks,W,140,111,27,19,W 4,regular season
46,47,"Sat, Jan 25, 2020",01/25/2020,Minnesota Timberwolves,W,113,104,28,19,W 5,regular season
47,48,"Mon, Jan 27, 2020",01/27/2020,Dallas Mavericks,L,97,107,28,20,L 1,regular season
48,49,"Wed, Jan 29, 2020",01/29/2020,Sacramento Kings,W,120,100,29,20,W 1,regular season
49,50,"Fri, Jan 31, 2020",01/31/2020,Phoenix Suns,W,111,107,30,20,W 2,regular season
50,51,"Wed, Feb 5, 2020",02/05/2020,Cleveland Cavaliers,W,109,103,31,20,W 3,regular season
51,52,"Fri, Feb 7, 2020",02/07/2020,Detroit Pistons,W,108,101,32,20,W 4,regular season
52,53,"Sun, Feb 9, 2020",02/09/2020,Boston Celtics,L,111,112,32,21,L 1,regular season
53,54,"Tue, Feb 11, 2020",02/11/2020,San Antonio Spurs,L,106,114,32,22,L 2,regular season
54,55,"Thu, Feb 13, 2020",02/13/2020,New Orleans Pelicans,W,123,118,33,22,W 1,regular season
55,56,"Fri, Feb 21, 2020",02/21/2020,Denver Nuggets,W,113,101,34,22,W 2,regular season
56,57,"Sun, Feb 23, 2020",02/23/2020,San Antonio Spurs,W,131,103,35,22,W 3,regular season
57,58,"Tue, Feb 25, 2020",02/25/2020,Chicago Bulls,W,124,122,36,22,W 4,regular season
58,59,"Thu, Feb 27, 2020",02/27/2020,Sacramento Kings,W,112,108,37,22,W 5,regular season
59,60,"Fri, Feb 28, 2020",02/28/2020,Milwaukee Bucks,L,86,133,37,23,L 1,regular season
60,61,"Tue, Mar 3, 2020",03/03/2020,Los Angeles Clippers,L,94,109,37,24,L 2,regular season
61,62,"Wed, Mar 4, 2020",03/04/2020,Detroit Pistons,W,114,107,38,24,W 1,regular season
62,63,"Fri, Mar 6, 2020",03/06/2020,New York Knicks,W,126,103,39,24,W 2,regular season
63,64,"Sun, Mar 8, 2020",03/08/2020,Boston Celtics,W,105,104,40,24,W 3,regular season
64,65,"Sat, Aug 1, 2020",08/01/2020,Utah Jazz,W,110,94,41,24,W 4,regular season
65,66,"Mon, Aug 3, 2020",08/03/2020,Denver Nuggets,L,113,121,41,25,L 1,regular season
66,67,"Wed, Aug 5, 2020",08/05/2020,Los Angeles Lakers,W,105,86,42,25,W 1,regular season
67,68,"Fri, Aug 7, 2020",08/07/2020,Memphis Grizzlies,L,92,121,42,26,L 1,regular season
68,69,"Sun, Aug 9, 2020",08/09/2020,Washington Wizards,W,121,103,43,26,W 1,regular season
69,70,"Mon, Aug 10, 2020",08/10/2020,Phoenix Suns,L,101,128,43,27,L 1,regular season
70,71,"Wed, Aug 12, 2020",08/12/2020,Miami Heat,W,116,115,44,27,W 1,regular season
71,72,"Fri, Aug 14, 2020",08/14/2020,Los Angeles Clippers,L,103,107,44,28,L 1,regular season
72,1,"Tue, Aug 18, 2020",08/18/2020,Houston Rockets,L,108,123,0,1,L 1,playoffs
73,2,"Thu, Aug 20, 2020",08/20/2020,Houston Rockets,L,98,111,0,2,L 2,playoffs
74,3,"Sat, Aug 22, 2020",08/22/2020,Houston Rockets,W,119,107,1,2,W 1,playoffs
75,4,"Mon, Aug 24, 2020",08/24/2020,Houston Rockets,W,117,114,2,2,W 2,playoffs
76,5,"Sat, Aug 29, 2020",08/29/2020,Houston Rockets,L,80,114,2,3,L 1,playoffs
77,6,"Mon, Aug 31, 2020",08/31/2020,Houston Rockets,W,104,100,3,3,W 1,playoffs
78,7,"Wed, Sep 2, 2020",09/02/2020,Houston Rockets,L,102,104,3,4,L 1,playoffs
