,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Sacramento Kings,W,124,95,1,0,W 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,Denver Nuggets,L,107,108,1,1,L 1,regular season
2,3,"Sat, Oct 26, 2019",10/26/2019,Los Angeles Clippers,W,130,122,2,1,W 1,regular season
3,4,"Mon, Oct 28, 2019",10/28/2019,Utah Jazz,L,95,96,2,2,L 1,regular season
4,5,"Wed, Oct 30, 2019",10/30/2019,Golden State Warriors,W,121,110,3,2,W 1,regular season
5,6,"Sat, Nov 2, 2019",11/02/2019,Memphis Grizzlies,W,114,105,4,2,W 2,regular season
6,7,"Mon, Nov 4, 2019",11/04/2019,Philadelphia 76ers,W,114,109,5,2,W 3,regular season
7,8,"Thu, Nov 7, 2019",11/07/2019,Miami Heat,L,108,124,5,3,L 1,regular season
8,9,"Sun, Nov 10, 2019",11/10/2019,Brooklyn Nets,W,138,112,6,3,W 1,regular season
9,10,"Tue, Nov 12, 2019",11/12/2019,Los Angeles Lakers,L,115,123,6,4,L 1,regular season
10,11,"Thu, Nov 14, 2019",11/14/2019,Atlanta Hawks,W,128,112,7,4,W 1,regular season
11,12,"Mon, Nov 18, 2019",11/18/2019,Boston Celtics,L,85,99,7,5,L 1,regular season
12,13,"Tue, Nov 19, 2019",11/19/2019,Sacramento Kings,L,116,120,7,6,L 2,regular season
13,14,"Thu, Nov 21, 2019",11/21/2019,New Orleans Pelicans,L,121,124,7,7,L 3,regular season
14,15,"Sat, Nov 23, 2019",11/23/2019,Minnesota Timberwolves,W,100,98,8,7,W 1,regular season
15,16,"Sun, Nov 24, 2019",11/24/2019,Denver Nuggets,L,104,116,8,8,L 1,regular season
16,17,"Wed, Nov 27, 2019",11/27/2019,Washington Wizards,L,132,140,8,9,L 2,regular season
17,18,"Fri, Nov 29, 2019",11/29/2019,Dallas Mavericks,L,113,120,8,10,L 3,regular season
